%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.current_error,field.mean,field.threshold,field.std_dev
1646222516998815899,0,1646222516998815899,r1000913c5/base_front_laser_link,0,1646222516998815899,v/m1vw10zy74w/map,-2.88447626717,-2.57314083953,0.165,0.0,0.0,-0.701225289402,0.71293975447,0,62.2770423889,62.2770423889,nan,nan
1646222517235066555,1,1646222517235066555,r1000913c5/base_front_laser_link,0,1646222517235066555,v/m1vw10zy74w/map,-2.88700726144,-2.50551243878,0.165,0.0,0.0,-0.702906980651,0.711281784212,0,59.4574317932,60.8672370911,86.8485412598,1.99376726151
1646222517313994009,2,1646222517313994009,r1000913c5/base_front_laser_link,0,1646222517313994009,v/m1vw10zy74w/map,-2.88730823096,-2.48322795408,0.165,0.0,0.0,-0.702947774483,0.711241468384,0,59.8974342346,60.5439682007,85.0947418213,1.51692461967
1646222517392993970,3,1646222517392993970,r1000913c5/base_front_laser_link,0,1646222517392993970,v/m1vw10zy74w/map,-2.88758388259,-2.46092558437,0.165,0.0,0.0,-0.702962837994,0.711226580212,0,61.2699661255,60.7254676819,84.5974502563,1.29066157341
1646222517471004835,4,1646222517471004835,r1000913c5/base_front_laser_link,0,1646222517471004835,v/m1vw10zy74w/map,-2.87507549226,-2.42966779287,0.165,0.0,0.0,-0.701131314767,0.713032172804,0,60.5779495239,60.6959648132,84.0550384521,1.11969089508
1646222517627813366,5,1646222517627813366,r1000913c5/base_front_laser_link,0,1646222517627813366,v/m1vw10zy74w/map,-2.87549440893,-2.38375817916,0.165,0.0,0.0,-0.700997420852,0.713163807241,0,58.8367233276,60.386089325,84.1559524536,1.25662100315
1646222519284139765,6,1646222519284139765,r1000913c5/base_front_laser_link,0,1646222519284139765,v/m1vw10zy74w/map,-2.87324695089,-2.29673992883,0.165,0.0,0.0,-0.696261679526,0.717788042269,0,60.2344245911,60.3644256592,83.8101196289,1.14856410027
1646222519520083694,7,1646222519520083694,r1000913c5/base_front_laser_link,0,1646222519520083694,v/m1vw10zy74w/map,-2.86614296775,-2.29638927954,0.165,0.0,0.0,-0.68860207274,0.725139424813,0,61.650718689,60.5252113342,83.9948043823,1.1565297842
1646222519757109922,8,1646222519757109922,r1000913c5/base_front_laser_link,0,1646222519757109922,v/m1vw10zy74w/map,-2.84221180072,-2.29357408923,0.165,0.0,0.0,-0.662085328964,0.749428460342,0,58.450088501,60.2946434021,84.1468429565,1.28406608105
1646222519914239843,9,1646222519914239843,r1000913c5/base_front_laser_link,0,1646222519914239843,v/m1vw10zy74w/map,-2.82022558041,-2.28984243659,0.165,0.0,0.0,-0.63676345068,0.771059211655,0,58.2017669678,60.0853538513,84.2245254517,1.37972307205
1646222520150260795,10,1646222520150260795,r1000913c5/base_front_laser_link,0,1646222520150260795,v/m1vw10zy74w/map,-2.78368516897,-2.28112012168,0.165,0.0,0.0,-0.592490304825,0.8055775808,0,60.7417297363,60.1450233459,84.1164169312,1.32379698753
1646222520308210359,11,1646222520308210359,r1000913c5/base_front_laser_link,0,1646222520308210359,v/m1vw10zy74w/map,-2.76138867322,-2.27531750937,0.165,0.0,0.0,-0.564303194827,0.825567625521,0,56.6283798218,59.8519706726,84.7113189697,1.61978161335
1646222520622491244,12,1646222520622491244,r1000913c5/base_front_laser_link,0,1646222520622491244,v/m1vw10zy74w/map,-2.7171600696,-2.25509106004,0.165,0.0,0.0,-0.506139188215,0.862451808597,0,57.3827934265,59.6620330811,84.7479324341,1.69529891014
1646222520779365602,13,1646222520779365602,r1000913c5/base_front_laser_link,0,1646222520779365602,v/m1vw10zy74w/map,-2.6967345562,-2.24292272385,0.165,0.0,0.0,-0.475197264808,0.879879286902,0,58.1105117798,59.5512123108,84.5934448242,1.68074464798
