%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.current_error,field.mean,field.threshold,field.std_dev
1.64622490629021E+018,0,1.64622490629021E+018,r1000913c5/base_front_laser_link,0,1.64622490629021E+018,v/m1vw10zy74w/map,-2.84631026987,-2.50676200464,0.165,0,0,-0.705274628596,0.708934198822,0,63.1461906433,63.1461906433,86.0584030151,1.27010476589
1.64622490636931E+018,1,1.64622490636931E+018,r1000913c5/base_front_laser_link,0,1.64622490636931E+018,v/m1vw10zy74w/map,-2.84785727513,-2.48619914251,0.165,0,0,-0.705340078291,0.708869080971,0,61.3499908447,62.2480926514,86.0584030151,1.27010476589
1.64622490644633E+018,2,1.64622490644633E+018,r1000913c5/base_front_laser_link,0,1.64622490644633E+018,v/m1vw10zy74w/map,-2.84860489964,-2.47235857805,0.165,0,0,-0.705816790816,0.708394422481,0,62.8598327637,62.4520072937,85.3471603394,0.965052485466
1.64622490652519E+018,3,1.64622490652519E+018,r1000913c5/base_front_laser_link,0,1.64622490652519E+018,v/m1vw10zy74w/map,-2.84896766272,-2.44972523721,0.165,0,0,-0.706123062018,0.708089133715,0,61.6598930359,62.2539787292,84.8996734619,0.881898105145
1.64622490660445E+018,4,1.64622490660445E+018,r1000913c5/base_front_laser_link,0,1.64622490660445E+018,v/m1vw10zy74w/map,-2.84911079235,-2.42707327081,0.165,0,0,-0.706210261352,0.708002165788,0,59.3635177612,61.6758842468,86.1801452637,1.5014193058
1.64622490684033E+018,5,1.64622490684033E+018,r1000913c5/base_front_laser_link,0,1.64622490684033E+018,v/m1vw10zy74w/map,-2.8505747607,-2.38204307838,0.165,0,0,-0.703536669615,0.710658957944,0,58.7799568176,61.1932296753,86.5607528687,1.78917384148
1.64622490849552E+018,6,1.64622490849552E+018,r1000913c5/base_front_laser_link,0,1.64622490849552E+018,v/m1vw10zy74w/map,-2.84853659793,-2.25016206455,0.165,0,0,-0.699419026465,0.714711847823,0,62.2972373962,61.350944519,86.4081802368,1.68574547768
1.64622490904655E+018,7,1.64622490904655E+018,r1000913c5/base_front_laser_link,0,1.64622490904655E+018,v/m1vw10zy74w/map,-2.81470688923,-2.2472875541,0.165,0,0,-0.662291153623,0.749246573454,0,58.8206443787,61.0346565247,86.431388855,1.79891073704
1.64622490920443E+018,8,1.64622490920443E+018,r1000913c5/base_front_laser_link,0,1.64622490920443E+018,v/m1vw10zy74w/map,-2.79195014715,-2.24301632726,0.165,0,0,-0.636010601117,0.771680319347,0,61.3022727966,61.0643920898,86.1196594238,1.68508970737
1.6462249092834E+018,9,1.6462249092834E+018,r1000913c5/base_front_laser_link,0,1.6462249092834E+018,v/m1vw10zy74w/map,-2.77986157698,-2.24031479773,0.165,0,0,-0.621621406473,0.783317832693,0,57.5689430237,60.7148475647,86.5211029053,1.93541765213
1.64622490936261E+018,10,1.64622490936261E+018,r1000913c5/base_front_laser_link,0,1.64622490936261E+018,v/m1vw10zy74w/map,-2.76786460735,-2.2372404716,0.165,0,0,-0.607021030407,0.794685767234,0,60.0333213806,60.6528930664,86.1955718994,1.8475612402
1.64622490952053E+018,11,1.64622490952053E+018,r1000913c5/base_front_laser_link,0,1.64622490952053E+018,v/m1vw10zy74w/map,-2.74467245113,-2.23032305309,0.165,0,0,-0.577881810441,0.816120464859,0,59.3214302063,60.541934967,85.9510116577,1.80302488804
1.64622490959835E+018,12,1.64622490959835E+018,r1000913c5/base_front_laser_link,0,1.64622490959835E+018,v/m1vw10zy74w/map,-2.73746745139,-2.22454260957,0.165,0,0,-0.567220947431,0.823565660282,0,60.6312179565,60.5488052368,85.7281341553,1.72644245625
1.64622490983585E+018,13,1.64622490983585E+018,r1000913c5/base_front_laser_link,0,1.64622490983585E+018,v/m1vw10zy74w/map,-2.70382844922,-2.21025943992,0.165,0,0,-0.523620534537,0.851951604148,0,56.7368659973,60.2765235901,86.116317749,1.94659852982
1.64622490999262E+018,14,1.64622490999262E+018,r1000913c5/base_front_laser_link,0,1.64622490999262E+018,v/m1vw10zy74w/map,-2.68319432837,-2.19816949312,0.165,0,0,-0.49305439689,0.869998483738,0,55.4056396484,59.9517974854,86.7269439697,2.25838112831
