%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.current_error,field.mean,field.threshold,field.std_dev
1646227757571791254,0,1646227757571791254,r1000913c5/base_front_laser_link,0,1646227757571791254,v/m1vw10zy74w/map,-2.83942203067,-2.38255781344,0.165,0.0,0.0,-0.701604345215,0.712566728648,0,65.2613830566,65.2613830566,nan,nan
1646227757728809203,1,1646227757728809203,r1000913c5/base_front_laser_link,0,1646227757728809203,v/m1vw10zy74w/map,-2.84148561336,-2.34176389001,0.165,0.0,0.0,-0.703448768592,0.710745967253,0,64.0622940063,64.6618423462,87.2054901123,0.847883820534
1646227759698085534,2,1646227759698085534,r1000913c5/base_front_laser_link,0,1646227759698085534,v/m1vw10zy74w/map,-2.79873686025,-2.27186814518,0.165,0.0,0.0,-0.659596361133,0.751620010631,0,61.9281005859,63.7505950928,88.8156814575,1.68836271763
1646227759933968047,3,1646227759933968047,r1000913c5/base_front_laser_link,0,1646227759933968047,v/m1vw10zy74w/map,-2.76319268191,-2.26533441251,0.165,0.0,0.0,-0.61805952452,0.786131302105,0,63.1427764893,63.5986404419,87.8335723877,1.41164422035
1646227760012845829,4,1646227760012845829,r1000913c5/base_front_laser_link,0,1646227760012845829,v/m1vw10zy74w/map,-2.75118645485,-2.26229389517,0.165,0.0,0.0,-0.603409961674,0.797431136935,0,61.9906730652,63.2770462036,87.532043457,1.41833174229
1646227760327963416,5,1646227760327963416,r1000913c5/base_front_laser_link,0,1646227760327963416,v/m1vw10zy74w/map,-2.70710145172,-2.25518473438,0.165,0.0,0.0,-0.546592138859,0.837398969272,0,61.4956741333,62.9801521301,87.3669433594,1.46226334572
1646227760485042627,6,1646227760485042627,r1000913c5/base_front_laser_link,0,1646227760485042627,v/m1vw10zy74w/map,-2.68814325406,-2.24436930787,0.165,0.0,0.0,-0.518228322088,0.855242308463,0,60.3173942566,62.5997581482,87.6149978638,1.6717479229
1646227760720737249,7,1646227760720737249,r1000913c5/base_front_laser_link,0,1646227760720737249,v/m1vw10zy74w/map,-2.65655653803,-2.22825750826,0.165,0.0,0.0,-0.470872145485,0.882201463729,0,58.0354766846,62.0292205811,88.7371368408,2.2359726429
1646227760877808862,8,1646227760877808862,r1000913c5/base_front_laser_link,0,1646227760877808862,v/m1vw10zy74w/map,-2.63720420629,-2.2145141673,0.165,0.0,0.0,-0.439327686788,0.898326880162,0,58.6209564209,61.6505241394,88.7911071777,2.38019418716
1646227761036895435,9,1646227761036895435,r1000913c5/base_front_laser_link,0,1646227761036895435,v/m1vw10zy74w/map,-2.61817963671,-2.19668363042,0.165,0.0,0.0,-0.406848727109,0.913495546376,0,55.9323387146,61.0787086487,89.7245407104,2.88194537163
1646227761193936389,10,1646227761193936389,r1000913c5/base_front_laser_link,0,1646227761193936389,v/m1vw10zy74w/map,-2.60099419455,-2.18017797061,0.165,0.0,0.0,-0.374080164658,0.92739637179,0,57.1044845581,60.717414856,89.6727600098,2.9851140976
1646227761350061506,11,1646227761350061506,r1000913c5/base_front_laser_link,0,1646227761350061506,v/m1vw10zy74w/map,-2.57876580943,-2.16280967566,0.165,0.0,0.0,-0.341316397058,0.939948465129,0,54.9274101257,60.2349128723,90.1369628906,3.30068206787
1646227761586230384,12,1646227761586230384,r1000913c5/base_front_laser_link,0,1646227761586230384,v/m1vw10zy74w/map,-2.55533694998,-2.13035271378,0.165,0.0,0.0,-0.290658879809,0.956826742722,0,52.9036178589,59.6709671021,90.9443740845,3.75780272484
1646227761744085066,13,1646227761744085066,r1000913c5/base_front_laser_link,0,1646227761744085066,v/m1vw10zy74w/map,-2.54291614474,-2.10999304168,0.165,0.0,0.0,-0.256403505393,0.966569833184,0,50.3629150391,59.0061073303,92.1594619751,4.38445091248
1646227761979965493,14,1646227761979965493,r1000913c5/base_front_laser_link,0,1646227761979965493,v/m1vw10zy74w/map,-2.53546927121,-2.07275367444,0.165,0.0,0.0,-0.204549083551,0.978856308361,0,51.4843826294,58.5046577454,92.4545211792,4.64995288849
1646227762137135009,15,1646227762137135009,r1000913c5/base_front_laser_link,0,1646227762137135009,v/m1vw10zy74w/map,-2.52490405705,-2.04803860228,0.165,0.0,0.0,-0.168461561668,0.985708223685,0,52.9106903076,58.1550369263,92.2698287964,4.70493030548
1646227762216072321,16,1646227762216072321,r1000913c5/base_front_laser_link,0,1646227762216072321,v/m1vw10zy74w/map,-2.52096442869,-2.0367304544,0.165,0.0,0.0,-0.150895786553,0.988549675839,0,51.0750732422,57.7385673523,92.3438034058,4.86841106415
1646227762373219482,17,1646227762373219482,r1000913c5/base_front_laser_link,0,1646227762373219482,v/m1vw10zy74w/map,-2.50808216704,-2.01664718475,0.165,0.0,0.0,-0.114630492826,0.993408199138,0,47.0362319946,57.1439933777,93.2074584961,5.35448932648
1646227762530865604,18,1646227762530865604,r1000913c5/base_front_laser_link,0,1646227762530865604,v/m1vw10zy74w/map,-2.50341013821,-1.99331805196,0.165,0.0,0.0,-0.0792545865565,0.99685440788,0,47.3192939758,56.6269035339,93.6393127441,5.67080259323
1646227762609197942,19,1646227762609197942,r1000913c5/base_front_laser_link,0,1646227762609197942,v/m1vw10zy74w/map,-2.50213478785,-1.9794181788,0.165,0.0,0.0,-0.0616325035956,0.998098910179,0,48.4241714478,56.2167663574,93.665763855,5.8163318634
1646227762846112430,20,1646227762846112430,r1000913c5/base_front_laser_link,0,1646227762846112430,v/m1vw10zy74w/map,-2.50410019827,-1.9647834403,0.165,0.0,0.0,-0.00940865436165,0.999955737632,0,48.9170341492,55.8691596985,93.5349731445,5.88860464096
1646227763082387478,21,1646227763082387478,r1000913c5/base_front_laser_link,0,1646227763082387478,v/m1vw10zy74w/map,-2.50695248275,-1.93172304868,0.165,0.0,0.0,0.0436111844755,0.999048579694,0,45.8951263428,55.4157943726,93.7983093262,6.12750530243
1646227763396120739,22,1646227763396120739,r1000913c5/base_front_laser_link,0,1646227763396120739,v/m1vw10zy74w/map,-2.51423150412,-1.87430423458,0.165,0.0,0.0,0.114188830141,0.993459063611,0,49.8938026428,55.1757087708,93.4647445679,6.09634542465
1646227763711098427,23,1646227763711098427,r1000913c5/base_front_laser_link,0,1646227763711098427,v/m1vw10zy74w/map,-2.5306777111,-1.82861746248,0.165,0.0,0.0,0.183524409319,0.98301515308,0,50.8239860535,54.9943885803,93.0788421631,6.02815055847
1646227763947187972,24,1646227763947187972,r1000913c5/base_front_laser_link,0,1646227763947187972,v/m1vw10zy74w/map,-2.55600947252,-1.76087693362,0.165,0.0,0.0,0.234667238501,0.972075762055,0,53.3093605042,54.9269866943,92.6595153809,5.91084289551
1646227764104208405,25,1646227764104208405,r1000913c5/base_front_laser_link,0,1646227764104208405,v/m1vw10zy74w/map,-2.56669687641,-1.74287997543,0.165,0.0,0.0,0.269484732755,0.963004661885,0,53.9706993103,54.8902053833,92.2735748291,5.79445552826
1646227764419198192,26,1646227764419198192,r1000913c5/base_front_laser_link,0,1646227764419198192,v/m1vw10zy74w/map,-2.58969501561,-1.70745798525,0.165,0.0,0.0,0.335371419007,0.942085989341,0,50.5121955872,54.7280578613,91.9602355957,5.74406051636
