%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.current_error,field.mean,field.threshold,field.std_dev
1646248024271598022,0,1646248024271598022,r1000913c5/base_front_laser_link,0,1646248024271598022,v/m1vw10zy74w/map,-2.85104924685,-2.46291223295,0.165,0.0,0.0,0.703468232039,-0.710726703109,0,56.8098640442,56.8098640442,nan,nan
1646248024350668542,1,1646248024350668542,r1000913c5/base_front_laser_link,0,1646248024350668542,v/m1vw10zy74w/map,-2.85126220541,-2.44033149676,0.165,0.0,0.0,0.703447269195,-0.710747451252,0,60.0615653992,58.4357147217,85.3336105347,2.29929828644
1646248025844688664,2,1646248025844688664,r1000913c5/base_front_laser_link,0,1646248025844688664,v/m1vw10zy74w/map,-2.84656659123,-2.26963788338,0.165,0.0,0.0,0.700227208295,-0.713920063287,0,59.0740394592,58.6484909058,83.649772644,1.66709494591
1646248026080602488,3,1646248026080602488,r1000913c5/base_front_laser_link,0,1646248026080602488,v/m1vw10zy74w/map,-2.84421148588,-2.26866137589,0.165,0.0,0.0,0.697689732198,-0.71640005415,0,59.4891166687,58.8586463928,83.1324310303,1.42459368706
1646248026238747425,4,1646248026238747425,r1000913c5/base_front_laser_link,0,1646248026238747425,v/m1vw10zy74w/map,-2.83498480669,-2.26808173489,0.165,0.0,0.0,0.68773420707,-0.725962575087,0,58.6844062805,58.8237991333,82.5323791504,1.23619270325
1646248026474761750,5,1646248026474761750,r1000913c5/base_front_laser_link,0,1646248026474761750,v/m1vw10zy74w/map,-2.80602239088,-2.26445280979,0.165,0.0,0.0,0.655455467256,-0.755233825013,0,60.1423568726,59.0435600281,82.7328338623,1.2297577858
1646248026552551500,6,1646248026552551500,r1000913c5/base_front_laser_link,0,1646248026552551500,v/m1vw10zy74w/map,-2.79432396113,-2.26253485805,0.165,0.0,0.0,0.641975488207,-0.766725161021,0,61.465297699,59.3895225525,83.734954834,1.44847667217
1646248026789703377,7,1646248026789703377,r1000913c5/base_front_laser_link,0,1646248026789703377,v/m1vw10zy74w/map,-2.75776940802,-2.25406727739,0.165,0.0,0.0,0.597985941458,-0.801506590003,0,59.0854873657,59.3515167236,83.3875045776,1.34532999992
1646248027025708645,8,1646248027025708645,r1000913c5/base_front_laser_link,0,1646248027025708645,v/m1vw10zy74w/map,-2.72174712809,-2.24125982385,0.165,0.0,0.0,0.55523786244,-0.83169159916,0,56.1969337463,59.0010070801,83.9208145142,1.63993442059
1646248027182632702,9,1646248027182632702,r1000913c5/base_front_laser_link,0,1646248027182632702,v/m1vw10zy74w/map,-2.70044953154,-2.23171210061,0.165,0.0,0.0,0.525906027317,-0.850542679959,0,55.7254066467,58.6734466553,84.2566070557,1.8610534668
1646248027260665111,10,1646248027260665111,r1000913c5/base_front_laser_link,0,1646248027260665111,v/m1vw10zy74w/map,-2.6898196851,-2.24046079246,0.165,0.0,0.0,0.511506702559,-0.859279287099,0,56.4336547852,58.4698295593,84.1407241821,1.89029884338
