%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.current_error,field.mean,field.threshold,field.std_dev
1646298967136873733,0,1646298967136873733,r1000913c5/base_front_laser_link,0,1646298967136873733,v/m1vw10zy74w/map,-2.84949824883,-2.29314915978,0.165,0.0,0.0,0.699773116299,-0.714365162718,0,55.3340263367,55.3340263367,nan,nan
1646298967373555283,1,1646298967373555283,r1000913c5/base_front_laser_link,0,1646298967373555283,v/m1vw10zy74w/map,-2.84402206349,-2.29108146326,0.165,0.0,0.0,0.693854733256,-0.720114997162,0,57.9786643982,56.6563453674,82.2664642334,1.87004005909
1646298967530848561,2,1646298967530848561,r1000913c5/base_front_laser_link,0,1646298967530848561,v/m1vw10zy74w/map,-2.83071256582,-2.29154533588,0.165,0.0,0.0,0.679428411105,-0.733741803486,0,62.1077613831,58.4734840393,88.7150878906,3.41386914253
1646298967767701207,3,1646298967767701207,r1000913c5/base_front_laser_link,0,1646298967767701207,v/m1vw10zy74w/map,-2.7990873997,-2.28679549614,0.165,0.0,0.0,0.643658983994,-0.765312427917,0,61.1628646851,59.1458282471,88.430267334,3.09481191635
1646298967925660513,4,1646298967925660513,r1000913c5/base_front_laser_link,0,1646298967925660513,v/m1vw10zy74w/map,-2.7739025603,-2.28168748879,0.165,0.0,0.0,0.613795568063,-0.789465009121,0,59.7598190308,59.2686271667,87.351272583,2.69421458244
1646298968082739256,5,1646298968082739256,r1000913c5/base_front_laser_link,0,1646298968082739256,v/m1vw10zy74w/map,-2.75080297494,-2.27490018322,0.165,0.0,0.0,0.585017159366,-0.811020914186,0,59.272064209,59.2691993713,86.4985351562,2.40977931023
1646298968318839585,6,1646298968318839585,r1000913c5/base_front_laser_link,0,1646298968318839585,v/m1vw10zy74w/map,-2.71805061789,-2.27600187956,0.165,0.0,0.0,0.545220512249,-0.838292665495,0,58.0636825562,59.0969810486,85.8365097046,2.24651002884
1646298968476707708,7,1646298968476707708,r1000913c5/base_front_laser_link,0,1646298968476707708,v/m1vw10zy74w/map,-2.69387650899,-2.26656195333,0.165,0.0,0.0,0.512388375924,-0.858753836799,0,58.2354660034,58.9892921448,85.2954406738,2.10204935074
1646298968711685520,8,1646298968711685520,r1000913c5/base_front_laser_link,0,1646298968711685520,v/m1vw10zy74w/map,-2.66286340541,-2.25280867155,0.165,0.0,0.0,0.46514012294,-0.885237067701,0,56.4831314087,58.7108306885,85.1199951172,2.13638854027
1646298968789716121,9,1646298968789716121,r1000913c5/base_front_laser_link,0,1646298968789716121,v/m1vw10zy74w/map,-2.65287378948,-2.24268084666,0.165,0.0,0.0,0.449935654703,-0.893060975873,0,55.6735191345,58.4071006775,85.1015701294,2.23149108887
1646298969026816015,10,1646298969026816015,r1000913c5/base_front_laser_link,0,1646298969026816015,v/m1vw10zy74w/map,-2.62312772249,-2.21712748815,0.165,0.0,0.0,0.401067734429,-0.916048400686,0,60.0446166992,58.5559654236,85.0773391724,2.1737909317
1646298969262499871,11,1646298969262499871,r1000913c5/base_front_laser_link,0,1646298969262499871,v/m1vw10zy74w/map,-2.60101979381,-2.19189986517,0.165,0.0,0.0,0.352294825058,-0.935889072613,0,58.1440505981,58.5216369629,84.74974823,2.07603645325
1646298969499874964,12,1646298969499874964,r1000913c5/base_front_laser_link,0,1646298969499874964,v/m1vw10zy74w/map,-2.57917953152,-2.16246135501,0.165,0.0,0.0,0.300613700724,-0.953745984493,0,59.8778839111,58.6259651184,84.6947631836,2.02293324471
1646298969656610695,13,1646298969656610695,r1000913c5/base_front_laser_link,0,1646298969656610695,v/m1vw10zy74w/map,-2.56629921014,-2.14234079542,0.165,0.0,0.0,0.266520131525,-0.963829351852,0,60.0629806519,58.7286071777,84.6720733643,1.981153965
1646298969893936364,14,1646298969893936364,r1000913c5/base_front_laser_link,0,1646298969893936364,v/m1vw10zy74w/map,-2.56393910856,-2.09863573141,0.165,0.0,0.0,0.216813522907,-0.976213038371,0,58.2935218811,58.6996040344,84.4367752075,1.91239011288
1646298970051453683,15,1646298970051453683,r1000913c5/base_front_laser_link,0,1646298970051453683,v/m1vw10zy74w/map,-2.54315602355,-2.08876376098,0.165,0.0,0.0,-0.180395421912,0.983594170252,0,58.4909591675,58.6865615845,84.2314071655,1.84828054905
1646298970289112563,16,1646298970289112563,r1000913c5/base_front_laser_link,0,1646298970289112563,v/m1vw10zy74w/map,-2.53305969693,-2.05713148297,0.165,0.0,0.0,-0.127829375798,0.991796173961,0,56.0096473694,58.5290985107,84.2402648926,1.90372133255
1646298970367270870,17,1646298970367270870,r1000913c5/base_front_laser_link,0,1646298970367270870,v/m1vw10zy74w/map,-2.53035030238,-2.04573317547,0.165,0.0,0.0,-0.110412396303,0.993885860017,0,52.9320907593,58.2181510925,85.0271148682,2.26965427399
1646298970445702559,18,1646298970445702559,r1000913c5/base_front_laser_link,0,1646298970445702559,v/m1vw10zy74w/map,-2.52813007744,-2.0341896446,0.165,0.0,0.0,-0.0928712620827,0.995678125038,0,51.4337806702,57.8610801697,85.959777832,2.69956588745
1646298970524775045,19,1646298970524775045,r1000913c5/base_front_laser_link,0,1646298970524775045,v/m1vw10zy74w/map,-2.52681014295,-2.01983410091,0.165,0.0,0.0,-0.075773697289,0.997125040704,0,51.3815345764,57.5371017456,86.5387649536,3.00055336952
