%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.current_error,field.mean,field.threshold,field.std_dev
1646317862781861442,0,1646317862781861442,r1000913c5/base_front_laser_link,0,1646317862781861442,v/m1vw10zy74w/map,-2.90085278075,-2.25444630111,0.165,0.0,0.0,-0.792917769345,0.609328656028,0,62.0288963318,62.0288963318,nan,nan
1646317862859748210,1,1646317862859748210,r1000913c5/base_front_laser_link,0,1646317862859748210,v/m1vw10zy74w/map,-2.9122222981,-2.25133383496,0.165,0.0,0.0,-0.803526823694,0.595268547468,0,64.5137786865,63.2713394165,88.5425720215,1.75707805157
1646317863017870338,2,1646317863017870338,r1000913c5/base_front_laser_link,0,1646317863017870338,v/m1vw10zy74w/map,-2.93326191036,-2.25110615944,0.165,0.0,0.0,-0.823213918712,0.567731313246,0,60.9623985291,62.5016899109,87.9685516357,1.82228660583
1646317863332879188,3,1646317863332879188,r1000913c5/base_front_laser_link,0,1646317863332879188,v/m1vw10zy74w/map,-2.97686941347,-2.23134972773,0.165,0.0,0.0,-0.8616029577,0.507582843764,0,68.2725601196,63.9444084167,93.6838150024,3.24646854401
1646317863410850813,4,1646317863410850813,r1000913c5/base_front_laser_link,0,1646317863410850813,v/m1vw10zy74w/map,-2.98744289002,-2.22663674523,0.165,0.0,0.0,-0.870553738576,0.492073356576,0,69.4378051758,65.0430908203,96.2440414429,3.73365068436
1646317863568703732,5,1646317863568703732,r1000913c5/base_front_laser_link,0,1646317863568703732,v/m1vw10zy74w/map,-3.00865151008,-2.21678421769,0.165,0.0,0.0,-0.887797689971,0.460233920613,0,70.9406661987,66.0260162354,98.3767776489,4.11691856384
1646317863726236161,6,1646317863726236161,r1000913c5/base_front_laser_link,0,1646317863726236161,v/m1vw10zy74w/map,-3.02740070519,-2.19964898852,0.165,0.0,0.0,-0.903361046761,0.428880891618,0,65.5392913818,65.956489563,97.2446289062,3.76271533966
1646317863805103545,7,1646317863805103545,r1000913c5/base_front_laser_link,0,1646317863805103545,v/m1vw10zy74w/map,-3.03767138306,-2.19383773619,0.165,0.0,0.0,-0.910217958991,0.414129529411,0,66.7997512817,66.0618972778,96.5508880615,3.49633193016
1646317863883871089,8,1646317863883871089,r1000913c5/base_front_laser_link,0,1646317863883871089,v/m1vw10zy74w/map,-3.04652287636,-2.185865189,0.165,0.0,0.0,-0.917443124873,0.397866953419,0,67.4864120483,66.2201766968,96.1346054077,3.30480957031
1646317863962484768,9,1646317863962484768,r1000913c5/base_front_laser_link,0,1646317863962484768,v/m1vw10zy74w/map,-3.05699039104,-2.17563018415,0.165,0.0,0.0,-0.924976694744,0.380023833701,0,64.9871444702,66.0968704224,95.5171890259,3.14010715485
1646317864198820484,10,1646317864198820484,r1000913c5/base_front_laser_link,0,1646317864198820484,v/m1vw10zy74w/map,-3.08164363099,-2.14892085595,0.165,0.0,0.0,-0.943844517668,0.33038996121,0,69.1477966309,66.3742294312,95.7275161743,3.11776185036
1646317864355883710,11,1646317864355883710,r1000913c5/base_front_laser_link,0,1646317864355883710,v/m1vw10zy74w/map,-3.09808775394,-2.12874734289,0.165,0.0,0.0,-0.954645405703,0.297745108054,0,69.7169036865,66.6527862549,96.0288696289,3.1253619194
1646317864434981340,12,1646317864434981340,r1000913c5/base_front_laser_link,0,1646317864434981340,v/m1vw10zy74w/map,-3.10470180086,-2.11874988333,0.165,0.0,0.0,-0.959822667405,0.280607282757,0,72.501121521,67.1026535034,97.3136367798,3.40365982056
1646317864591983957,13,1646317864591983957,r1000913c5/base_front_laser_link,0,1646317864591983957,v/m1vw10zy74w/map,-3.1165021362,-2.09536152514,0.165,0.0,0.0,-0.969053636341,0.246850258038,0,70.0905380249,67.316078186,97.4147338867,3.36621856689
1646317864749926897,14,1646317864749926897,r1000913c5/base_front_laser_link,0,1646317864749926897,v/m1vw10zy74w/map,-3.12886923144,-2.07741873572,0.165,0.0,0.0,-0.977399982965,0.211398375824,0,69.1610717773,67.4390716553,97.2747650146,3.27856278419
1646317864906832108,15,1646317864906832108,r1000913c5/base_front_laser_link,0,1646317864906832108,v/m1vw10zy74w/map,-3.13356409343,-2.0586832877,0.165,0.0,0.0,-0.982022465889,0.188764076268,0,65.1207733154,67.2941818237,96.9541244507,3.2199819088
1646317864985801376,16,1646317864985801376,r1000913c5/base_front_laser_link,0,1646317864985801376,v/m1vw10zy74w/map,-3.13784512439,-2.0474906616,0.165,0.0,0.0,-0.985243281527,0.171159797285,0,67.7554702759,67.3213119507,96.6805343628,3.11974072456
1646317865142907845,17,1646317865142907845,r1000913c5/base_front_laser_link,0,1646317865142907845,v/m1vw10zy74w/map,-3.14320716424,-2.02331991261,0.165,0.0,0.0,-0.990443808907,0.137916864079,0,67.4375915527,67.3277740479,96.4079284668,3.02671718597
1646317865301259841,18,1646317865301259841,r1000913c5/base_front_laser_link,0,1646317865301259841,v/m1vw10zy74w/map,-3.15152970209,-2.00623914729,0.165,0.0,0.0,-0.994669365927,0.103115723762,0,68.8371963501,67.4072189331,96.2924804688,2.9617536068
1646317865379387002,19,1646317865379387002,r1000913c5/base_front_laser_link,0,1646317865379387002,v/m1vw10zy74w/map,-3.15469296786,-1.99457208299,0.165,0.0,0.0,-0.996184787201,0.0872689506576,0,68.3457794189,67.4541473389,96.1253128052,2.89038848877
1646317865537111587,20,1646317865537111587,r1000913c5/base_front_laser_link,0,1646317865537111587,v/m1vw10zy74w/map,-3.15803940022,-1.9710972223,0.165,0.0,0.0,-0.998650450561,0.0519353212525,0,72.2415924072,67.6821212769,96.6961288452,3.00466966629
1646317865852967403,21,1646317865852967403,r1000913c5/base_front_laser_link,0,1646317865852967403,v/m1vw10zy74w/map,-3.16092788215,-1.91442567151,0.165,0.0,0.0,-0.999913962568,-0.0131174487457,0,68.2410583496,67.7075271606,96.5115585327,2.93467760086
1646317865930039678,22,1646317865930039678,r1000913c5/base_front_laser_link,0,1646317865930039678,v/m1vw10zy74w/map,-3.16055434784,-1.90261755351,0.165,0.0,0.0,-0.999544434948,-0.0301814937502,0,66.7717895508,67.6668395996,96.2883529663,2.8738360405
1646317866009077233,23,1646317866009077233,r1000913c5/base_front_laser_link,0,1646317866009077233,v/m1vw10zy74w/map,-3.15957214967,-1.89068911645,0.165,0.0,0.0,-0.998843916276,-0.0480711027287,0,65.2001037598,67.5640640259,96.1303024292,2.85541272163
1646317866245071509,24,1646317866245071509,r1000913c5/base_front_laser_link,0,1646317866245071509,v/m1vw10zy74w/map,-3.15607311964,-1.85291808845,0.165,0.0,0.0,-0.995305722524,-0.0967807765552,0,65.5076980591,67.481803894,95.9579620361,2.82538533211
1646317866402988985,25,1646317866402988985,r1000913c5/base_front_laser_link,0,1646317866402988985,v/m1vw10zy74w/map,-3.15261742666,-1.8260823109,0.165,0.0,0.0,-0.991628931047,-0.129120343518,0,66.5132751465,67.4445571899,95.7689819336,2.77480983734
1646317866481020737,26,1646317866481020737,r1000913c5/base_front_laser_link,0,1646317866481020737,v/m1vw10zy74w/map,-3.14852601189,-1.81462302887,0.165,0.0,0.0,-0.989092843312,-0.147293405515,0,67.7518615723,67.4559402466,95.6206436157,2.72156763077
1646317866560113081,27,1646317866560113081,r1000913c5/base_front_laser_link,0,1646317866560113081,v/m1vw10zy74w/map,-3.14489313248,-1.80333755355,0.165,0.0,0.0,-0.986329523734,-0.16478492228,0,66.1465377808,67.4091720581,95.4555664062,2.68213200569
1646317866795972391,28,1646317866795972391,r1000913c5/base_front_laser_link,0,1646317866795972391,v/m1vw10zy74w/map,-3.13386314073,-1.7672091489,0.165,0.0,0.0,-0.976715555215,-0.214538397962,0,68.0415420532,67.4309768677,95.3402328491,2.63641786575
