%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.current_error,field.mean,field.threshold,field.std_dev
1.64632435952903E+018,0,1.64632435952903E+018,r1000913c5/base_front_laser_link,0,1.64632435952903E+018,v/m1vw10zy74w/map,-2.82160424187,-2.26349450455,0.165,0,0,-0.701404983779,0.712762968125,0,61.6751823425,61.6751823425,86.2132797241,1.22416198254
1.64632435976597E+018,1,1.64632435976597E+018,r1000913c5/base_front_laser_link,0,1.64632435976597E+018,v/m1vw10zy74w/map,-2.81737036487,-2.26207869135,0.165,0,0,-0.696855918642,0.717211146493,0,63.4064102173,62.5407981873,86.2132797241,1.22416198254
1.6463243599231E+018,2,1.6463243599231E+018,r1000913c5/base_front_laser_link,0,1.6463243599231E+018,v/m1vw10zy74w/map,-2.80454712943,-2.26150893,0.165,0,0,-0.682972988706,0.730443630062,0,63.3411026001,62.8075637817,85.7512130737,0.981214880943
1.64632436000298E+018,3,1.64632436000298E+018,r1000913c5/base_front_laser_link,0,1.64632436000298E+018,v/m1vw10zy74w/map,-2.79518606897,-2.26080362244,0.165,0,0,-0.672660784744,0.73995099072,0,63.8576087952,63.0700759888,85.9436645508,0.957863509655
1.6463243600814E+018,4,1.6463243600814E+018,r1000913c5/base_front_laser_link,0,1.6463243600814E+018,v/m1vw10zy74w/map,-2.78488029341,-2.25941354582,0.165,0,0,-0.661099437584,0.75029829643,0,67.2029418945,63.896648407,89.9743347168,2.02589440346
1.64632436031776E+018,5,1.64632436031776E+018,r1000913c5/base_front_laser_link,0,1.64632436031776E+018,v/m1vw10zy74w/map,-2.74975251747,-2.25254745472,0.165,0,0,-0.620070307194,0.78454624729,0,62.5189170837,63.6670265198,89.3589324951,1.89730250835
1.64632436039576E+018,6,1.64632436039576E+018,r1000913c5/base_front_laser_link,0,1.64632436039576E+018,v/m1vw10zy74w/map,-2.73780747583,-2.24962547742,0.165,0,0,-0.605546978584,0.795809560591,0,59.6634025574,63.0950813293,89.9948577881,2.29992508888
1.64632436055293E+018,7,1.64632436055293E+018,r1000913c5/base_front_laser_link,0,1.64632436055293E+018,v/m1vw10zy74w/map,-2.71700506211,-2.2381774619,0.165,0,0,-0.57691789341,0.816802145114,0,59.5073699951,62.6466178894,90.0821075439,2.47849726677
1.64632436071085E+018,8,1.64632436071085E+018,r1000913c5/base_front_laser_link,0,1.64632436071085E+018,v/m1vw10zy74w/map,-2.69808779059,-2.22600999181,0.165,0,0,-0.549381742873,0.835571481441,0,57.7477493286,62.1022987366,90.60962677,2.83577609062
1.64632436086829E+018,9,1.64632436086829E+018,r1000913c5/base_front_laser_link,0,1.64632436086829E+018,v/m1vw10zy74w/map,-2.67734856868,-2.22446388435,0.165,0,0,-0.519565343837,0.854430718949,0,55.2819137573,61.4202613831,91.7255477905,3.43509507179
1.64632436102498E+018,10,1.64632436102498E+018,r1000913c5/base_front_laser_link,0,1.64632436102498E+018,v/m1vw10zy74w/map,-2.65691368744,-2.21372922873,0.165,0,0,-0.489243503801,0.87214723183,0,55.845035553,60.9134216309,91.9139022827,3.66682815552
1.64632436118306E+018,11,1.64632436118306E+018,r1000913c5/base_front_laser_link,0,1.64632436118306E+018,v/m1vw10zy74w/map,-2.63887249678,-2.20010791374,0.165,0,0,-0.458103362028,0.888898931093,0,53.8732795715,60.3267440796,92.4586181641,4.0439581871
1.64632436141909E+018,12,1.64632436141909E+018,r1000913c5/base_front_laser_link,0,1.64632436141909E+018,v/m1vw10zy74w/map,-2.6094044166,-2.18237774393,0.165,0,0,-0.409629844175,0.912251824203,0,55.9139251709,59.9872932434,92.1691894531,4.0606303215
1.64632436157704E+018,13,1.64632436157704E+018,r1000913c5/base_front_laser_link,0,1.64632436157704E+018,v/m1vw10zy74w/map,-2.59124844501,-2.165567517,0.165,0,0,-0.376345590127,0.926479355837,0,55.5886955261,59.6731109619,91.8968963623,4.07459592819
1.64632436173503E+018,14,1.64632436173503E+018,r1000913c5/base_front_laser_link,0,1.64632436173503E+018,v/m1vw10zy74w/map,-2.57330551999,-2.14597312076,0.165,0,0,-0.342425204569,0.939545091667,0,51.4171257019,59.1227111816,92.5258789062,4.46772146225
1.64632436189207E+018,15,1.64632436189207E+018,r1000913c5/base_front_laser_link,0,1.64632436189207E+018,v/m1vw10zy74w/map,-2.55853891128,-2.1272665258,0.165,0,0,-0.308764735234,0.951138443275,0,49.6653022766,58.5316238403,93.2957687378,4.9213809967
1.64632436205006E+018,16,1.64632436205006E+018,r1000913c5/base_front_laser_link,0,1.64632436205006E+018,v/m1vw10zy74w/map,-2.56773417005,-2.09294344282,0.165,0,0,-0.275136888564,0.961405061642,0,51.4530792236,58.1152381897,93.3100662231,5.06494235992
1.64632436236598E+018,17,1.64632436236598E+018,r1000913c5/base_front_laser_link,0,1.64632436236598E+018,v/m1vw10zy74w/map,-2.54444335875,-2.04300756516,0.165,0,0,-0.205110577549,0.97873880631,0,52.000328064,57.7755203247,93.1377334595,5.12073659897
1.64632436252484E+018,18,1.64632436252484E+018,r1000913c5/base_front_laser_link,0,1.64632436252484E+018,v/m1vw10zy74w/map,-2.51546486903,-2.03291117554,0.165,0,0,-0.168710833903,0.985665589601,0,50.8659172058,57.411857605,93.0803451538,5.22282886505
