%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.current_error,field.mean,field.threshold,field.std_dev
1646328681635344939,0,1646328681635344939,r1000913c5/base_front_laser_link,0,1646328681635344939,v/m1vw10zy74w/map,-2.84853499739,-2.28207855535,0.165,0.0,0.0,-0.703376141081,0.710817841756,0,66.3144454956,66.3144454956,nan,nan
1646328681793350400,1,1646328681793350400,r1000913c5/base_front_laser_link,0,1646328681793350400,v/m1vw10zy74w/map,-2.85281924714,-2.28238555877,0.165,0.0,0.0,-0.707912905282,0.706299737034,0,68.6313323975,67.4728927612,92.3877639771,1.63829112053
1646328681871937879,2,1646328681871937879,r1000913c5/base_front_laser_link,0,1646328681871937879,v/m1vw10zy74w/map,-2.85795040305,-2.28299634571,0.165,0.0,0.0,-0.713304200737,0.700854562096,0,68.9547271729,67.966835022,92.2872009277,1.44012117386
1646328681950397485,3,1646328681950397485,r1000913c5/base_front_laser_link,0,1646328681950397485,v/m1vw10zy74w/map,-2.86463258871,-2.28267470258,0.165,0.0,0.0,-0.720263066823,0.693701026791,0,69.0493011475,68.237449646,92.120765686,1.2944368124
1646328682028236714,4,1646328682028236714,r1000913c5/base_front_laser_link,0,1646328682028236714,v/m1vw10zy74w/map,-2.87290177557,-2.28187522816,0.165,0.0,0.0,-0.728794282309,0.684732717251,0,71.1000289917,68.809967041,93.914855957,1.70162987709
1646328682186366071,5,1646328682186366071,r1000913c5/base_front_laser_link,0,1646328682186366071,v/m1vw10zy74w/map,-2.89298478852,-2.27953774871,0.165,0.0,0.0,-0.749123261655,0.66243062946,0,70.3978118896,69.0746078491,94.0374526978,1.65428030491
1646328682343311639,6,1646328682343311639,r1000913c5/base_front_laser_link,0,1646328682343311639,v/m1vw10zy74w/map,-2.91659075545,-2.27577278922,0.165,0.0,0.0,-0.772301435642,0.63525624161,0,72.008934021,69.4937973022,95.1147537231,1.87365198135
1646328682422316385,7,1646328682422316385,r1000913c5/base_front_laser_link,0,1646328682422316385,v/m1vw10zy74w/map,-2.92888528931,-2.27310488717,0.165,0.0,0.0,-0.78410161269,0.620632468517,0,69.8317947388,69.5360488892,94.7523727417,1.73877584934
1646328682579375980,8,1646328682579375980,r1000913c5/base_front_laser_link,0,1646328682579375980,v/m1vw10zy74w/map,-2.95239732282,-2.26700890603,0.165,0.0,0.0,-0.806107225879,0.591769499371,0,68.828704834,69.4574508667,94.3878860474,1.64347696304
1646328682736144379,9,1646328682736144379,r1000913c5/base_front_laser_link,0,1646328682736144379,v/m1vw10zy74w/map,-2.97789436055,-2.26103894622,0.165,0.0,0.0,-0.826750691074,0.562568480106,0,68.0287017822,69.3145751953,94.1566162109,1.61401236057
1646328682815363976,10,1646328682815363976,r1000913c5/base_front_laser_link,0,1646328682815363976,v/m1vw10zy74w/map,-2.98896571616,-2.25631339234,0.165,0.0,0.0,-0.836723511701,0.547625570045,0,68.2713928223,69.2197418213,93.9092178345,1.56315803528
1646328682894318854,11,1646328682894318854,r1000913c5/base_front_laser_link,0,1646328682894318854,v/m1vw10zy74w/map,-2.99784482426,-2.25547459884,0.165,0.0,0.0,-0.845725151104,0.533618748537,0,68.8773651123,69.1912155151,93.6722717285,1.49368619919
1646328682972324438,12,1646328682972324438,r1000913c5/base_front_laser_link,0,1646328682972324438,v/m1vw10zy74w/map,-3.0080394602,-2.25086490423,0.165,0.0,0.0,-0.854777796007,0.518994142022,0,73.3978118896,69.514793396,95.0516967773,1.84563446045
1646328683130336435,13,1646328683130336435,r1000913c5/base_front_laser_link,0,1646328683130336435,v/m1vw10zy74w/map,-3.02753805015,-2.23628620683,0.165,0.0,0.0,-0.871466099944,0.490455743822,0,70.8170013428,69.6078109741,95.0289916992,1.80705904961
1646328683287431686,14,1646328683287431686,r1000913c5/base_front_laser_link,0,1646328683287431686,v/m1vw10zy74w/map,-3.04776004122,-2.22600957161,0.165,0.0,0.0,-0.887503646534,0.46080069161,0,65.785987854,69.3530197144,95.3574981689,2.00149202347
1646328683366407269,15,1646328683366407269,r1000913c5/base_front_laser_link,0,1646328683366407269,v/m1vw10zy74w/map,-3.05743826652,-2.21904517343,0.165,0.0,0.0,-0.895570124275,0.444920388953,0,66.2928619385,69.1617660522,95.4001693726,2.07946920395
