%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.current_error,field.mean,field.threshold,field.std_dev
1646391836574344947,0,1646391836574344947,r1000913c5/base_front_laser_link,0,1646391836574344947,v/m1vw10zy74w/map,-2.84402095838,-2.29989748927,0.165,0.0,0.0,0.700220731042,-0.713926416249,0,57.6484794617,57.6484794617,nan,nan
1646391836732402477,1,1646391836732402477,r1000913c5/base_front_laser_link,0,1646391836732402477,v/m1vw10zy74w/map,-2.84154107813,-2.29829828531,0.165,0.0,0.0,0.697536737938,-0.716549020812,0,55.9006156921,56.7745475769,80.4823226929,1.2359251976
1646391836889466788,2,1646391836889466788,r1000913c5/base_front_laser_link,0,1646391836889466788,v/m1vw10zy74w/map,-2.83121524112,-2.29930792579,0.165,0.0,0.0,0.686439768861,-0.727186663606,0,61.1437683105,58.2309532166,86.2399597168,2.66966724396
1646391837047554820,3,1646391837047554820,r1000913c5/base_front_laser_link,0,1646391837047554820,v/m1vw10zy74w/map,-2.81292911551,-2.29772097698,0.165,0.0,0.0,0.666254600473,-0.745724350782,0,63.7636871338,59.6141395569,90.180015564,3.52195954323
1646391837284513681,4,1646391837284513681,r1000913c5/base_front_laser_link,0,1646391837284513681,v/m1vw10zy74w/map,-2.77780209823,-2.29158345379,0.165,0.0,0.0,0.625615224793,-0.780131777655,0,63.9032173157,60.4719543457,91.2812805176,3.60310792923
1646391837441266265,5,1646391837441266265,r1000913c5/base_front_laser_link,0,1646391837441266265,v/m1vw10zy74w/map,-2.75410529067,-2.28555735546,0.165,0.0,0.0,0.59670637375,-0.802459658504,0,63.0527076721,60.9020805359,91.0737838745,3.39056921005
1646391837679160075,6,1646391837679160075,r1000913c5/base_front_laser_link,0,1646391837679160075,v/m1vw10zy74w/map,-2.72157724844,-2.26704168137,0.165,0.0,0.0,0.555723486747,-0.831367191004,0,64.3036193848,61.3880157471,91.4426651001,3.35155081749
1646391837915516444,7,1646391837915516444,r1000913c5/base_front_laser_link,0,1646391837915516444,v/m1vw10zy74w/map,-2.69004149971,-2.25037841498,0.165,0.0,0.0,-0.512243783904,0.858840093296,0,60.5453033447,61.2826766968,90.6342926025,3.11720442772
1646391838071463493,8,1646391838071463493,r1000913c5/base_front_laser_link,0,1646391838071463493,v/m1vw10zy74w/map,-2.669901817,-2.23850083744,0.165,0.0,0.0,-0.481943102242,0.876202514378,0,57.2314109802,60.83253479,90.4727554321,3.21340656281
1646391838150468850,9,1646391838150468850,r1000913c5/base_front_laser_link,0,1646391838150468850,v/m1vw10zy74w/map,-2.66160411288,-2.22290022469,0.165,0.0,0.0,-0.466359234125,0.88459542433,0,58.6630706787,60.6155891418,89.9345855713,3.10633349419
1646391838229650812,10,1646391838229650812,r1000913c5/base_front_laser_link,0,1646391838229650812,v/m1vw10zy74w/map,-2.6520297525,-2.21505138208,0.165,0.0,0.0,-0.450317093131,0.892868700109,0,54.3760452271,60.0483589172,90.5370559692,3.49623227119
1646391838465565393,11,1646391838465565393,r1000913c5/base_front_laser_link,0,1646391838465565393,v/m1vw10zy74w/map,-2.6237553664,-2.18632987816,0.165,0.0,0.0,-0.40201090028,0.915634881411,0,54.8105964661,59.6118774414,90.5930938721,3.66040682793
1646391838622422336,12,1646391838622422336,r1000913c5/base_front_laser_link,0,1646391838622422336,v/m1vw10zy74w/map,-2.60353458145,-2.17197759775,0.165,0.0,0.0,-0.369381140497,0.929277984806,0,55.3197898865,59.2817153931,90.3854064941,3.70123052597
1646391838780370561,13,1646391838780370561,r1000913c5/base_front_laser_link,0,1646391838780370561,v/m1vw10zy74w/map,-2.59172970628,-2.14530062325,0.165,0.0,0.0,-0.335291642937,0.942114384869,0,57.3249320984,59.1419448853,89.9247817993,3.5942773819
1646391838937715768,14,1646391838937715768,r1000913c5/base_front_laser_link,0,1646391838937715768,v/m1vw10zy74w/map,-2.57549858858,-2.12481810796,0.165,0.0,0.0,-0.301202366494,0.95356024163,0,55.8880996704,58.9250221252,89.61693573,3.56397128105
1646391839095445830,15,1646391839095445830,r1000913c5/base_front_laser_link,0,1646391839095445830,v/m1vw10zy74w/map,-2.56125637448,-2.10514933235,0.165,0.0,0.0,-0.267361877559,0.963596194694,0,54.6482582092,58.6577262878,89.4736557007,3.60531115532
1646391839252484249,16,1646391839252484249,r1000913c5/base_front_laser_link,0,1646391839252484249,v/m1vw10zy74w/map,-2.54645486297,-2.08565932163,0.165,0.0,0.0,-0.232422975658,0.972614805761,0,57.1656227112,58.5699539185,89.0985641479,3.50953578949
1646391839410493086,17,1646391839410493086,r1000913c5/base_front_laser_link,0,1646391839410493086,v/m1vw10zy74w/map,-2.53391990026,-2.06653172463,0.165,0.0,0.0,-0.197878576235,0.980226539667,0,54.0702781677,58.3199729919,89.0183105469,3.56611251831
