%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.current_error,field.mean,field.threshold,field.std_dev
1646420125963712882,0,1646420125963712882,r1000913c5/base_front_laser_link,0,1646420125963712882,v/m1vw10zy74w/map,-2.8451051484,-2.27621589818,0.165,0.0,0.0,-0.706242869251,0.70796963892,0,59.6115379333,59.6115379333,nan,nan
1646420127619922778,1,1646420127619922778,r1000913c5/base_front_laser_link,0,1646420127619922778,v/m1vw10zy74w/map,-2.84031587559,-2.16085885934,0.165,0.0,0.0,-0.703295658835,0.710897472399,0,56.6096687317,58.1106033325,84.4785308838,2.12264275551
1646420127855304717,2,1646420127855304717,r1000913c5/base_front_laser_link,0,1646420127855304717,v/m1vw10zy74w/map,-2.83525469404,-2.15908225838,0.165,0.0,0.0,-0.69787534957,0.716219237708,0,57.1426467896,57.7879524231,82.5927505493,1.60159850121
1646420128012853638,3,1646420128012853638,r1000913c5/base_front_laser_link,0,1646420128012853638,v/m1vw10zy74w/map,-2.82126955771,-2.15865683908,0.165,0.0,0.0,-0.68274653317,0.730655302756,0,58.4306716919,57.9486312866,81.9884567261,1.34660720825
1646420128091938487,4,1646420128091938487,r1000913c5/base_front_laser_link,0,1646420128091938487,v/m1vw10zy74w/map,-2.81166883729,-2.15773585797,0.165,0.0,0.0,-0.672154995035,0.74041046903,0,57.7389373779,57.9066925049,81.4165725708,1.16996049881
1646420128171001437,5,1646420128171001437,r1000913c5/base_front_laser_link,0,1646420128171001437,v/m1vw10zy74w/map,-2.80076981744,-2.15635919894,0.165,0.0,0.0,-0.659920161657,0.751335730708,0,54.7986297607,57.3886833191,82.3227996826,1.64470469952
1646420128250092334,6,1646420128250092334,r1000913c5/base_front_laser_link,0,1646420128250092334,v/m1vw10zy74w/map,-2.78888996934,-2.15448633195,0.165,0.0,0.0,-0.646321053827,0.763065590484,0,60.4502067566,57.8260421753,83.5127639771,1.89557421207
1646420128407028117,7,1646420128407028117,r1000913c5/base_front_laser_link,0,1646420128407028117,v/m1vw10zy74w/map,-2.7646942003,-2.14964653478,0.165,0.0,0.0,-0.617751104015,0.786373685653,0,61.3176803589,58.2624969482,84.6994552612,2.14565348625
1646420128722822155,8,1646420128722822155,r1000913c5/base_front_laser_link,0,1646420128722822155,v/m1vw10zy74w/map,-2.72380987747,-2.14922250839,0.165,0.0,0.0,-0.562779318872,0.826607184974,0,58.913444519,58.3348236084,84.3911361694,2.01876974106
1646420128880259268,9,1646420128880259268,r1000913c5/base_front_laser_link,0,1646420128880259268,v/m1vw10zy74w/map,-2.69736158823,-2.14958047676,0.165,0.0,0.0,-0.532922582806,0.84616400345,0,60.2296257019,58.5243034363,84.5105133057,1.99540281296
1646420129196424239,10,1646420129196424239,r1000913c5/base_front_laser_link,0,1646420129196424239,v/m1vw10zy74w/map,-2.66398786934,-2.13849071229,0.165,0.0,0.0,-0.471745054276,0.881734996338,0,54.9792251587,58.2020263672,84.723815918,2.17393159866
1646420129352990787,11,1646420129352990787,r1000913c5/base_front_laser_link,0,1646420129352990787,v/m1vw10zy74w/map,-2.64464276028,-2.12625771244,0.165,0.0,0.0,-0.440350582872,0.89782590972,0,56.5838241577,58.0671768188,84.4414215088,2.12474894524
1646420129747369548,12,1646420129747369548,r1000913c5/base_front_laser_link,0,1646420129747369548,v/m1vw10zy74w/map,-2.59322371157,-2.09185963474,0.165,0.0,0.0,-0.355475270951,0.934685686069,0,55.8224411011,57.8945045471,84.2767868042,2.12742733955
1646420129826239424,13,1646420129826239424,r1000913c5/base_front_laser_link,0,1646420129826239424,v/m1vw10zy74w/map,-2.58565927217,-2.08291068821,0.165,0.0,0.0,-0.339073242624,0.940759977963,0,53.5086326599,57.5812263489,84.6498947144,2.3562233448
1646420129905872877,14,1646420129905872877,r1000913c5/base_front_laser_link,0,1646420129905872877,v/m1vw10zy74w/map,-2.57826859927,-2.07367657982,0.165,0.0,0.0,-0.322403016405,0.94660250106,0,52.6421356201,57.251953125,85.0643692017,2.60413908958
