%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.current_error,field.mean,field.threshold,field.std_dev
1646428159685131655,0,1646428159685131655,r1000913c5/base_front_laser_link,0,1646428159685131655,v/m1vw10zy74w/map,-2.78790384251,-2.25968753317,0.165,0.0,0.0,-0.648671998964,0.761068090094,0,59.3151054382,59.3151054382,nan,nan
1646428159842403396,1,1646428159842403396,r1000913c5/base_front_laser_link,0,1646428159842403396,v/m1vw10zy74w/map,-2.76345002451,-2.25492497356,0.165,0.0,0.0,-0.619895128558,0.784684668889,0,61.608455658,60.4617805481,85.3267059326,1.62164270878
1646428160000061457,2,1646428160000061457,r1000913c5/base_front_laser_link,0,1646428160000061457,v/m1vw10zy74w/map,-2.73953033418,-2.2487711435,0.165,0.0,0.0,-0.590512454325,0.807028525696,0,58.7018585205,59.8751411438,84.4714126587,1.532091856
1646428160237116191,3,1646428160237116191,r1000913c5/base_front_laser_link,0,1646428160237116191,v/m1vw10zy74w/map,-2.69167688514,-2.23020364129,0.165,0.0,0.0,-0.551815675143,0.833966102828,0,56.9360427856,59.1403656006,84.9300079346,1.92988145351
1646428160394107098,4,1646428160394107098,r1000913c5/base_front_laser_link,0,1646428160394107098,v/m1vw10zy74w/map,-2.67530766606,-2.22311070578,0.165,0.0,0.0,-0.525454232369,0.850821867188,0,56.9385528564,58.7000045776,84.5194854736,1.9398266077
1646428160552178500,5,1646428160552178500,r1000913c5/base_front_laser_link,0,1646428160552178500,v/m1vw10zy74w/map,-2.65443628687,-2.20949863862,0.165,0.0,0.0,-0.494978367942,0.868905297066,0,55.9852180481,58.2475395203,84.4239578247,2.05880641937
1646428160788159693,6,1646428160788159693,r1000913c5/base_front_laser_link,0,1646428160788159693,v/m1vw10zy74w/map,-2.62385447413,-2.1830030673,0.165,0.0,0.0,-0.448445711454,0.89381007148,0,61.4305343628,58.7022514343,85.3967514038,2.23149871826
1646428160946460393,7,1646428160946460393,r1000913c5/base_front_laser_link,0,1646428160946460393,v/m1vw10zy74w/map,-2.60476922592,-2.16226512227,0.165,0.0,0.0,-0.415440289771,0.909620451416,0,61.2793579102,59.0243911743,85.7982788086,2.2579638958
1646428161182145385,8,1646428161182145385,r1000913c5/base_front_laser_link,0,1646428161182145385,v/m1vw10zy74w/map,-2.57708000657,-2.13835188805,0.165,0.0,0.0,-0.365682681043,0.930739585913,0,56.0707511902,58.6962089539,85.6871948242,2.33032870293
1646428161340177642,9,1646428161340177642,r1000913c5/base_front_laser_link,0,1646428161340177642,v/m1vw10zy74w/map,-2.5611043517,-2.11590914543,0.165,0.0,0.0,-0.331726816261,0.943375492248,0,53.2588768005,58.1524772644,86.5221557617,2.78989362717
1646428161418358393,10,1646428161418358393,r1000913c5/base_front_laser_link,0,1646428161418358393,v/m1vw10zy74w/map,-2.55102986344,-2.11023028867,0.165,0.0,0.0,-0.314988398454,0.949095521452,0,52.5207099915,57.6404953003,87.0742950439,3.14459872246
1646428161576269473,11,1646428161576269473,r1000913c5/base_front_laser_link,0,1646428161576269473,v/m1vw10zy74w/map,-2.53816236405,-2.09477594617,0.165,0.0,0.0,-0.280915739176,0.959732435361,0,51.1258201599,57.0976066589,87.7153625488,3.53925085068
1646428161655080177,12,1646428161655080177,r1000913c5/base_front_laser_link,0,1646428161655080177,v/m1vw10zy74w/map,-2.53183063905,-2.08454700486,0.165,0.0,0.0,-0.263622347849,0.964625967779,0,52.359588623,56.7331428528,87.6365127563,3.63445591927
1646428161812233142,13,1646428161812233142,r1000913c5/base_front_laser_link,0,1646428161812233142,v/m1vw10zy74w/map,-2.51985129436,-2.06119753747,0.165,0.0,0.0,-0.227935962049,0.973676125416,0,50.1986465454,56.2663955688,87.979133606,3.90424728394
1646428161970240093,14,1646428161970240093,r1000913c5/base_front_laser_link,0,1646428161970240093,v/m1vw10zy74w/map,-2.50849487984,-2.0374131989,0.165,0.0,0.0,-0.192193472082,0.981357054944,0,53.9032325745,56.1088485718,87.543006897,3.81138467789
1646428162049326367,15,1646428162049326367,r1000913c5/base_front_laser_link,0,1646428162049326367,v/m1vw10zy74w/map,-2.50482580425,-2.02670282313,0.165,0.0,0.0,-0.174705795633,0.984620680756,0,53.2078704834,55.9275398254,87.1862106323,3.75289082527
1646428162127380105,16,1646428162127380105,r1000913c5/base_front_laser_link,0,1646428162127380105,v/m1vw10zy74w/map,-2.5001724411,-2.01502469847,0.165,0.0,0.0,-0.157319118583,0.987547819059,0,52.0315475464,55.6983642578,86.9620742798,3.75457000732
1646428162364158649,17,1646428162364158649,r1000913c5/base_front_laser_link,0,1646428162364158649,v/m1vw10zy74w/map,-2.50442507853,-1.97732692433,0.165,0.0,0.0,-0.104978676432,0.994474473023,0,43.7868995667,55.0366134644,88.8333435059,4.59890842438
1646428162521223430,18,1646428162521223430,r1000913c5/base_front_laser_link,0,1646428162521223430,v/m1vw10zy74w/map,-2.50307595838,-1.95803568432,0.165,0.0,0.0,-0.0703131798229,0.997524965474,0,46.4828529358,54.5864181519,89.2299346924,4.88117265701
1646428162759133845,19,1646428162759133845,r1000913c5/base_front_laser_link,0,1646428162759133845,v/m1vw10zy74w/map,-2.49716233931,-1.9303975655,0.165,0.0,0.0,-0.0160942640197,0.999870478945,0,49.5606651306,54.3351287842,88.9813842773,4.88208627701
