%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.current_error,field.mean,field.threshold,field.std_dev
1646437136378240548,0,1646437136378240548,r1000913c5/base_front_laser_link,0,1646437136378240548,v/m1vw10zy74w/map,-2.82263597765,-2.30017226232,0.165,0.0,0.0,-0.703395743127,0.710798444392,0,65.9863967896,65.9863967896,nan,nan
1646437136457237651,1,1646437136457237651,r1000913c5/base_front_laser_link,0,1646437136457237651,v/m1vw10zy74w/map,-2.82123965398,-2.29924248996,0.165,0.0,0.0,-0.701902024205,0.71227350675,0,65.2860641479,65.6362304688,87.1218719482,0.495212942362
1646437136693311103,2,1646437136693311103,r1000913c5/base_front_laser_link,0,1646437136693311103,v/m1vw10zy74w/map,-2.80465749586,-2.29975088313,0.165,0.0,0.0,-0.684060827456,0.729424968273,0,69.7454833984,67.0059814453,94.2005157471,2.39817905426
1646437136930233312,3,1646437136930233312,r1000913c5/base_front_laser_link,0,1646437136930233312,v/m1vw10zy74w/map,-2.77334301253,-2.29531013152,0.165,0.0,0.0,-0.648899859401,0.760873821648,0,70.5297088623,67.8869171143,95.7891387939,2.63407373428
1646437137245122955,4,1646437137245122955,r1000913c5/base_front_laser_link,0,1646437137245122955,v/m1vw10zy74w/map,-2.72483294422,-2.28346570115,0.165,0.0,0.0,-0.590367994141,0.807134209097,0,63.3876914978,66.9870681763,96.1123733521,3.04176902771
1646437137403029326,5,1646437137403029326,r1000913c5/base_front_laser_link,0,1646437137403029326,v/m1vw10zy74w/map,-2.69926912388,-2.28242790764,0.165,0.0,0.0,-0.565657219096,0.82464047347,0,63.6836738586,66.4365005493,95.5461502075,3.03654813766
1646437137639606690,6,1646437137639606690,r1000913c5/base_front_laser_link,0,1646437137639606690,v/m1vw10zy74w/map,-2.67113416639,-2.26536251068,0.165,0.0,0.0,-0.517902395434,0.855439716639,0,62.2105865479,65.8328018188,95.430480957,3.19922661781
1646437137875680043,7,1646437137875680043,r1000913c5/base_front_laser_link,0,1646437137875680043,v/m1vw10zy74w/map,-2.64462587938,-2.24163092481,0.165,0.0,0.0,-0.471963452694,0.88161811422,0,61.6578330994,65.3109283447,95.2389373779,3.30933451653
1646437137954200682,8,1646437137954200682,r1000913c5/base_front_laser_link,0,1646437137954200682,v/m1vw10zy74w/map,-2.63448784051,-2.22968396019,0.165,0.0,0.0,-0.456071048622,0.889943368203,0,60.5702171326,64.7841873169,95.2110214233,3.4756128788
1646437138190739753,9,1646437138190739753,r1000913c5/base_front_laser_link,0,1646437138190739753,v/m1vw10zy74w/map,-2.60940008751,-2.20580005081,0.165,0.0,0.0,-0.406687921891,0.913567148155,0,56.0209770203,63.9078636169,96.7823944092,4.2915096283
1646437138426442870,10,1646437138426442870,r1000913c5/base_front_laser_link,0,1646437138426442870,v/m1vw10zy74w/map,-2.5843229335,-2.18025158211,0.165,0.0,0.0,-0.356249764575,0.934390766885,0,55.7763175964,63.1686325073,97.4261932373,4.75251960754
1646437138584302715,11,1646437138584302715,r1000913c5/base_front_laser_link,0,1646437138584302715,v/m1vw10zy74w/map,-2.56952987126,-2.16256974351,0.165,0.0,0.0,-0.323869570394,0.946101739441,0,53.9944763184,62.4041175842,98.1496582031,5.24851322174
1646437138820311949,12,1646437138820311949,r1000913c5/base_front_laser_link,0,1646437138820311949,v/m1vw10zy74w/map,-2.54905250378,-2.12849207733,0.165,0.0,0.0,-0.273153207354,0.96197054285,0,53.3947105408,61.7110862732,98.5472412109,5.61205148697
1646437138977350983,13,1646437138977350983,r1000913c5/base_front_laser_link,0,1646437138977350983,v/m1vw10zy74w/map,-2.53648769927,-2.10804279829,0.165,0.0,0.0,-0.239349082496,0.970933579967,0,54.065071106,61.1649436951,98.4633331299,5.76612949371
1646437139056263465,14,1646437139056263465,r1000913c5/base_front_laser_link,0,1646437139056263465,v/m1vw10zy74w/map,-2.53090874125,-2.097381131,0.165,0.0,0.0,-0.221853732419,0.97507995642,0,54.3810691833,60.7126846313,98.1904678345,5.82592821121
1646437139291541769,15,1646437139291541769,r1000913c5/base_front_laser_link,0,1646437139291541769,v/m1vw10zy74w/map,-2.5167696232,-2.05862705265,0.165,0.0,0.0,-0.170408687531,0.985373471945,0,52.8591384888,60.2218399048,98.104850769,5.96100330353
1646437139449555043,16,1646437139449555043,r1000913c5/base_front_laser_link,0,1646437139449555043,v/m1vw10zy74w/map,-2.5104989099,-2.03498181454,0.165,0.0,0.0,-0.135923701095,0.990719308119,0,49.2423858643,59.5759887695,98.6451797485,6.35639762878
1646437139527787575,17,1646437139527787575,r1000913c5/base_front_laser_link,0,1646437139527787575,v/m1vw10zy74w/map,-2.50783470442,-2.02362569124,0.165,0.0,0.0,-0.118505166125,0.992953435767,0,44.9274330139,58.7621803284,99.9643936157,7.06740570068
1646437139686083751,18,1646437139686083751,r1000913c5/base_front_laser_link,0,1646437139686083751,v/m1vw10zy74w/map,-2.50239085493,-1.9966369895,0.165,0.0,0.0,-0.082989221803,0.996550444817,0,45.0434913635,58.0401420593,100.705276489,7.55504512787
1646437139921183854,19,1646437139921183854,r1000913c5/base_front_laser_link,0,1646437139921183854,v/m1vw10zy74w/map,-2.50025940626,-1.96181534998,0.165,0.0,0.0,-0.0300209348524,0.999549270157,0,52.1386146545,57.7450675964,100.158096313,7.47100830078
