%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.current_error,field.mean,field.threshold,field.std_dev
1646454049786053747,0,1646454049786053747,r1000913c5/base_front_laser_link,0,1646454049786053747,v/m1vw10zy74w/map,-2.81994998938,-2.28206835339,0.165,0.0,0.0,-0.705592123052,0.708618201775,0,62.1346244812,62.1346244812,nan,nan
1646454049944631648,1,1646454049944631648,r1000913c5/base_front_laser_link,0,1646454049944631648,v/m1vw10zy74w/map,-2.82444996312,-2.28204435691,0.165,0.0,0.0,-0.7103389404,0.703859779893,0,66.4005813599,64.2676010132,93.3170700073,3.01648807526
1646454050180990928,2,1646454050180990928,r1000913c5/base_front_laser_link,0,1646454050180990928,v/m1vw10zy74w/map,-2.84315933468,-2.28057145799,0.165,0.0,0.0,-0.729761891112,0.683701383852,0,66.0019760132,64.8457260132,91.9147109985,2.35632801056
1646454050415869866,3,1646454050415869866,r1000913c5/base_front_laser_link,0,1646454050415869866,v/m1vw10zy74w/map,-2.8730257568,-2.27661761847,0.165,0.0,0.0,-0.759769537831,0.65019247103,0,66.9136734009,65.3627166748,91.9152374268,2.1841750145
1646454050574091061,4,1646454050574091061,r1000913c5/base_front_laser_link,0,1646454050574091061,v/m1vw10zy74w/map,-2.89752979151,-2.27190968782,0.165,0.0,0.0,-0.783479993143,0.621417010021,0,67.895866394,65.8693466187,92.4838790894,2.20484447479
1646454050652860188,5,1646454050652860188,r1000913c5/base_front_laser_link,0,1646454050652860188,v/m1vw10zy74w/map,-2.90974315041,-2.26891198109,0.165,0.0,0.0,-0.79501684564,0.606587351623,0,66.2762451172,65.9371643066,91.8743286133,1.97905683517
1646454050810535457,6,1646454050810535457,r1000913c5/base_front_laser_link,0,1646454050810535457,v/m1vw10zy74w/map,-2.93119824393,-2.27146592878,0.165,0.0,0.0,-0.815855698889,0.578255547825,0,64.0162124634,65.6627426147,91.5039138794,1.94705843925
1646454051125979280,7,1646454051125979280,r1000913c5/base_front_laser_link,0,1646454051125979280,v/m1vw10zy74w/map,-2.97891006551,-2.25219173367,0.165,0.0,0.0,-0.854969419429,0.518678408883,0,62.9120597839,65.3189086914,91.4635925293,2.04822850227
1646454051362007049,8,1646454051362007049,r1000913c5/base_front_laser_link,0,1646454051362007049,v/m1vw10zy74w/map,-3.01012040693,-2.23709603836,0.165,0.0,0.0,-0.880477448133,0.474088033312,0,63.4583892822,65.1121826172,91.1536254883,2.01381444931
1646454051520149853,9,1646454051520149853,r1000913c5/base_front_laser_link,0,1646454051520149853,v/m1vw10zy74w/map,-3.0296826527,-2.2232364835,0.165,0.0,0.0,-0.896888838859,0.442256046572,0,63.2753334045,64.9284973145,90.8850250244,1.98550844193
1646454051676865408,10,1646454051676865408,r1000913c5/base_front_laser_link,0,1646454051676865408,v/m1vw10zy74w/map,-3.05372662841,-2.21007672799,0.165,0.0,0.0,-0.91153305056,0.411226820304,0,60.3979988098,64.5166320801,91.4970092773,2.3267929554
1646454051992272402,11,1646454051992272402,r1000913c5/base_front_laser_link,0,1646454051992272402,v/m1vw10zy74w/map,-3.08889878558,-2.18415330041,0.165,0.0,0.0,-0.938432397793,0.345462928216,0,58.0973129272,63.9816894531,92.6535873413,2.89063286781
1646454052228835735,12,1646454052228835735,r1000913c5/base_front_laser_link,0,1646454052228835735,v/m1vw10zy74w/map,-3.11378413871,-2.16113435338,0.165,0.0,0.0,-0.955148747752,0.296126442028,0,57.4862556458,63.4820404053,93.3888015747,3.30225396156
1646454052387056013,13,1646454052387056013,r1000913c5/base_front_laser_link,0,1646454052387056013,v/m1vw10zy74w/map,-3.12744568968,-2.14687879606,0.165,0.0,0.0,-0.964593413308,0.263741439676,0,59.229850769,63.178314209,93.2886047363,3.37009692192
1646454052543984462,14,1646454052543984462,r1000913c5/base_front_laser_link,0,1646454052543984462,v/m1vw10zy74w/map,-3.14027882594,-2.12774474216,0.165,0.0,0.0,-0.973304792744,0.229516405562,0,58.4977798462,62.8662796021,93.2615203857,3.46508193016
