%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.current_error,field.mean,field.threshold,field.std_dev
1646486504742172053,0,1646486504742172053,r1000913c5/base_front_laser_link,0,1646486504742172053,v/m1vw10zy74w/map,-15.9575660549,-0.918752171565,0.165,0.0,0.0,-0.721652417444,0.692255580257,0,54.5422210693,54.5422210693,nan,nan
1646486504899060093,1,1646486504899060093,r1000913c5/base_front_laser_link,0,1646486504899060093,v/m1vw10zy74w/map,-15.95510197,-0.874054787299,0.165,0.0,0.0,-0.720993883191,0.692941426385,0,56.8971099854,55.7196655273,80.7151412964,1.66515874863
1646486505057149133,2,1646486505057149133,r1000913c5/base_front_laser_link,0,1646486505057149133,v/m1vw10zy74w/map,-15.9554348497,-0.829883065769,0.165,0.0,0.0,-0.718903275205,0.695110121419,0,58.6849250793,56.7080841064,82.9415206909,2.07781076431
1646486506395392827,3,1646486506395392827,r1000913c5/base_front_laser_link,0,1646486506395392827,v/m1vw10zy74w/map,-15.9474855313,-0.77307373487,0.165,0.0,0.0,-0.718301117574,0.69573235119,0,60.2246780396,57.5872344971,84.9171829224,2.44331765175
1646486506790170835,4,1646486506790170835,r1000913c5/base_front_laser_link,0,1646486506790170835,v/m1vw10zy74w/map,-15.9397035581,-0.784117120583,0.165,0.0,0.0,-0.709868717853,0.704334014097,0,61.6058540344,58.3909568787,86.7195129395,2.7761862278
1646486506867372869,5,1646486506867372869,r1000913c5/base_front_laser_link,0,1646486506867372869,v/m1vw10zy74w/map,-15.9332060806,-0.789172359014,0.165,0.0,0.0,-0.702973949159,0.711215597976,0,64.4568405151,59.4019393921,89.9225997925,3.50688719749
1646486507184708291,6,1646486507184708291,r1000913c5/base_front_laser_link,0,1646486507184708291,v/m1vw10zy74w/map,-15.8897500958,-0.811443576983,0.165,0.0,0.0,-0.657055416076,0.75384227807,0,66.4018478394,60.4019241333,92.8612747192,4.1531162262
1646486507340258946,7,1646486507340258946,r1000913c5/base_front_laser_link,0,1646486507340258946,v/m1vw10zy74w/map,-15.8580909282,-0.823436901175,0.165,0.0,0.0,-0.62355697436,0.781777909465,0,64.8537216187,60.9584007263,93.4225311279,4.15471124649
1646486507419246603,8,1646486507419246603,r1000913c5/base_front_laser_link,0,1646486507419246603,v/m1vw10zy74w/map,-15.8397485308,-0.829013809806,0.165,0.0,0.0,-0.60408693312,0.796918425708,0,60.887512207,60.9505233765,92.6098709106,3.88644838333
1646486507577469519,9,1646486507577469519,r1000913c5/base_front_laser_link,0,1646486507577469519,v/m1vw10zy74w/map,-15.8025797386,-0.846499120127,0.165,0.0,0.0,-0.564135490187,0.825682232285,0,65.4022750854,61.3956985474,93.1716156006,3.92530441284
1646486507734404042,10,1646486507734404042,r1000913c5/base_front_laser_link,0,1646486507734404042,v/m1vw10zy74w/map,-15.7755948706,-0.840396102174,0.165,0.0,0.0,-0.530533237415,0.847664133958,0,61.0915031433,61.3680458069,92.5430450439,3.72500014305
1646486507892293103,11,1646486507892293103,r1000913c5/base_front_laser_link,0,1646486507892293103,v/m1vw10zy74w/map,-15.7549580977,-0.834709129524,0.165,0.0,0.0,-0.505315642505,0.862934587,0,62.3063545227,61.4462356567,92.1321258545,3.56196212769
1646486508286349299,12,1646486508286349299,r1000913c5/base_front_laser_link,0,1646486508286349299,v/m1vw10zy74w/map,-15.7114709496,-0.80368298466,0.165,0.0,0.0,-0.443441197172,0.896303466829,0,60.8022727966,61.3967018127,91.6416778564,3.4149928093
1646486508364436398,13,1646486508364436398,r1000913c5/base_front_laser_link,0,1646486508364436398,v/m1vw10zy74w/map,-15.7069886011,-0.802008721862,0.165,0.0,0.0,-0.438044553589,0.898953263007,0,59.4883041382,61.2603874207,91.2216644287,3.32042574883
