%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.current_error,field.mean,field.threshold,field.std_dev
1646506480159866575,0,1646506480159866575,r1000913c5/base_front_laser_link,0,1646506480159866575,v/m1vw10zy74w/map,-2.88367945187,-2.26363720063,0.165,0.0,0.0,-0.69441066571,0.719578923641,0,61.0971450806,61.0971450806,nan,nan
1646506480396653295,1,1646506480396653295,r1000913c5/base_front_laser_link,0,1646506480396653295,v/m1vw10zy74w/map,-2.88049064262,-2.26265293579,0.165,0.0,0.0,-0.690937759427,0.722914249823,0,59.9846420288,60.5408935547,82.9008712769,0.786658644676
1646506480475941099,2,1646506480475941099,r1000913c5/base_front_laser_link,0,1646506480475941099,v/m1vw10zy74w/map,-2.87663982691,-2.26364998089,0.165,0.0,0.0,-0.686819081352,0.726828418191,0,61.0330696106,60.70495224,82.5788421631,0.624629259109
1646506480632812441,3,1646506480632812441,r1000913c5/base_front_laser_link,0,1646506480632812441,v/m1vw10zy74w/map,-2.86168492536,-2.26207772835,0.165,0.0,0.0,-0.670339464191,0.742054582054,0,61.7933197021,60.9770431519,83.2144927979,0.745816767216
1646506480870688046,4,1646506480870688046,r1000913c5/base_front_laser_link,0,1646506480870688046,v/m1vw10zy74w/map,-2.82851949616,-2.25644912034,0.165,0.0,0.0,-0.632233688223,0.77477775102,0,61.3524436951,61.0521240234,83.0541992188,0.667358279228
1646506481026877205,5,1646506481026877205,r1000913c5/base_front_laser_link,0,1646506481026877205,v/m1vw10zy74w/map,-2.80437589827,-2.25074914864,0.165,0.0,0.0,-0.603083349429,0.797678176736,0,58.0647659302,60.5542297363,84.6276931763,1.35782182217
1646506481185669915,6,1646506481185669915,r1000913c5/base_front_laser_link,0,1646506481185669915,v/m1vw10zy74w/map,-2.78097149238,-2.24368524461,0.165,0.0,0.0,-0.573543025906,0.819175437519,0,57.1745414734,60.0714187622,85.4112091064,1.77993142605
1646506481421932260,7,1646506481421932260,r1000913c5/base_front_laser_link,0,1646506481421932260,v/m1vw10zy74w/map,-2.75283531044,-2.23607832169,0.165,0.0,0.0,-0.532808514022,0.846235834378,0,55.2952003479,59.4743919373,86.5527954102,2.35946941376
1646506481656858131,8,1646506481656858131,r1000913c5/base_front_laser_link,0,1646506481656858131,v/m1vw10zy74w/map,-2.72123331025,-2.22066430064,0.165,0.0,0.0,-0.488220120951,0.87272052428,0,56.3881072998,59.1314697266,86.4366760254,2.43506836891
1646506481736934563,9,1646506481736934563,r1000913c5/base_front_laser_link,0,1646506481736934563,v/m1vw10zy74w/map,-2.70982501871,-2.21522481318,0.165,0.0,0.0,-0.472724746493,0.881210141824,0,57.0639381409,58.9247169495,86.0859832764,2.38708758354
1646506481972883987,10,1646506481972883987,r1000913c5/base_front_laser_link,0,1646506481972883987,v/m1vw10zy74w/map,-2.68247395738,-2.19847581702,0.165,0.0,0.0,-0.424185948392,0.905575110737,0,58.9873390198,58.9304084778,85.7244186401,2.26466870308
1646506482209976894,11,1646506482209976894,r1000913c5/base_front_laser_link,0,1646506482209976894,v/m1vw10zy74w/map,-2.65451527759,-2.17062724142,0.165,0.0,0.0,-0.373626618512,0.927579187961,0,53.8940620422,58.5107154846,86.32006073,2.60311579704
