%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.current_error,field.mean,field.threshold,field.std_dev
1646712279816025966,0,1646712279816025966,r1000913c5/base_front_laser_link,0,1646712279816025966,v/m1vw10zy74w/map,-2.8556246158,-2.42313248319,0.165,0.0,0.0,-0.697201561463,0.716875151399,0,59.3846931458,59.3846931458,nan,nan
1646712279894668218,1,1646712279894668218,r1000913c5/base_front_laser_link,0,1646712279894668218,v/m1vw10zy74w/map,-2.85596430429,-2.40071765884,0.165,0.0,0.0,-0.696888036793,0.717179938491,0,59.4968452454,59.4407691956,79.6786804199,0.0793041214347
1646712279972892390,2,1646712279972892390,r1000913c5/base_front_laser_link,0,1646712279972892390,v/m1vw10zy74w/map,-2.84947673588,-2.35191183939,0.165,0.0,0.0,-0.698082152735,0.716017672989,0,59.9019622803,59.5945014954,80.4108352661,0.272110342979
1646712282022142641,3,1646712282022142641,r1000913c5/base_front_laser_link,0,1646712282022142641,v/m1vw10zy74w/map,-2.87633920021,-2.24902222033,0.165,0.0,0.0,-0.711530577244,0.702655134221,0,62.1746406555,60.2395362854,84.1667251587,1.30906188488
1646712282178991333,4,1646712282178991333,r1000913c5/base_front_laser_link,0,1646712282178991333,v/m1vw10zy74w/map,-2.89296279437,-2.24772512053,0.165,0.0,0.0,-0.728780649535,0.684747226985,0,65.4531173706,61.2822494507,89.0600128174,2.59258794785
1646712282415297474,5,1646712282415297474,r1000913c5/base_front_laser_link,0,1646712282415297474,v/m1vw10zy74w/map,-2.92610025737,-2.24353795228,0.165,0.0,0.0,-0.762022546748,0.647550490887,0,66.2348632812,62.1076850891,91.3373947144,3.0765683651
1646712282573141844,6,1646712282573141844,r1000913c5/base_front_laser_link,0,1646712282573141844,v/m1vw10zy74w/map,-2.95054010033,-2.23844425675,0.165,0.0,0.0,-0.785635491243,0.61868964344,0,65.6870269775,62.6190223694,91.9711151123,3.11736488342
1646712282809638067,7,1646712282809638067,r1000913c5/base_front_laser_link,0,1646712282809638067,v/m1vw10zy74w/map,-2.98039882351,-2.25379180955,0.165,0.0,0.0,-0.816603289063,0.577199331507,0,66.2922515869,63.0781745911,92.5727157593,3.16484808922
1646712283046127142,8,1646712283046127142,r1000913c5/base_front_laser_link,0,1646712283046127142,v/m1vw10zy74w/map,-3.02093123638,-2.24907335097,0.165,0.0,0.0,-0.845648859514,0.533739642899,0,71.1123275757,63.9708595276,95.9468994141,3.99201488495
1646712283283071723,9,1646712283283071723,r1000913c5/base_front_laser_link,0,1646712283283071723,v/m1vw10zy74w/map,-3.05226682165,-2.23099215901,0.165,0.0,0.0,-0.873121856719,0.487502023913,0,71.8530654907,64.7590789795,98.3018188477,4.51424598694
1646712283439193865,10,1646712283439193865,r1000913c5/base_front_laser_link,0,1646712283439193865,v/m1vw10zy74w/map,-3.0672624428,-2.20529536935,0.165,0.0,0.0,-0.889650830884,0.456641433849,0,72.3304595947,65.4473876953,100.006507874,4.85304117203
1646712283675216078,11,1646712283675216078,r1000913c5/base_front_laser_link,0,1646712283675216078,v/m1vw10zy74w/map,-3.09928409136,-2.19744223799,0.165,0.0,0.0,-0.911337299068,0.411660451498,0,68.5757904053,65.7080841064,99.8515777588,4.71449804306
