%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.current_error,field.mean,field.threshold,field.std_dev
1646745815851149684,0,1646745815851149684,r1000913c5/base_front_laser_link,0,1646745815851149684,v/m1vw10zy74w/map,-2.87665651494,-2.45095247818,0.165,0.0,0.0,-0.707217159287,0.706996385854,0,62.9659004211,62.9659004211,nan,nan
1646745815930125375,1,1646745815930125375,r1000913c5/base_front_laser_link,0,1646745815930125375,v/m1vw10zy74w/map,-2.87665427036,-2.42848917182,0.165,0.0,0.0,-0.707222223459,0.706991320064,0,61.00938797,61.9876441956,86.1380386353,1.3834631443
1646745816166034400,2,1646745816166034400,r1000913c5/base_front_laser_link,0,1646745816166034400,v/m1vw10zy74w/map,-2.87522313538,-2.35982482459,0.165,0.0,0.0,-0.705346683745,0.70886250834,0,60.3741340637,61.4498100281,85.5023498535,1.35084795952
1646745817817062554,3,1646745817817062554,r1000913c5/base_front_laser_link,0,1646745817817062554,v/m1vw10zy74w/map,-2.87150376947,-2.27743827555,0.165,0.0,0.0,-0.700501878298,0.713650557697,0,57.6918411255,60.5103187561,87.0466690063,2.17878508568
1646745817896520034,4,1646745817896520034,r1000913c5/base_front_laser_link,0,1646745817896520034,v/m1vw10zy74w/map,-2.87018435966,-2.27685896372,0.165,0.0,0.0,-0.69908272008,0.715040803372,0,61.8305969238,60.7743721008,86.705696106,1.97710800171
1646745818211292269,5,1646745818211292269,r1000913c5/base_front_laser_link,0,1646745818211292269,v/m1vw10zy74w/map,-2.84650599653,-2.27516826803,0.165,0.0,0.0,-0.673289503078,0.739378959022,0,60.2399291992,60.6852989197,86.0306625366,1.78178834915
1646745818368441906,6,1646745818368441906,r1000913c5/base_front_laser_link,0,1646745818368441906,v/m1vw10zy74w/map,-2.82464973796,-2.27183991498,0.165,0.0,0.0,-0.648524521041,0.761193763511,0,61.0887870789,60.7429389954,85.6439666748,1.63367652893
1646745818605287904,7,1646745818605287904,r1000913c5/base_front_laser_link,0,1646745818605287904,v/m1vw10zy74w/map,-2.78782982803,-2.26431495573,0.165,0.0,0.0,-0.604758423643,0.796408970964,0,63.0096282959,61.0262756348,86.1613311768,1.71168410778
1646745818683402903,8,1646745818683402903,r1000913c5/base_front_laser_link,0,1646745818683402903,v/m1vw10zy74w/map,-2.77594978086,-2.26109761896,0.165,0.0,0.0,-0.590012390232,0.807394190822,0,66.1287155151,61.5932121277,88.6008911133,2.33589267731
1646745818762481437,9,1646745818762481437,r1000913c5/base_front_laser_link,0,1646745818762481437,v/m1vw10zy74w/map,-2.77054904276,-2.26338737676,0.165,0.0,0.0,-0.581961936322,0.813216025833,0,64.3327713013,61.8671684265,88.9668731689,2.36656856537
1646745818998410356,10,1646745818998410356,r1000913c5/base_front_laser_link,0,1646745818998410356,v/m1vw10zy74w/map,-2.73757723918,-2.25510164794,0.165,0.0,0.0,-0.540982635051,0.841033761851,0,59.4972267151,61.6517219543,88.7200088501,2.35609507561
1646745819155578570,11,1646745819155578570,r1000913c5/base_front_laser_link,0,1646745819155578570,v/m1vw10zy74w/map,-2.71643806511,-2.2453104423,0.165,0.0,0.0,-0.511430092624,0.859324886384,0,62.4236450195,61.7160491943,88.4884719849,2.25747346878
1646745819234667309,12,1646745819234667309,r1000913c5/base_front_laser_link,0,1646745819234667309,v/m1vw10zy74w/map,-2.70447856634,-2.23971313791,0.165,0.0,0.0,-0.492956057816,0.870054208117,0,59.1065559387,61.5153160095,88.3532867432,2.27932190895
1646745819391841845,13,1646745819391841845,r1000913c5/base_front_laser_link,0,1646745819391841845,v/m1vw10zy74w/map,-2.68341853939,-2.22636083531,0.165,0.0,0.0,-0.460145896218,0.887843316241,0,60.1329994202,61.4165802002,88.0791168213,2.22084569931
1646745819549081298,14,1646745819549081298,r1000913c5/base_front_laser_link,0,1646745819549081298,v/m1vw10zy74w/map,-2.66203704641,-2.20307874006,0.165,0.0,0.0,-0.427109404804,0.904199953732,0,60.9525566101,61.3856468201,87.8158798218,2.14341163635
1646745819627473316,15,1646745819627473316,r1000913c5/base_front_laser_link,0,1646745819627473316,v/m1vw10zy74w/map,-2.65267973874,-2.19536418024,0.165,0.0,0.0,-0.410732694805,0.911755807998,0,65.7326202393,61.6573295593,88.6730651855,2.33857727051
1646745819706531676,16,1646745819706531676,r1000913c5/base_front_laser_link,0,1646745819706531676,v/m1vw10zy74w/map,-2.64437032284,-2.18379569573,0.165,0.0,0.0,-0.393584979985,0.919288237459,0,58.238571167,61.4562263489,88.6903076172,2.41136026382
1646745820021239784,17,1646745820021239784,r1000913c5/base_front_laser_link,0,1646745820021239784,v/m1vw10zy74w/map,-2.61353994193,-2.14717053023,0.165,0.0,0.0,-0.32566852096,0.945484010682,0,58.0742149353,61.2683372498,88.6826858521,2.47144985199
