%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.current_error,field.mean,field.threshold,field.std_dev
1646220170340395758,0,1646220170340395758,r200121355/base_front_laser_link,0,1646220170340395758,v/m1vw10zy74w/map,-10.6763113022,2.82259698968,0.165,0.0,0.0,-0.997215017246,0.0745802210965,0,54.9152107239,54.9152107239,nan,nan
1646220170576243371,1,1646220170576243371,r200121355/base_front_laser_link,0,1646220170576243371,v/m1vw10zy74w/map,-10.6813927064,2.86600217517,0.165,0.0,0.0,-0.998986792002,0.0450043265222,0,55.9497108459,55.4324607849,77.6269760132,0.731504738331
1646220200844377238,2,1646220200844377238,r200121355/base_front_laser_link,0,1646220200844377238,v/m1vw10zy74w/map,-10.8189899069,2.98148960837,0.165,0.0,0.0,-0.999629708566,-0.027211132857,1,54.8869857788,55.2506370544,77.0673828125,0.605582475662
1646220201081262222,3,1646220201081262222,r200121355/base_front_laser_link,0,1646220201081262222,v/m1vw10zy74w/map,-10.8560586737,2.98214141642,0.165,0.0,0.0,-0.999654216363,-0.0262953932789,1,56.1179504395,55.467464447,77.4405136108,0.657682240009
1646220201240387346,4,1646220201240387346,r200121355/base_front_laser_link,0,1646220201240387346,v/m1vw10zy74w/map,-10.8847809791,2.98010112671,0.165,0.0,0.0,-0.999713645448,-0.0239296281968,1,56.376335144,55.6492385864,77.7484207153,0.699727058411
1646220201397131043,5,1646220201397131043,r200121355/base_front_laser_link,0,1646220201397131043,v/m1vw10zy74w/map,-10.9153373331,2.97695883017,0.165,0.0,0.0,-0.999782273884,-0.020866356346,1,56.412322998,55.7764205933,77.8737258911,0.699102282524
1646220201712263808,6,1646220201712263808,r200121355/base_front_laser_link,0,1646220201712263808,v/m1vw10zy74w/map,-10.9829007277,2.97255085965,0.165,0.0,0.0,-0.999869094509,-0.0161800447015,1,55.3845977783,55.7204437256,77.6858901978,0.655147910118
1646220201870166326,7,1646220201870166326,r200121355/base_front_laser_link,0,1646220201870166326,v/m1vw10zy74w/map,-11.0204582787,2.97281312544,0.165,0.0,0.0,-0.999878995244,-0.0155561842707,1,54.7527732849,55.5994873047,77.6886367798,0.696383953094
1646220202027774351,8,1646220202027774351,r200121355/base_front_laser_link,0,1646220202027774351,v/m1vw10zy74w/map,-11.0831330142,2.97801319211,0.165,0.0,0.0,-0.999851360047,-0.0172411662207,1,52.6432685852,55.2710189819,78.8147735596,1.18125247955
1646220202263170946,9,1646220202263170946,r200121355/base_front_laser_link,0,1646220202263170946,v/m1vw10zy74w/map,-11.146266387,2.99713593884,0.165,0.0,0.0,-0.999598866246,-0.0283214865217,1,52.9121894836,55.0351333618,79.0563964844,1.34041965008
1646220202500130099,10,1646220202500130099,r200121355/base_front_laser_link,0,1646220202500130099,v/m1vw10zy74w/map,-11.2143133529,3.02936383861,0.165,0.0,0.0,-0.998907895047,-0.0467227697376,1,57.8450737,55.2905845642,79.8746490479,1.52802145481
1646220202579345735,11,1646220202579345735,r200121355/base_front_laser_link,0,1646220202579345735,v/m1vw10zy74w/map,-11.2379166528,3.04259312425,0.165,0.0,0.0,-0.998538164418,-0.0540512183097,1,52.3959960938,55.0493659973,80.0879516602,1.67952692509
1646220202815249521,12,1646220202815249521,r200121355/base_front_laser_link,0,1646220202815249521,v/m1vw10zy74w/map,-11.314968973,3.08787526933,0.165,0.0,0.0,-0.996963038134,-0.0778761875978,1,55.0747032166,55.0513153076,79.8754348755,1.60803985596
1646220202894251322,13,1646220202894251322,r200121355/base_front_laser_link,0,1646220202894251322,v/m1vw10zy74w/map,-11.3409038275,3.11116883611,0.165,0.0,0.0,-0.996015893242,-0.0891758959024,1,57.2130279541,55.2057228088,80.1540603638,1.64944541454
1646220203210235357,14,1646220203210235357,r200121355/base_front_laser_link,0,1646220203210235357,v/m1vw10zy74w/map,-11.4402438667,3.19429965569,0.165,0.0,0.0,-0.991580404394,-0.129492477083,1,58.0738372803,55.3969306946,80.6574172974,1.75349402428
1646220203288203021,15,1646220203288203021,r200121355/base_front_laser_link,0,1646220203288203021,v/m1vw10zy74w/map,-11.464819326,3.21773702039,0.165,0.0,0.0,-0.990112623642,-0.140274703721,1,57.4883117676,55.5276451111,80.8462982178,1.77288615704
1646220203446139206,16,1646220203446139206,r200121355/base_front_laser_link,0,1646220203446139206,v/m1vw10zy74w/map,-11.5064591163,3.284555456,0.165,0.0,0.0,-0.985674629685,-0.168658010172,1,57.0935935974,55.619758606,80.8940658569,1.75810313225
