%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.current_error,field.mean,field.threshold,field.std_dev
1646374205004373067,0,1646374205004373067,r200121355/base_front_laser_link,0,1646374205004373067,v/m1vw10zy74w/map,-10.7558251907,2.88938700557,0.165,0.0,0.0,0.999834613178,-0.0181864315088,0,57.7621574402,57.7621574402,nan,nan
1646374205161332196,1,1646374205161332196,r200121355/base_front_laser_link,0,1646374205161332196,v/m1vw10zy74w/map,-10.7667792273,2.89599844973,0.165,0.0,0.0,0.99990938456,-0.0134618969002,0,56.1261138916,56.9441375732,80.4147033691,1.1568570137
1646374205398315780,2,1646374205398315780,r200121355/base_front_laser_link,0,1646374205398315780,v/m1vw10zy74w/map,-10.7907379547,2.91096376924,0.165,0.0,0.0,0.999995431113,-0.00302287166737,0,58.8241233826,57.5707969666,81.6482391357,1.35914576054
1646374205555348592,3,1646374205555348592,r200121355/base_front_laser_link,0,1646374205555348592,v/m1vw10zy74w/map,-10.8090833943,2.92282027715,0.165,0.0,0.0,0.999987492853,0.00500141348043,0,53.6317939758,56.5860481262,83.3679428101,2.26063203812
1646374205713317542,4,1646374205713317542,r200121355/base_front_laser_link,0,1646374205713317542,v/m1vw10zy74w/map,-10.8300738504,2.93540626262,0.165,0.0,0.0,0.999911714882,0.0132876800491,0,57.5909767151,56.7870330811,82.8130874634,2.00868606567
1646374205870276499,5,1646374205870276499,r200121355/base_front_laser_link,0,1646374205870276499,v/m1vw10zy74w/map,-10.8528952263,2.94846415215,0.165,0.0,0.0,0.999766506871,0.021608603338,0,55.7380256653,56.612197876,82.1530761719,1.84695923328
1646374205949186996,6,1646374205949186996,r200121355/base_front_laser_link,0,1646374205949186996,v/m1vw10zy74w/map,-10.8647267283,2.95475051244,0.165,0.0,0.0,0.999675034796,0.0254916614943,0,58.2874183655,56.8515167236,82.2545318604,1.80100643635
1646374206265501922,7,1646374206265501922,r200121355/base_front_laser_link,0,1646374206265501922,v/m1vw10zy74w/map,-10.919547384,2.97266455156,0.165,0.0,0.0,0.99937681433,0.0352984841096,0,56.4829711914,56.8054466248,81.8229217529,1.67249131203
1646374206581280777,8,1646374206581280777,r200121355/base_front_laser_link,0,1646374206581280777,v/m1vw10zy74w/map,-10.9900804336,2.98288262735,0.165,0.0,0.0,0.99932003532,0.0368709507408,0,56.3477630615,56.7545928955,81.4702758789,1.57189333439
1646374206897066073,9,1646374206897066073,r200121355/base_front_laser_link,0,1646374206897066073,v/m1vw10zy74w/map,-11.066696108,2.9925797839,0.165,0.0,0.0,0.999218752428,0.0395206882068,0,58.3898506165,56.9181213379,81.626991272,1.56962311268
1646374207054036611,10,1646374207054036611,r200121355/base_front_laser_link,0,1646374207054036611,v/m1vw10zy74w/map,-11.107677844,3.00319945719,0.165,0.0,0.0,0.999014586568,0.0443830578569,0,56.3651924133,56.867855072,81.362991333,1.49837863445
1646374207212199586,11,1646374207212199586,r200121355/base_front_laser_link,0,1646374207212199586,v/m1vw10zy74w/map,-11.1507888227,3.01899434036,0.165,0.0,0.0,0.998634472761,0.0522416482594,0,55.2546272278,56.733417511,81.241317749,1.50263428688
1646374207527438311,12,1646374207527438311,r200121355/base_front_laser_link,0,1646374207527438311,v/m1vw10zy74w/map,-11.2420672246,3.06612495452,0.165,0.0,0.0,0.997100247425,0.0760992548262,0,53.9755249023,56.521270752,81.409362793,1.62936377525
1646374207684545055,13,1646374207684545055,r200121355/base_front_laser_link,0,1646374207684545055,v/m1vw10zy74w/map,-11.2907537267,3.09814444473,0.165,0.0,0.0,0.995921510153,0.0902238638867,0,55.9186134338,56.478225708,81.1993408203,1.57370626926
1646374207841288836,14,1646374207841288836,r200121355/base_front_laser_link,0,1646374207841288836,v/m1vw10zy74w/map,-11.3394280665,3.13137216239,0.165,0.0,0.0,0.994381890025,0.105852051424,0,56.0480804443,56.4495506287,81.0111160278,1.52052295208
1646374208078568222,15,1646374208078568222,r200121355/base_front_laser_link,0,1646374208078568222,v/m1vw10zy74w/map,-11.4142598914,3.18986827952,0.165,0.0,0.0,0.991208775578,0.132307079243,0,57.9447898865,56.5430030823,81.09034729,1.51578080654
1646374208235308503,16,1646374208235308503,r200121355/base_front_laser_link,0,1646374208235308503,v/m1vw10zy74w/map,-11.4638593714,3.23474793417,0.165,0.0,0.0,0.988392825096,0.151919792324,0,58.3128700256,56.6471099854,81.2345123291,1.52913475037
1646374208393129383,17,1646374208393129383,r200121355/base_front_laser_link,0,1646374208393129383,v/m1vw10zy74w/map,-11.5156180224,3.28705005276,0.165,0.0,0.0,0.984963426094,0.172762985785,0,55.0625495911,56.5590820312,81.1483917236,1.52977120876
1646374208630121959,18,1646374208630121959,r200121355/base_front_laser_link,0,1646374208630121959,v/m1vw10zy74w/map,-11.5885106317,3.37229825451,0.165,0.0,0.0,0.978248715275,0.207435414196,0,55.3889770508,56.4974975586,81.0296325684,1.5107114315
1646374208867182786,19,1646374208867182786,r200121355/base_front_laser_link,0,1646374208867182786,v/m1vw10zy74w/map,-11.6552307751,3.4716898648,0.165,0.0,0.0,0.969665498461,0.244435719761,0,56.6583786011,56.5055389404,80.9181137085,1.4708584547
1646374209024146220,20,1646374209024146220,r200121355/base_front_laser_link,0,1646374209024146220,v/m1vw10zy74w/map,-11.6966717655,3.54557413702,0.165,0.0,0.0,0.962036857839,0.272919556204,0,59.3122749329,56.6391944885,81.3161010742,1.55896925926
1646374209259192108,21,1646374209259192108,r200121355/base_front_laser_link,0,1646374209259192108,v/m1vw10zy74w/map,-11.7504008054,3.67948970678,0.165,0.0,0.0,0.945540926365,0.325503235882,0,58.1216049194,56.706577301,81.3682174683,1.55387926102
1646374209417100596,22,1646374209417100596,r200121355/base_front_laser_link,0,1646374209417100596,v/m1vw10zy74w/map,-11.7676526139,3.78144645808,0.165,0.0,0.0,0.929892989419,0.367830162207,0,62.7645759583,56.9699668884,82.8948059082,1.97494661808
1646374209653315990,23,1646374209653315990,r200121355/base_front_laser_link,0,1646374209653315990,v/m1vw10zy74w/map,-11.7645193622,3.95103140855,0.165,0.0,0.0,0.898248859779,0.439487185144,0,60.2293739319,57.1057777405,83.2345123291,2.0429110527
1646374209811263118,24,1646374209811263118,r200121355/base_front_laser_link,0,1646374209811263118,v/m1vw10zy74w/map,-11.753964505,4.07125408713,0.165,0.0,0.0,0.872877180275,0.487939984173,0,60.8144073486,57.254119873,83.6531600952,2.1330139637
1646374210047101126,25,1646374210047101126,r200121355/base_front_laser_link,0,1646374210047101126,v/m1vw10zy74w/map,-11.7026938484,4.24795116208,0.165,0.0,0.0,0.829674658062,0.558247222805,0,60.7207565308,57.3874549866,83.9806137085,2.19771957397
1646374210205164122,26,1646374210205164122,r200121355/base_front_laser_link,0,1646374210205164122,v/m1vw10zy74w/map,-11.6642130763,4.35875421038,0.165,0.0,0.0,0.799541090442,0.600611392411,0,61.6976509094,57.547088623,84.4746017456,2.30917096138
1646374210362143343,27,1646374210362143343,r200121355/base_front_laser_link,0,1646374210362143343,v/m1vw10zy74w/map,-11.6267387198,4.4695447856,0.165,0.0,0.0,0.772264636653,0.635300976683,0,57.4538993835,57.543762207,84.3419799805,2.26607346535
1646374210521179621,28,1646374210521179621,r200121355/base_front_laser_link,0,1646374210521179621,v/m1vw10zy74w/map,-11.5895341713,4.56923386189,0.165,0.0,0.0,0.747441509399,0.664327622508,0,54.8254966736,57.4500274658,84.2953491211,2.28177237511
1646374210757003479,29,1646374210757003479,r200121355/base_front_laser_link,0,1646374210757003479,v/m1vw10zy74w/map,-11.5267977341,4.71749338014,0.165,0.0,0.0,0.713555458944,0.700598748936,0,60.4126815796,57.5487823486,84.4680175781,2.30641031265
1646374210836152067,30,1646374210836152067,r200121355/base_front_laser_link,0,1646374210836152067,v/m1vw10zy74w/map,-11.5036576918,4.76879750215,0.165,0.0,0.0,0.702696143932,0.711490076743,0,60.7002067566,57.6504440308,84.6620941162,2.33721661568
1646374210915046720,31,1646374210915046720,r200121355/base_front_laser_link,0,1646374210915046720,v/m1vw10zy74w/map,-11.4771402949,4.82108217034,0.165,0.0,0.0,0.690804261493,0.723041819194,0,62.7359275818,57.8093643188,85.2155151367,2.46871638298
1646374211071238858,32,1646374211071238858,r200121355/base_front_laser_link,0,1646374211071238858,v/m1vw10zy74w/map,-11.4252005056,4.91090654389,0.165,0.0,0.0,0.669372049775,0.742927357808,0,58.101020813,57.8182029724,85.1093063354,2.43036699295
1646374211230088266,33,1646374211230088266,r200121355/base_front_laser_link,0,1646374211230088266,v/m1vw10zy74w/map,-11.3709955233,4.99630943268,0.165,0.0,0.0,0.64806710407,0.761583238144,0,59.423412323,57.8654136658,85.0925369263,2.40904092789
1646374211387151959,34,1646374211387151959,r200121355/base_front_laser_link,0,1646374211387151959,v/m1vw10zy74w/map,-11.3140033345,5.08805926789,0.165,0.0,0.0,0.627787197023,0.778385017362,0,60.2416000366,57.933303833,85.1545944214,2.4070956707
1646374211465246789,35,1646374211465246789,r200121355/base_front_laser_link,0,1646374211465246789,v/m1vw10zy74w/map,-11.2864396202,5.13805052257,0.165,0.0,0.0,0.617086986103,0.786894943168,0,57.9969215393,57.9350738525,85.052520752,2.37248301506
