%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.current_error,field.mean,field.threshold,field.std_dev
1647403440605792077,0,1647403440605792077,r200141368/base_front_laser_link,0,1647403440605792077,v/m1vw10zy74w/map,-11.5037701675,3.54121582682,0.165,0.0,0.0,-0.955490142164,-0.295023029995,1,58.7243080139,58.7243080139,nan,nan
1647403440841681645,1,1647403440841681645,r200141368/base_front_laser_link,0,1647403440841681645,v/m1vw10zy74w/map,-11.5953049023,3.71333046652,0.165,0.0,0.0,-0.932837607472,-0.360297096971,1,62.0949020386,60.4096031189,87.559715271,2.38337063789
1647403440998606806,2,1647403440998606806,r200141368/base_front_laser_link,0,1647403440998606806,v/m1vw10zy74w/map,-11.6433632901,3.81690603285,0.165,0.0,0.0,-0.91703393731,-0.398809174696,1,63.5324668884,61.4505577087,88.8545303345,2.46799182892
1647403441234729019,3,1647403441234729019,r200141368/base_front_laser_link,0,1647403441234729019,v/m1vw10zy74w/map,-11.6821719679,3.96663201704,0.165,0.0,0.0,-0.891313262069,-0.45338798932,1,60.7885627747,61.2850608826,87.4113922119,2.04211044312
1647403441393119300,4,1647403441393119300,r200141368/base_front_laser_link,0,1647403441393119300,v/m1vw10zy74w/map,-11.6967455532,4.06323580278,0.165,0.0,0.0,-0.872662865632,-0.488323174698,1,61.7144203186,61.3709335327,86.7076721191,1.77891302109
1647403441629562161,5,1647403441629562161,r200141368/base_front_laser_link,0,1647403441629562161,v/m1vw10zy74w/map,-11.7017468809,4.19608674568,0.165,0.0,0.0,-0.843748432027,-0.536738841012,1,62.779499054,61.6056938171,86.6811904907,1.69183373451
1647403441786570965,6,1647403441786570965,r200141368/base_front_laser_link,0,1647403441786570965,v/m1vw10zy74w/map,-11.6839211575,4.29322013583,0.165,0.0,0.0,-0.822079045949,-0.569373376802,1,64.0357666016,61.9528465271,87.3435516357,1.79690289497
1647403441944845531,7,1647403441944845531,r200141368/base_front_laser_link,0,1647403441944845531,v/m1vw10zy74w/map,-11.664750207,4.37915657203,0.165,0.0,0.0,-0.798461942854,-0.602045285518,1,63.6334495544,62.1629219055,87.4625320435,1.76653552055
1647403442259180833,8,1647403442259180833,r200141368/base_front_laser_link,0,1647403442259180833,v/m1vw10zy74w/map,-11.5959279518,4.55082684678,0.165,0.0,0.0,-0.74953779452,-0.661961550686,1,63.3770027161,62.2978210449,87.4016494751,1.7012771368
1647403442336822924,9,1647403442336822924,r200141368/base_front_laser_link,0,1647403442336822924,v/m1vw10zy74w/map,-11.5762333582,4.59828282036,0.165,0.0,0.0,-0.736260931475,-0.676697746992,1,64.6321716309,62.5312538147,87.8283309937,1.76569223404
1647403442494972948,10,1647403442494972948,r200141368/base_front_laser_link,0,1647403442494972948,v/m1vw10zy74w/map,-11.5243157649,4.67106020452,0.165,0.0,0.0,-0.70920914527,-0.704998147704,1,65.55519104,62.8061561584,88.5275878906,1.90714216232
1647403442574037705,11,1647403442574037705,r200141368/base_front_laser_link,0,1647403442574037705,v/m1vw10zy74w/map,-11.4903275329,4.71277421877,0.165,0.0,0.0,-0.694553203483,-0.719441344052,1,64.2795410156,62.9289398193,88.5313491821,1.86746919155
