%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.current_error,field.mean,field.threshold,field.std_dev
1647331585784081255,0,1647331585784081255,r2002313a3/base_front_laser_link,0,1647331585784081255,v/m1vw10zy74w/map,-10.735970908,2.91954837943,0.165,0.0,0.0,-0.999993964154,-0.00347442869291,0,54.4587211609,54.4587211609,nan,nan
1647331586648828642,1,1647331586648828642,r2002313a3/base_front_laser_link,0,1647331586648828642,v/m1vw10zy74w/map,-10.8435138945,2.97188006606,0.165,0.0,0.0,-0.999364711454,-0.0356394935566,0,57.0094299316,55.7340774536,81.1449508667,1.80362355709
1647331586885434739,2,1647331586885434739,r2002313a3/base_front_laser_link,0,1647331586885434739,v/m1vw10zy74w/map,-10.8870315093,2.9759046519,0.165,0.0,0.0,-0.999343427657,-0.0362313896851,0,56.6678009033,56.0453186035,80.1991424561,1.38460922241
1647331587120881210,3,1647331587120881210,r2002313a3/base_front_laser_link,0,1647331587120881210,v/m1vw10zy74w/map,-10.9535952471,2.97843276865,0.165,0.0,0.0,-0.999396420177,-0.0347389599268,0,56.3433227539,56.1198196411,79.5407333374,1.14030563831
1647331587279880213,4,1647331587279880213,r2002313a3/base_front_laser_link,0,1647331587279880213,v/m1vw10zy74w/map,-10.9894981671,2.98018212479,0.165,0.0,0.0,-0.999413395557,-0.0342471134673,0,55.1288795471,55.9216308594,79.1688690186,1.08241140842
1647331587514358449,5,1647331587514358449,r2002313a3/base_front_laser_link,0,1647331587514358449,v/m1vw10zy74w/map,-11.046332675,2.98970416158,0.165,0.0,0.0,-0.999279278634,-0.0379594954282,0,54.506111145,55.685710907,79.0681915283,1.12749350071
1647331587672079750,6,1647331587672079750,r2002313a3/base_front_laser_link,0,1647331587672079750,v/m1vw10zy74w/map,-11.087119559,3.00462059701,0.165,0.0,0.0,-0.9989530301,-0.0457476081879,0,55.6757965088,55.6842956543,78.7720870972,1.02926290035
1647331587908064340,7,1647331587908064340,r2002313a3/base_front_laser_link,0,1647331587908064340,v/m1vw10zy74w/map,-11.1513566746,3.03396053353,0.165,0.0,0.0,-0.998141952396,-0.0609314603991,0,58.7555732727,56.0682067871,80.4022827148,1.44469177723
1647331588144138621,8,1647331588144138621,r2002313a3/base_front_laser_link,0,1647331588144138621,v/m1vw10zy74w/map,-11.2144165068,3.06906885769,0.165,0.0,0.0,-0.996961188535,-0.0778998623559,0,56.5578727722,56.1226119995,80.2062301636,1.36120688915
1647331588301137613,9,1647331588301137613,r2002313a3/base_front_laser_link,0,1647331588301137613,v/m1vw10zy74w/map,-11.2621824111,3.0957539476,0.165,0.0,0.0,-0.995913648274,-0.0903106039217,0,58.2370872498,56.3340606689,80.6753692627,1.44710338116
1647331588537048647,10,1647331588537048647,r2002313a3/base_front_laser_link,0,1647331588537048647,v/m1vw10zy74w/map,-11.3366525417,3.14093320428,0.165,0.0,0.0,-0.993907138793,-0.110220685244,0,56.8382606506,56.3798942566,80.5235977173,1.38123428822
1647331588616720746,11,1647331588616720746,r2002313a3/base_front_laser_link,0,1647331588616720746,v/m1vw10zy74w/map,-11.3623900185,3.15865970485,0.165,0.0,0.0,-0.993018798618,-0.117956202008,0,59.4194564819,56.6331939697,81.3806686401,1.58249211311
1647331588694695500,12,1647331588694695500,r2002313a3/base_front_laser_link,0,1647331588694695500,v/m1vw10zy74w/map,-11.3798548694,3.18166013627,0.165,0.0,0.0,-0.991833052737,-0.127542916301,0,60.3500900269,56.9191093445,82.4168167114,1.8325688839
1647331588851799691,13,1647331588851799691,r2002313a3/base_front_laser_link,0,1647331588851799691,v/m1vw10zy74w/map,-11.4366891836,3.22302153356,0.165,0.0,0.0,-0.989315110785,-0.145793043635,0,55.1512260437,56.7928314209,82.2617416382,1.82297027111
1647331589167090691,14,1647331589167090691,r2002313a3/base_front_laser_link,0,1647331589167090691,v/m1vw10zy74w/map,-11.5361589294,3.3258017525,0.165,0.0,0.0,-0.981999574639,-0.188883126322,0,54.5541496277,56.6435852051,82.1915283203,1.84931349754
1647331589323892367,15,1647331589323892367,r2002313a3/base_front_laser_link,0,1647331589323892367,v/m1vw10zy74w/map,-11.5828519597,3.37945559567,0.165,0.0,0.0,-0.977848443345,-0.209314170203,0,58.5540084839,56.7629852295,82.3110198975,1.84934318066
1647331589638094605,16,1647331589638094605,r2002313a3/base_front_laser_link,0,1647331589638094605,v/m1vw10zy74w/map,-11.672785971,3.51300145837,0.165,0.0,0.0,-0.965244272386,-0.261349372729,0,58.0368499756,56.8379211426,82.2891540527,1.8170773983
1647331589796107926,17,1647331589796107926,r2002313a3/base_front_laser_link,0,1647331589796107926,v/m1vw10zy74w/map,-11.7105043217,3.59640688586,0.165,0.0,0.0,-0.955189879139,-0.295993741133,0,59.5181617737,56.9868240356,82.6046295166,1.87260317802
1647331589953032675,18,1647331589953032675,r2002313a3/base_front_laser_link,0,1647331589953032675,v/m1vw10zy74w/map,-11.7339799593,3.69312658355,0.165,0.0,0.0,-0.941541118913,-0.336898087551,0,58.9535255432,57.0903320312,82.7151565552,1.8749409914
1647331590110207878,19,1647331590110207878,r2002313a3/base_front_laser_link,0,1647331590110207878,v/m1vw10zy74w/map,-11.7440567027,3.79658471406,0.165,0.0,0.0,-0.924651629891,-0.380814079755,0,57.175617218,57.0945968628,82.569694519,1.82503318787
1647331590267997181,20,1647331590267997181,r2002313a3/base_front_laser_link,0,1647331590267997181,v/m1vw10zy74w/map,-11.7395328794,3.90888698706,0.165,0.0,0.0,-0.90351675323,-0.428552769951,0,54.4894943237,56.9705429077,82.5728988647,1.86745250225
1647331590426100790,21,1647331590426100790,r2002313a3/base_front_laser_link,0,1647331590426100790,v/m1vw10zy74w/map,-11.7347770582,4.02458189286,0.165,0.0,0.0,-0.87960294737,-0.475708581989,0,55.6583938599,56.910900116,82.4422836304,1.84379339218
1647331590741120774,22,1647331590741120774,r2002313a3/base_front_laser_link,0,1647331590741120774,v/m1vw10zy74w/map,-11.6891135129,4.24759976822,0.165,0.0,0.0,-0.83186849918,-0.55497279219,0,55.6486816406,56.8560218811,82.3176040649,1.82052671909
1647331590820099171,23,1647331590820099171,r2002313a3/base_front_laser_link,0,1647331590820099171,v/m1vw10zy74w/map,-11.6769215213,4.29603808501,0.165,0.0,0.0,-0.820003653188,-0.572358287053,0,57.3915405273,56.8783340454,82.2299194336,1.78386259079
1647331590899255129,24,1647331590899255129,r2002313a3/base_front_laser_link,0,1647331590899255129,v/m1vw10zy74w/map,-11.6657645675,4.35471946325,0.165,0.0,0.0,-0.80846658946,-0.58854207473,0,54.2944793701,56.7749824524,82.2384643555,1.82116115093
1647331591213841964,25,1647331591213841964,r2002313a3/base_front_laser_link,0,1647331591213841964,v/m1vw10zy74w/map,-11.6162171224,4.57204028777,0.165,0.0,0.0,-0.764517783746,-0.644602635998,0,54.5234947205,56.6883850098,82.2029495239,1.8381870985
1647331591292211532,26,1647331591292211532,r2002313a3/base_front_laser_link,0,1647331591292211532,v/m1vw10zy74w/map,-11.6012873321,4.62405932809,0.165,0.0,0.0,-0.753093121717,-0.657913938158,0,54.4331665039,56.6048583984,82.1668777466,1.85400748253
1647331591449898636,27,1647331591449898636,r2002313a3/base_front_laser_link,0,1647331591449898636,v/m1vw10zy74w/map,-11.5575670516,4.72945333465,0.165,0.0,0.0,-0.728338944978,-0.685217032208,0,57.5111961365,56.6372299194,82.1194152832,1.8273948431
1647331591607190751,28,1647331591607190751,r2002313a3/base_front_laser_link,0,1647331591607190751,v/m1vw10zy74w/map,-11.5079312578,4.83007991532,0.165,0.0,0.0,0.703396828943,0.710797369884,0,57.6769676208,56.6730804443,82.0875473022,1.80482316017
1647331591765695907,29,1647331591765695907,r2002313a3/base_front_laser_link,0,1647331591765695907,v/m1vw10zy74w/map,-11.4566575071,4.93048843567,0.165,0.0,0.0,0.678011632631,0.73505117238,0,55.228477478,56.6249275208,82.0037384033,1.79293763638
1647331591843194411,30,1647331591843194411,r2002313a3/base_front_laser_link,0,1647331591843194411,v/m1vw10zy74w/map,-11.4298685996,4.97449414594,0.165,0.0,0.0,0.66672030472,0.745308013693,0,55.8406944275,56.5996284485,81.9048919678,1.76842045784
1647331592000088860,31,1647331592000088860,r2002313a3/base_front_laser_link,0,1647331592000088860,v/m1vw10zy74w/map,-11.3708806567,5.0701850734,0.165,0.0,0.0,0.643737110683,0.765246713374,0,57.8805580139,56.6396598816,81.902671814,1.75433862209
1647331592079251213,32,1647331592079251213,r2002313a3/base_front_laser_link,0,1647331592079251213,v/m1vw10zy74w/map,-11.3384000415,5.11227112702,0.165,0.0,0.0,0.631149521245,0.775661190103,0,55.0327224731,56.590965271,81.8386306763,1.74922144413
