%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.main_output,field.scan_score,field.pose_score,field.cov_score,field.lhood_map_score,field.lhood_robot_score,field.lhood_map_score_all,field.lhood_robot_score_all,field.point_angle_diff,field.average_orientation,field.map_average_orientation,field.sensor_div,field.odom_div_x,field.odom_div_w,field.imu_div_w,field.kdtree_div,field.kdtree_div_p,field.cov_div,field.cov_div_p,field.likelihood_div,field.likelihood_div_p,field.normal_diff_div,field.normal_diff_div_p,field.kdtree_average,field.cov_average,field.likelihood_average,field.normal_diff_average,field.map_update_count
1.63084237145601E+018,0,1.63084237145601E+018,r1000913c5/base_footprint,0,1.63084237145601E+018,alta/m1vW10zy74W/map,-7.11195657361,-0.777921290678,0,0,0,-0.935905556394,0.352251031951,0,63.6815795898,14.4385023117,100,98.4464416504,43.2727279663,43.2727279663,63.6815795898,63.6815795898,35.484210968,0.442876845598,0,0.011771784164,0.529191076756,0.0629309862852,0.0511591993272,-4.84007930756,-0.50425773859,-2.24961853027,-0.0233855806291,3.1131362915,0.0671138986945,1.31582260132,0.0357560180128,9.59842300415,96.1968231201,46.3858642578,36.8000335693,263
1.63084237155658E+018,1,1.63084237155658E+018,r1000913c5/base_footprint,0,1.63084237155658E+018,alta/m1vW10zy74W/map,-7.11055186536,-0.782571337753,0,0,0,-0.922808721087,0.385258438307,0,63.1719779968,8.78090381622,72.2830047607,98.4139709473,43.0527000427,43.0527000427,63.1719779968,63.1719779968,42.163848877,0.513710796833,0,0.0118776429445,0.518584012985,0.0495636351407,0.0376859940588,0.817519187927,0.0851722434163,-2.21714782715,-0.0230480358005,3.33316421509,0.0718573257327,-5.36381530762,-0.145755723119,9.59842300415,96.1968231201,46.3858642578,36.8000335693,263
1.63084237165653E+018,2,1.63084237165653E+018,r1000913c5/base_footprint,0,1.63084237165653E+018,alta/m1vW10zy74W/map,-7.10274142483,-0.784998061913,0,0,0,-0.895316484268,0.445430570345,0,63.5604667664,3.7433154583,49.233997345,98.6384124756,42.795917511,42.795917511,63.5604667664,63.5604667664,33.2057723999,0.246706396341,0,0.0114066805691,0.510962128639,0.0385959781706,0.0271892957389,5.85510730743,0.610007226467,-2.44158935547,-0.0253811851144,3.58994674683,0.0773931220174,3.59426116943,0.0976700484753,9.59842300415,96.1968231201,46.3858642578,36.8000335693,263
1.63084237175678E+018,3,1.63084237175678E+018,r1000913c5/base_footprint,0,1.63084237175678E+018,alta/m1vW10zy74W/map,-7.1005359737,-0.78271255472,0,0,0,-0.884099805477,0.46729812107,0,62.9261665344,3.7433154583,49.0891036987,98.3384628296,42.5352630615,42.5352630615,62.9261665344,62.9261665344,40.7283287048,0.29876485467,0,0.0125273829326,0.508957624435,0.0320295020938,0.0195021182299,5.85510730743,0.610007226467,-2.14163970947,-0.0222631022334,3.85060119629,0.0830123871565,-3.9282951355,-0.106747053564,9.59842300415,96.1968231201,46.3858642578,36.8000335693,263
1.63084237185612E+018,4,1.63084237185612E+018,r1000913c5/base_footprint,0,1.63084237185612E+018,alta/m1vW10zy74W/map,-7.09556254276,-0.778982245088,0,0,0,-0.863375537861,0.504561869965,0,63.0254669189,3.32877326012,49.1943778992,98.2505493164,42.3770866394,42.3770866394,63.0254669189,63.0254669189,36.9160881042,0.0259899813682,0,0.0112561080605,0.485391288996,0.0134724816307,0.00221637333743,6.26964950562,0.653195798397,-2.05372619629,-0.0213492102921,4.00877761841,0.0864223986864,-0.116054534912,-0.00315365288407,9.59842300415,96.1968231201,46.3858642578,36.8000335693,263
1.63084237195592E+018,5,1.63084237195592E+018,r1000913c5/base_footprint,0,1.63084237195592E+018,alta/m1vW10zy74W/map,-7.0939081978,-0.776112824322,0,0,0,-0.845992041427,0.533195523089,0,62.5959777832,5.88235282898,49.0120811462,98.5283279419,42.2865791321,42.2865791321,62.5959777832,62.5959777832,44.6694221497,0.105514287949,0,0.00952974613756,0.464969784021,0.00194623996504,0.00758350593969,3.71607017517,0.387154251337,-2.33150482178,-0.0242368169129,4.09928512573,0.0883735865355,-7.86938858032,-0.213841885328,9.59842300415,96.1968231201,46.3858642578,36.8000335693,263
1.63084237205623E+018,6,1.63084237205623E+018,r1000913c5/base_footprint,0,1.63084237205623E+018,alta/m1vW10zy74W/map,-7.09324744735,-0.774966357772,0,0,0,-0.825657296301,0.564171985361,0,63.0230903625,9.43043899536,48.7518577576,98.6242446899,42.1253814697,42.1253814697,63.0230903625,63.0230903625,35.5857772827,0.133564963937,0,0.00646447530016,0.370964556932,0.0119178425521,0.0183823183179,0.167984008789,0.0175012089312,-2.42742156982,-0.0252339057624,4.26048278809,0.091848731041,1.21425628662,0.0329960659146,9.59842300415,96.1968231201,46.3858642578,36.8000335693,263
1.63084237215617E+018,7,1.63084237215617E+018,r1000913c5/base_footprint,0,1.63084237215617E+018,alta/m1vW10zy74W/map,-7.09030969599,-0.775107272754,0,0,0,-0.790701923097,0.612201330292,0,62.7730026245,13.4117650986,48.1424560547,98.8170928955,42.0072402954,42.0072402954,62.7730026245,62.7730026245,39.5056610107,0.185913652182,0,0.00524951703846,0.316187143326,0.0235575772822,0.0288070943207,-3.81334209442,-0.397288411856,-2.62026977539,-0.027238631621,4.3786239624,0.0943956524134,-2.70562744141,-0.0735224187374,9.59842300415,96.1968231201,46.3858642578,36.8000335693,263
1.63084237225638E+018,8,1.63084237225638E+018,r1000913c5/base_footprint,0,1.63084237225638E+018,alta/m1vW10zy74W/map,-7.08757939515,-0.772319306869,0,0,0,-0.769658733155,0.638455507047,0,63.3137969971,6.25,47.633605957,98.8929367065,41.9440193176,41.9440193176,63.3137969971,63.3137969971,29.3616428375,0.125179544091,0,0.00353599525988,0.263264149427,0.0350547470152,0.0385907441378,3.34842300415,0.348851382732,-2.69611358643,-0.0280270539224,4.44184494019,0.095758587122,7.43839073181,0.202130004764,9.59842300415,96.1968231201,46.3858642578,36.8000335693,263
1.6308423723566E+018,9,1.6308423723566E+018,r1000913c5/base_footprint,0,1.6308423723566E+018,alta/m1vW10zy74W/map,-7.08941337591,-0.776481646922,0,0,0,-0.753340021257,0.657631213046,0,62.6145477295,15.1398267746,47.1828651428,98.6510543823,41.9610900879,41.9610900879,62.6145477295,62.6145477295,41.2617225647,0.0087619824335,0,0.00101253890898,0.225462839007,0.0466810204089,0.0476935617626,-5.54140377045,-0.577324390411,-2.45423126221,-0.0255126021802,4.42477416992,0.095390573144,-4.46168899536,-0.121241435409,9.59842300415,96.1968231201,46.3858642578,36.8000335693,263
