%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.main_output,field.scan_score,field.pose_score,field.cov_score,field.lhood_map_score,field.lhood_robot_score,field.lhood_map_score_all,field.lhood_robot_score_all,field.point_angle_diff,field.average_orientation,field.map_average_orientation,field.sensor_div,field.odom_div_x,field.odom_div_w,field.imu_div_w,field.kdtree_div,field.kdtree_div_p,field.cov_div,field.cov_div_p,field.likelihood_div,field.likelihood_div_p,field.normal_diff_div,field.normal_diff_div_p,field.kdtree_average,field.cov_average,field.likelihood_average,field.normal_diff_average,field.map_update_count
1.64950116048916E+018,0,1.64950116048916E+018,r1000913c5/base_footprint,0,1.64950116048916E+018,v/m1vw10zy74w/map,-14.5349497823,-0.676856324716,0,0,0,-0.851663301376,0.524089325487,0,64.5015411377,21.8679847717,100,94.7765197754,46.6946563721,46.6946563721,64.5015411377,64.5015411377,44.4700508118,0.297331601381,0,0.00489628175274,0.916672170162,0.0448557026684,0.0497519858181,9.21209716797,0.296398729086,-0.518112182617,-0.00549672124907,4.11068725586,0.080910526216,-16.993938446,-0.618498623371,31.08008193967,94.258407592783,50.80534362796,27.4761123658,821
1.64950116058918E+018,1,1.64950116058918E+018,r1000913c5/base_footprint,0,1.64950116058918E+018,v/m1vw10zy74w/map,-14.5349497823,-0.676856324716,0,0,0,-0.851663301376,0.524089325487,0,66.0297241211,42.5444602966,79.1747970581,94.7765197754,47.0174407959,47.0174407959,66.0297241211,66.0297241211,20.4488048553,0.0981023237109,0,0.00478885974735,0.895714223385,0.0587065517902,0.0634954124689,-11.4643783569,-0.368865758181,-0.518112182617,-0.00549672124907,3.78790283203,0.0745571702719,7.02730751038,0.255760610104,31.0800819397,94.258407592783,50.80534362793,27.47611236568,821
1.64950116068921E+018,2,1.64950116068921E+018,r1000913c5/base_footprint,0,1.64950116068921E+018,v/m1vw10zy74w/map,-14.5324039663,-0.674937413142,0,0,0,-0.818109057611,0.575063100759,0,66.1836624146,41.6547088623,81.0513916016,94.765838623,47.3945579529,47.3945579529,66.1836624146,66.1836624146,21.7123355865,0.117704428732,0,0.00466278288513,0.862283349037,0.0785269141197,0.0831896960735,-10.7128658295,-0.346225857735,-0.501045227051,-0.00531529542059,3.40960693359,0.0671127438545,5.70742797852,0.208150148392,30.9418430328,94.264793395949,50.80416488649,27.41976356502,829
1.64950116078974E+018,3,1.64950116078974E+018,r1000913c5/base_footprint,0,1.64950116078974E+018,v/m1vw10zy74w/map,-14.5394429847,-0.677998844967,0,0,0,-0.782007806027,0.62326863495,0,66.4662780762,42.6349067688,83.2490463257,95.3531417847,47.7873306274,47.7873306274,66.4662780762,66.4662780762,22.9814453125,0.231873244047,0,0.00421795761213,0.831624567509,0.0865845754743,0.0908025279641,-11.5548248291,-0.371775895357,-1.09473419189,-0.0116141811013,3.01801300049,0.0594034567475,4.49466705322,0.163584530354,31.0800819397,94.25840759281,50.80534362789,27.47611236572,821
1.64950116088925E+018,4,1.64950116088925E+018,r1000913c5/base_footprint,0,1.64950116088925E+018,v/m1vw10zy74w/map,-14.5394429847,-0.677998844967,0,0,0,-0.782007806027,0.62326863495,0,66.6640548706,38.8235282898,85.4498214722,95.3531417847,48.1413993835,48.1413993835,66.6640548706,66.6640548706,23.245426178,0.176834493876,0,0.00417055143043,0.743456125259,0.0968130752444,0.100983627141,-7.7434463501,-0.249144971371,-1.09473419189,-0.0116141811013,2.66394424438,0.0524343326688,4.23068618774,0.153976887465,31.0800819397,94.25840759281,50.80534362788,27.47611236574,821
1.64950116178934E+018,5,1.64950116178934E+018,r1000913c5/base_footprint,0,1.64950116178934E+018,v/m1vw10zy74w/map,-14.5349141874,-0.677565077496,0,0,0,-0.748276805251,0.663386631403,0,66.9374465942,41.6324653625,87.3678131104,95.7904052734,48.5722198486,48.5722198486,66.9374465942,66.9374465942,24.551361084,0.102786041796,0,0.00228838063776,0.00145175575744,0.243430003524,0.241141632199,-10.5523834229,-0.339522391558,-1.53199768066,-0.0162531677634,2.2331237793,0.0439545065165,2.92475128174,0.106447055936,31.0800819396,94.25840759274,50.8053436279,27.47611236574,821
1.64950116188932E+018,6,1.64950116188932E+018,r1000913c5/base_footprint,0,1.64950116188932E+018,v/m1vw10zy74w/map,-14.5349141874,-0.677565077496,0,0,0,-0.748276805251,0.663386631403,0,67.0886077881,35.6617660522,88.65599823,95.7904052734,49.2931251526,49.2931251526,67.0886077881,67.0886077881,29.6162090302,0.231549292803,0,0.00241555832326,0.0548910312355,0.239972755313,0.237557202578,-4.58168411255,-0.147415444255,-1.53199768066,-0.0162531677634,1.51221847534,0.0297649484128,-2.14009666443,-0.0778893530369,31.08008193965,94.25840759274,50.80534362794,27.47611236577,821
1.64950116198926E+018,7,1.64950116198926E+018,r1000913c5/base_footprint,0,1.64950116198926E+018,v/m1vw10zy74w/map,-14.5349141874,-0.677565077496,0,0,0,-0.748276805251,0.663386631403,0,67.3974227905,34.6405220032,89.7350311279,95.7904052734,50.0217475891,50.0217475891,67.3974227905,67.3974227905,31.9267864227,0.222870633006,0,0.00279118074104,0.0985707938671,0.229746133089,0.226954951882,-3.56044006348,-0.114556968212,-1.53199768066,-0.0162531677634,0.783596038818,0.0154234962538,-4.45067405701,-0.161983400583,31.08008193972,94.25840759274,50.805343627918,27.47611236569,821
1.6495011620894E+018,8,1.6495011620894E+018,r1000913c5/base_footprint,0,1.6495011620894E+018,v/m1vw10zy74w/map,-14.5349141874,-0.677565077496,0,0,0,-0.748276805251,0.663386631403,0,67.8503799438,40.7132949829,90.6280136108,95.7904052734,50.6676025391,50.6676025391,67.8503799438,67.8503799438,30.7487812042,0.161638364196,0,0.00300695537589,0.108604691923,0.227943614125,0.224936664104,-9.63321304321,-0.309948116541,-1.53199768066,-0.0162531677634,0.137741088867,0.00271115358919,-3.2726688385,-0.119109600782,31.08008193969,94.25840759274,50.805343627967,27.4761123657,821
1.64950116218985E+018,9,1.64950116218985E+018,r1000913c5/base_footprint,0,1.64950116218985E+018,v/m1vw10zy74w/map,-14.536658496,-0.807185040991,0,0,0,-0.712987641719,0.701176598836,0,68.0190734863,42.0955886841,91.3630142212,96.3226242065,51.177406311,51.177406311,68.0190734863,68.0190734863,35.1340446472,0.167947605252,0,0.00298868562095,0.108016006649,0.225347414613,0.222358718514,-10.2274799347,-0.320931494236,-2.00324249268,-0.0212389267981,-0.208847045898,-0.00409756600857,-7.91337966919,-0.290712207556,31.8681087494,94.31938171382,50.968559265102,27.22066497801,860
1.64950116229016E+018,10,1.64950116229016E+018,r1000913c5/base_footprint,0,1.64950116229016E+018,v/m1vw10zy74w/map,-14.536658496,-0.807185040991,0,0,0,-0.712987641719,0.701176598836,0,68.6173706055,37.5565605164,91.9974060059,96.3226242065,51.6519737244,51.6519737244,68.6173706055,68.6173706055,29.49010849,0.194472253323,0,0.00281834974885,0.103534169495,0.221692249179,0.218873903155,-5.68845176697,-0.178499817848,-2.00324249268,-0.0212389267981,-0.683414459229,-0.0134085500613,-2.26944351196,-0.083372078836,31.86810874943,94.31938171382,50.968559265171,27.22066497804,860
1.64950116238996E+018,11,1.64950116238996E+018,r1000913c5/base_footprint,0,1.64950116238996E+018,v/m1vw10zy74w/map,-14.5373847767,-0.911340522383,0,0,0,-0.715085250156,0.69903725581,0,68.8615570068,33.542881012,92.5118789673,96.114112854,52.0432662964,52.0432662964,68.8615570068,68.8615570068,28.5701065063,0.207494109869,0,0.00306376744993,0.0954809114337,0.210878834128,0.20781506598,-0.101276397705,-0.00302845519036,-1.7465133667,-0.0185075532645,-0.926456451416,-0.0181243009865,-1.79139900208,-0.0668963938951,33.441604614295,94.3675994873,51.116809844984,26.77870750422,842
1.64950116258912E+018,12,1.64950116258912E+018,r1000913c5/base_footprint,0,1.64950116258912E+018,v/m1vw10zy74w/map,-14.5367059538,-0.920828501372,0,0,0,-0.716030323753,0.698069176706,0,69.0687713623,37.0078735352,92.9660186768,96.2719039917,52.3617744446,52.3617744446,69.0687713623,69.0687713623,28.848154068,0.241453364491,0,0.00323921302333,0.0910327658057,0.200238764286,0.196999549866,-3.5662689209,-0.106641680002,-1.90430450439,-0.020179644227,-1.24496459961,-0.0243552867323,-2.06944656372,-0.0772795528173,33.4416046143,94.36759948731,51.11680984499,26.77870750428,842
1.64950116278951E+018,13,1.64950116278951E+018,r1000913c5/base_footprint,0,1.64950116278951E+018,v/m1vw10zy74w/map,-14.5367059538,-0.920828501372,0,0,0,-0.716030323753,0.698069176706,0,69.2269287109,40.2714920044,92.8240890503,96.2719039917,52.8002128601,52.8002128601,69.2269287109,69.2269287109,30.7365131378,0.259975224733,0,0.0034813368693,0.0864841789007,0.18577504158,0.182293698192,-6.82988739014,-0.204233244061,-1.90430450439,-0.020179644227,-1.68340301514,-0.0329324752092,-3.95780563354,-0.147796735168,33.44160461426,94.36759948731,51.11680984496,26.77870750426,842
1.64950116288919E+018,14,1.64950116288919E+018,r1000913c5/base_footprint,0,1.64950116288919E+018,v/m1vw10zy74w/map,-14.5417427011,-1.03190610182,0,0,0,-0.720470970633,0.693485097515,0,69.3625335693,41.1764717102,92.7796020508,95.9771652222,53.1732673645,53.1732673645,69.3625335693,69.3625335693,31.2634963989,0.211380168796,0,0.00359358917922,0.080539509654,0.16477675736,0.161183178425,-6.23857879639,-0.178561970592,-1.58554077148,-0.0167974736542,-2.04588317871,-0.0400154106319,-5.00405502319,-0.190562129021,34.93789291381,94.39162445072,51.12738418579,26.25944137571,797
