%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.main_output,field.scan_score,field.pose_score,field.cov_score,field.lhood_map_score,field.lhood_robot_score,field.lhood_map_score_all,field.lhood_robot_score_all,field.point_angle_diff,field.average_orientation,field.map_average_orientation,field.sensor_div,field.odom_div_x,field.odom_div_w,field.imu_div_w,field.kdtree_div,field.kdtree_div_p,field.cov_div,field.cov_div_p,field.likelihood_div,field.likelihood_div_p,field.normal_diff_div,field.normal_diff_div_p,field.kdtree_average,field.cov_average,field.likelihood_average,field.normal_diff_average,field.map_update_count
1.64951275466678E+018,0,1.64951275466678E+018,r1000913c5/base_footprint,0,1.64951275466678E+018,v/m1vw10zy74w/map,-14.2675631224,-0.648638686559,0,0,0,-0.999882439233,0.0153332225316,0,67.0548095703,1.65441179276,100,92.5551834106,51.6484375,51.6484375,67.0548095703,67.0548095703,44.0152435303,0.329414129257,0,0.00288544781506,1.05743253231,0.0582270212471,0.0553415715694,27.8519210815,0.943930268288,1.65660095215,0.0175837967545,-1.07359695435,-0.0212278869003,-16.0853404999,-0.575918257236,29.50633287426,94.21178436275,50.57484054565,27.9299030304,805
1.64951275476677E+018,1,1.64951275476677E+018,r1000913c5/base_footprint,0,1.64951275476677E+018,v/m1vw10zy74w/map,-14.3892777612,-0.6586894262,0,0,0,-0.998183518398,0.0602466895273,0,68.5989837646,51.1184768677,48.9810562134,93.035446167,52.0173950195,52.0173950195,68.5989837646,68.5989837646,21.9338226318,0.26249101758,0,0.00432770559564,1.03044831753,0.073399335146,0.0690716281533,-20.7244644165,-0.681860089302,1.20758056641,0.0128134740517,-1.30319213867,-0.0256967879832,5.72441482544,0.206969618797,30.3940124512,94.24302673341,50.71420288083,27.65823745724,808
1.64951275486741E+018,2,1.64951275486741E+018,r1000913c5/base_footprint,0,1.64951275486741E+018,v/m1vw10zy74w/map,-14.4766330812,-0.671973445677,0,0,0,-0.992910361465,0.118865529466,0,68.4622116089,44.5865287781,48.1756858826,93.3636627197,52.110584259,52.110584259,68.4622116089,68.4622116089,26.5836868286,0.101988397539,0,0.00653258664533,1.05776298046,0.0842144116759,0.0776818245649,-13.823972702,-0.449376583099,0.908843994141,0.00964060518891,-1.34375762939,-0.0264692064375,0.887163162231,0.0322947092354,30.7625560761,94.272506713841,50.76682662961,27.470849990831,836
1.64951275496677E+018,3,1.64951275496677E+018,r1000913c5/base_footprint,0,1.64951275496677E+018,v/m1vw10zy74w/map,-14.5063037792,-0.678704318442,0,0,0,-0.985062658454,0.172196280213,0,68.7960891724,43.2924232483,48.1756858826,93.2229156494,52.182258606,52.182258606,68.7960891724,68.7960891724,20.8413276672,0.1222814098,0,0.00618889555335,1.06699836254,0.0832549780607,0.0770660862327,-12.3505802155,-0.399154633284,1.04187774658,0.0110526708886,-1.37809371948,-0.0271256044507,6.57843589783,0.239915847778,30.9418430328,94.26479339598,50.80416488652,27.41976356503,829
1.64951275506721E+018,4,1.64951275506721E+018,r1000913c5/base_footprint,0,1.64951275506721E+018,v/m1vw10zy74w/map,-14.511743929,-0.681824754181,0,0,0,-0.974696445324,0.223532636258,0,68.7015838623,43.8103599548,47.8118171692,93.5294494629,52.1446304321,52.1446304321,68.7015838623,68.7015838623,23.2395172119,-0.0558878220618,0,0.00694367475808,1.0432612896,0.0762463361025,0.0693026632071,-12.868516922,-0.415893673897,0.735343933105,0.00780083332211,-1.34046554565,-0.0263849534094,4.18024635315,0.152453765273,30.9418430328,94.264793396005,50.80416488645,27.41976356505,829
1.64951275516675E+018,5,1.64951275516675E+018,r1000913c5/base_footprint,0,1.64951275516675E+018,v/m1vw10zy74w/map,-14.522312294,-0.6719519907,0,0,0,-0.971710070427,0.236176923156,0,69.0723571777,43.3878822327,47.3415374756,93.6609802246,52.2835502625,52.2835502625,69.0723571777,69.0723571777,18.5394496918,0.1707123667,0,0.00707805342972,1.01461017132,0.0545879304409,0.0475098751485,-12.4460391998,-0.402239739895,0.603813171387,0.00640550022945,-1.47938537598,-0.0291193723679,8.88031387329,0.323865443468,30.9418430329,94.264793395987,50.80416488652,27.41976356509,829
1.64951275526677E+018,6,1.64951275526677E+018,r1000913c5/base_footprint,0,1.64951275526677E+018,v/m1vw10zy74w/map,-14.5097797426,-0.682681060755,0,0,0,-0.957492468046,0.288458270178,0,68.8005828857,41.6187515259,47.2143974304,93.7516784668,52.142414093,52.142414093,68.8005828857,68.8005828857,22.2335681915,0.141364052892,0,0.00726481853053,0.991296827793,0.041750293225,0.0344854742289,-10.676908493,-0.345063745975,0.513114929199,0.00544333597645,-1.33824920654,-0.0263413283974,5.18619537354,0.18914078176,30.9418430329,94.264793395999,50.80416488646,27.41976356504,829
1.6495127553668E+018,7,1.6495127553668E+018,r1000913c5/base_footprint,0,1.6495127553668E+018,v/m1vw10zy74w/map,-14.502371728,-0.682265632675,0,0,0,-0.941419067194,0.337238995259,0,68.8299102783,42.5033187866,46.7971839905,93.4997940063,52.084564209,52.084564209,68.8299102783,68.8299102783,20.1741504669,0.0435472987592,0,0.00706893624738,0.961908996105,0.0188914928585,0.0118225570768,-11.5614757538,-0.37365180254,0.764999389648,0.00811543036252,-1.28039932251,-0.0252026449889,7.24561309814,0.264247834682,30.9418430328,94.264793395948,50.80416488649,27.41976356504,829
1.64951275546679E+018,8,1.64951275546679E+018,r1000913c5/base_footprint,0,1.64951275546679E+018,v/m1vw10zy74w/map,-14.4995733534,-0.677785126564,0,0,0,-0.919981166817,0.391962565435,0,68.5724411011,45.7013587952,46.2637939453,93.4717025757,52.0084152222,52.0084152222,68.5724411011,68.5724411011,23.8850746155,0.108533963561,0,0.00666311010718,0.936879038811,0.00794687122107,0.0012837612303,-14.7595157623,-0.477008283138,0.793090820312,0.00841343589127,-1.20425033569,-0.0237037725747,3.53468894958,0.128910258412,30.9418430329,94.264793396012,50.80416488651,27.41976356508,829
1.64951275556674E+018,9,1.64951275556674E+018,r1000913c5/base_footprint,0,1.64951275556674E+018,v/m1vw10zy74w/map,-14.4989799272,-0.675444852781,0,0,0,-0.893874700433,0.448316874461,0,68.5903091431,51.2195129395,45.8526306152,93.047958374,52.0970039368,52.0970039368,68.5903091431,68.5903091431,22.9947566986,0.166675552726,0,0.00614592665806,0.899093806744,0.00510429684073,0.0112502230331,-20.2776699066,-0.655347824097,1.21683502197,0.012908690609,-1.29283905029,-0.0254475008696,4.42500686646,0.161380201578,30.9418430329,94.26479339597,50.80416488651,27.41976356506,829
1.64951275566687E+018,10,1.64951275566687E+018,r1000913c5/base_footprint,0,1.64951275566687E+018,v/m1vw10zy74w/map,-14.494443934,-0.677303603105,0,0,0,-0.869702099,0.493577004118,0,68.6629333496,52.5457229614,45.6465148926,93.154510498,52.1973876953,52.1973876953,68.6629333496,68.6629333496,23.1552581787,0.150779783726,0,0.00647892616689,0.879783153534,0.00848772376776,0.014966650866,-21.6038799286,-0.698209226131,1.11028289795,0.0117783416063,-1.39322280884,-0.0274233967066,4.26450538635,0.155526697636,30.9418430328,94.26479339595,50.80416488646,27.41976356505,829
1.64951275576656E+018,11,1.64951275576656E+018,r1000913c5/base_footprint,0,1.64951275576656E+018,v/m1vw10zy74w/map,-14.4876497991,-0.678354336114,0,0,0,-0.838461893426,0.544960230909,0,68.7176208496,50.1495513916,45.2148551941,93.3702316284,52.3462944031,52.3462944031,68.7176208496,68.7176208496,24.5556602478,0.158943191171,0,0.00679044658318,0.853859424591,0.0213046558201,0.0280951019377,-19.2077083588,-0.620768070221,0.894561767578,0.00948988180608,-1.5421295166,-0.0303543917835,2.86410331726,0.104453973472,30.9418430328,94.264793395978,50.8041648865,27.41976356506,829
1.64951275586731E+018,12,1.64951275586731E+018,r1000913c5/base_footprint,0,1.64951275586732E+018,v/m1vw10zy74w/map,-14.4876497991,-0.678354336114,0,0,0,-0.838461893426,0.544960230909,0,68.8369827271,54.137588501,44.7971496582,93.3702316284,52.5387840271,52.5387840271,68.8369827271,68.8369827271,24.4859619141,0.192434176803,0,0.00662609981373,0.840767323971,0.0280050896108,0.0346311889589,-23.1957454681,-0.749656260014,0.894561767578,0.00948988180608,-1.73461914062,-0.0341432467103,2.933801651,0.106995880604,30.9418430329,94.264793395978,50.80416488648,27.4197635651,829
1.64951275596795E+018,13,1.64951275596795E+018,r1000913c5/base_footprint,0,1.64951275596795E+018,v/m1vw10zy74w/map,-14.5144382151,-0.676085350568,0,0,0,-0.806187300375,0.591660406579,0,68.9225540161,46.9623908997,44.2716369629,93.5533676147,52.6135940552,52.6135940552,68.9225540161,68.9225540161,24.4129428864,0.0961809307337,0,0.00628683203831,0.794799625874,0.044566038996,0.050852868706,-16.0205478668,-0.517763197422,0.71142578125,0.00754709960893,-1.8094291687,-0.0356157645583,3.00682067871,0.109658882022,30.9418430329,94.26479339595,50.8041648865,27.41976356511,829
1.64951275606681E+018,14,1.64951275606681E+018,r1000913c5/base_footprint,0,1.64951275606681E+018,v/m1vw10zy74w/map,-14.5090429221,-0.670759342647,0,0,0,-0.76961919422,0.638503168268,0,68.9737167358,40.2277030945,43.9533576965,93.9197921753,52.6167488098,52.6167488098,68.9737167358,68.9737167358,24.8452548981,0.159951165318,0,0.00575392134488,0.685881078243,0.0600428692997,0.0657967925072,-9.28586006165,-0.300106883049,0.345001220703,0.00365991587751,-1.81258392334,-0.0356778614223,2.57450866699,0.0938924476504,30.94184303285,94.264793396003,50.80416488646,27.41976356509,829
1.6495127576669E+018,15,1.6495127576669E+018,r1000913c5/base_footprint,0,1.6495127576669E+018,v/m1vw10zy74w/map,-14.5046713375,-0.658947164263,0,0,0,-0.731864154199,0.681450555652,0,68.9949417114,43.8502655029,43.6903953552,94.3417739868,52.8293190002,52.8293190002,68.9949417114,68.9949417114,28.2780056,0.0696590840816,0,0.00246019125916,0.0329016186297,0.215124055743,0.212663859129,-13.1280727386,-0.427315622568,-0.096923828125,-0.0010284257587,-2.08007049561,-0.0409872159362,-0.778793334961,-0.028320569545,30.7221927643,94.244850158675,50.74924850459,27.499212265039,800
1.64951275776668E+018,16,1.64951275776668E+018,r1000913c5/base_footprint,0,1.64951275776668E+018,v/m1vw10zy74w/map,-14.5046713375,-0.658947164263,0,0,0,-0.731864154199,0.681450555652,0,69.3167114258,32.5125389099,43.4657516479,94.3417739868,52.9308815002,52.9308815002,69.3167114258,69.3167114258,23.5830383301,0.221598848701,0,0.00365769513883,0.0903733819723,0.187210813165,0.183553129435,-1.79034614563,-0.0582753382623,-0.096923828125,-0.0010284257587,-2.18163299561,-0.0429884791374,3.91617393494,0.14241039753,30.72219276427,94.244850158675,50.74924850459,27.49921226504,800
1.64951275786681E+018,17,1.64951275786681E+018,r1000913c5/base_footprint,0,1.64951275786681E+018,v/m1vw10zy74w/map,-14.5046713375,-0.658947164263,0,0,0,-0.731864154199,0.681450555652,0,69.3243255615,31.985294342,43.4657516479,94.3417739868,53.0112304688,53.0112304688,69.3243255615,69.3243255615,24.3137817383,0.19644421339,0,0.00253081112169,0.13204626739,0.181791812181,0.179260998964,-1.26310157776,-0.0411136522889,-0.096923828125,-0.0010284257587,-2.26198196411,-0.0445717349648,3.18543052673,0.115837156773,30.72219276424,94.244850158675,50.74924850469,27.49921226503,800
1.64951275796688E+018,18,1.64951275796688E+018,r1000913c5/base_footprint,0,1.64951275796688E+018,v/m1vw10zy74w/map,-14.5046713375,-0.658947164263,0,0,0,-0.731864154199,0.681450555652,0,69.384979248,27.8074874878,43.4657516479,94.3417739868,53.2237434387,53.2237434387,69.384979248,69.384979248,25.5171146393,0.267170399427,0,0.00284306332469,0.134244635701,0.179956018925,0.177112951875,2.91470527649,0.0948729589581,-0.096923828125,-0.0010284257587,-2.47449493408,-0.0487592443824,1.98209762573,0.0720783397555,30.72219276429,94.244850158675,50.74924850462,27.49921226503,800
1.64951275806683E+018,19,1.64951275806683E+018,r1000913c5/base_footprint,0,1.64951275806683E+018,v/m1vw10zy74w/map,-14.5038753776,-0.782181415066,0,0,0,-0.709520364553,0.704684931217,0,69.4556884766,27.4657230377,43.4657516479,94.3387145996,53.2818222046,53.2818222046,69.4556884766,69.4556884766,24.860616684,0.28919288516,0,0.00253674131818,0.129885315895,0.184068262577,0.181531518698,4.32534980774,0.136055484414,-0.0177536010742,-0.000188225400052,-2.28696060181,-0.0448468849063,2.2673034668,0.0835782289505,31.79107284544,94.3209609985258,50.99486160279,27.1279201508,864
1.64951275816674E+018,20,1.64951275816674E+018,r1000913c5/base_footprint,0,1.64951275816674E+018,v/m1vw10zy74w/map,-14.5038753776,-0.782181415066,0,0,0,-0.709520364553,0.704684931217,0,69.4130783081,31.372549057,43.4657516479,94.3387145996,53.3710632324,53.3710632324,69.4130783081,69.4130783081,26.5914840698,0.231399059296,0,0.00348963146098,0.12328492105,0.185629710555,0.18214006722,0.418523788452,0.0131648210809,-0.0177536010742,-0.000188225400052,-2.37620162964,-0.0465968847275,0.536436080933,0.0197743158787,31.791072845452,94.3209609985258,50.99486160276,27.127920150733,864
1.6495127582669E+018,21,1.6495127582669E+018,r1000913c5/base_footprint,0,1.6495127582669E+018,v/m1vw10zy74w/map,-14.503974896,-0.905091973404,0,0,0,-0.708151572287,0.706060444061,0,69.4611663818,25.1336898804,43.4657516479,94.1376342773,53.3172912598,53.3172912598,69.4611663818,69.4611663818,24.4211769104,0.32751122117,0,0.00355421146378,0.115725561976,0.165924742818,0.162370532751,7.44731140137,0.228578343987,0.210517883301,0.00223128776997,-2.29235076904,-0.044926084578,2.5023021698,0.0929412618279,32.58100128177,94.348152160601,51.02494049076,26.9234790802,877
1.64951275836733E+018,22,1.64951275836733E+018,r1000913c5/base_footprint,0,1.64951275836733E+018,v/m1vw10zy74w/map,-14.503974896,-0.905091973404,0,0,0,-0.708151572287,0.706060444061,0,69.277671814,32.773109436,43.6046447754,94.1376342773,53.3239059448,53.3239059448,69.277671814,69.277671814,27.7955951691,0.236806809902,0,0.00369748752564,0.109709270298,0.144457384944,0.140759900212,-0.192108154297,-0.00589632429183,0.210517883301,0.00223128776997,-2.2989654541,-0.0450557209551,-0.872116088867,-0.0323924012482,32.581001281703,94.348152160601,51.0249404907,26.923479080233,877
