%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.main_output,field.scan_score,field.pose_score,field.cov_score,field.lhood_map_score,field.lhood_robot_score,field.lhood_map_score_all,field.lhood_robot_score_all,field.point_angle_diff,field.average_orientation,field.map_average_orientation,field.sensor_div,field.odom_div_x,field.odom_div_w,field.imu_div_w,field.kdtree_div,field.kdtree_div_p,field.cov_div,field.cov_div_p,field.likelihood_div,field.likelihood_div_p,field.normal_diff_div,field.normal_diff_div_p,field.kdtree_average,field.cov_average,field.likelihood_average,field.normal_diff_average,field.map_update_count
1.64951318343152E+018,0,1.64951318343152E+018,r1000913c5/base_footprint,0,1.64951318343152E+018,v/m1vw10zy74w/map,-8.14768286556,-0.727156510134,0,0,0,0.999996617448,0.0026009792901,0,68.5905075073,39.8883628845,100,95.60987854,51.5985412598,51.5985412598,68.5905075073,68.5905075073,26.8307418823,0.271831572056,0,0.0010393736884,0.0491767674685,0.0156270451844,0.0166664198041,-21.4342517853,-1.16148924828,-1.22528839111,-0.0129818692803,-3.77367019653,-0.0789060220122,9.72496414185,0.266031354666,18.4541110992,94.38459014889,47.82487106327,36.55570602415,929
1.64951318353055E+018,1,1.64951318353055E+018,r1000913c5/base_footprint,0,1.64951318353055E+018,v/m1vw10zy74w/map,-8.32028208978,-0.724918267863,0,0,0,-0.999999999996,2.69725102903E-06,0,68.440246582,17.4714660645,46.8382568359,95.8769226074,51.4662971497,51.4662971497,68.440246582,68.440246582,29.0684642792,0.422176122665,0,0.00143228133675,0.0600978657603,0.0135236792266,0.0149559602141,0.528877258301,0.0293815098703,-1.36898040771,-0.014485348016,-4.70631027222,-0.100648239255,6.3773059845,0.179917261004,18.000343322801,94.50794219969,46.75998687748,35.4457702637,1181
1.64951318363105E+018,2,1.64951318363105E+018,r1000913c5/base_footprint,0,1.64951318363105E+018,v/m1vw10zy74w/map,-8.4422018298,-0.719997842988,0,0,0,0.99999999296,0.000118662858551,0,68.03956604,12.8872919083,46.8382568359,95.849861145,51.4204330444,51.4204330444,68.03956604,68.03956604,35.6880455017,0.237278774381,0,0.00148936000187,0.066398948431,0.0142262829468,0.0157156437635,5.29223537445,0.291109621525,-1.3130645752,-0.0138894552365,-4.74920272827,-0.101758681238,-0.487209320068,-0.0138408448547,18.17952728275,94.5367965698,46.67123031613,35.200836181632,1190
1.64951318373163E+018,3,1.64951318373163E+018,r1000913c5/base_footprint,0,1.64951318373163E+018,v/m1vw10zy74w/map,-8.59052869287,-0.720960393429,0,0,0,-0.999999851683,0.000544640752148,0,68.1109161377,8.59728527069,47.2596435547,95.4709091187,51.1083869934,51.1083869934,68.1109161377,68.1109161377,29.669418335,0.325025886297,0,0.00151916313916,0.0785771384835,0.0153958536685,0.0169150177389,9.58254909515,0.527097702026,-0.913673400879,-0.00966264959425,-4.46947479248,-0.0958314538002,5.18252563477,0.148701190948,18.17983436584,94.557235717821,46.63891220092,34.85194396977,1176
1.6495131838309E+018,4,1.6495131838309E+018,r1000913c5/base_footprint,0,1.6495131838309E+018,v/m1vw10zy74w/map,-8.73005033849,-0.733892148836,0,0,0,-0.999998803731,0.00154678238898,0,67.9889755249,12.4486999512,47.9086608887,95.5068969727,51.0339851379,51.0339851379,67.9889755249,67.9889755249,31.1903629303,0.360648602247,0,0.00100542907603,0.0872082784772,0.0165709070861,0.0175763368607,5.76275062561,0.316435575485,-0.966415405273,-0.0102222394198,-4.39367675781,-0.094203427434,3.41617774963,0.0987147986889,18.21145057681,94.540481567427,46.64030838009,34.60654067993,1157
1.6495131839307E+018,5,1.6495131839307E+018,r1000913c5/base_footprint,0,1.6495131839307E+018,v/m1vw10zy74w/map,-8.92405814353,-0.732880153881,0,0,0,-0.999995950608,0.00284583335915,0,67.7771453857,7.62527227402,48.3163795471,95.2166671753,50.9957695007,50.9957695007,67.7771453857,67.7771453857,33.5456886292,0.0106805181131,0,0.000962832476944,0.111622653902,0.00983666907996,0.0107995010912,10.7721843719,0.585525751114,-0.637275695801,-0.00673799728975,-3.89239501953,-0.0826351642609,0.698509216309,0.0203978847712,18.39745664592,94.579391479499,47.10337448117,34.244197845509,1131
1.64951318403137E+018,6,1.64951318403137E+018,r1000913c5/base_footprint,0,1.64951318403137E+018,v/m1vw10zy74w/map,-9.06035762305,-0.729132890153,0,0,0,-0.99999074531,0.00430224298014,0,67.5994338989,16.7024478912,48.5153503418,95.4664840698,50.9713745117,50.9713745117,67.5994338989,67.5994338989,37.3803100586,0.13650675118,0,0.000885454704985,0.142825931311,0.00769118964672,0.00857664458454,1.83983612061,0.0992238149047,-0.890045166016,-0.00941085536033,-3.20048904419,-0.0669966414571,-3.01389312744,-0.0876987874508,18.54228401181,94.576438903784,47.77088546751,34.36641693116,1024
1.64951318413054E+018,7,1.64951318413054E+018,r1000913c5/base_footprint,0,1.64951318413054E+018,v/m1vw10zy74w/map,-9.1994551304,-0.730485179631,0,0,0,-0.999997538454,0.00221880261408,0,68.1322631836,23.5723495483,48.7038650513,95.3779602051,51.1326332092,51.1326332092,68.1322631836,68.1322631836,29.2124042511,0.278657197952,0,0.00166354386602,0.180952444673,0.0120461229235,0.0137096671388,-4.82050895691,-0.257068574429,-0.878067016602,-0.0092917252332,-2.66272735596,-0.054935682565,5.37345695496,0.15536570549,18.75184059139,94.499893188498,48.46990585324,34.58586120606,907
1.64951318423039E+018,8,1.64951318423039E+018,r1000913c5/base_footprint,0,1.64951318423039E+018,v/m1vw10zy74w/map,-9.2125388284,-0.731824850102,0,0,0,-0.99999765666,0.00216487300123,0,68.2447814941,27.2563991547,48.729839325,95.521484375,51.3430328369,51.3430328369,68.2447814941,68.2447814941,29.9760856628,0.31314471364,0,0.000686933344696,0.219583362341,0.0134825501591,0.0141694834456,-8.50455856323,-0.45353192091,-1.02159118652,-0.0108105009422,-2.87312698364,-0.0592765137553,4.60977554321,0.133284971118,18.75184059147,94.49989318848,48.46990585326,34.58586120601,907
1.64951318433058E+018,9,1.64951318433058E+018,r1000913c5/base_footprint,0,1.64951318433058E+018,v/m1vw10zy74w/map,-9.36582491009,-0.732135401959,0,0,0,-0.999994195301,0.0034072517637,0,68.0940475464,37.9342269897,48.8022079468,95.5204391479,51.2835350037,51.2835350037,68.0940475464,68.0940475464,32.042881012,0.161239892244,0,0.000524744449649,0.244716882706,0.00814250204712,0.00866724643856,-17.952589035,-0.89845430851,-1.11122894287,-0.0117703443393,-1.71388626099,-0.034575317055,2.94873809814,0.084269836545,19.9816379547,94.40921020503,49.56964874271,34.99161911014,796
