%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.main_output,field.scan_score,field.pose_score,field.cov_score,field.lhood_map_score,field.lhood_robot_score,field.lhood_map_score_all,field.lhood_robot_score_all,field.point_angle_diff,field.average_orientation,field.map_average_orientation,field.sensor_div,field.odom_div_x,field.odom_div_w,field.imu_div_w,field.kdtree_div,field.kdtree_div_p,field.cov_div,field.cov_div_p,field.likelihood_div,field.likelihood_div_p,field.normal_diff_div,field.normal_diff_div_p,field.kdtree_average,field.cov_average,field.likelihood_average,field.normal_diff_average,field.map_update_count
1.64951436059732E+018,0,1.64951436059732E+018,r1000913c5/base_footprint,0,1.64951436059733E+018,v/m1vw10zy74w/map,-5.39499855493,-0.732235350228,0,0,0,0.999999633769,0.000855839502123,0,63.3416786194,18.1585674286,100,96.3091506958,43.3550720215,43.3550720215,63.3416786194,63.3416786194,34.7974815369,0.484723389149,0,0.000264236907242,0.0335915163159,0.00219086837023,0.00192663143389,-5.95918655396,-0.488482713699,-2.28275299072,-0.0242777876556,4.31052398682,0.0904326066375,1.22799682617,0.0340868979692,12.19938087464,94.02639770508,47.66559600832,36.02547836307,748
1.64951436069426E+018,1,1.64951436069426E+018,r1000913c5/base_footprint,0,1.64951436069426E+018,v/m1vw10zy74w/map,-5.39499855493,-0.732235350228,0,0,0,0.999999633769,0.000855839502123,0,63.1178207397,21.2802772522,49.7784118652,96.3091506958,43.122505188,43.122505188,63.1178207397,63.1178207397,36.3152313232,0.126385524869,0,0.000210339858313,0.0227948334068,0.00382727547549,0.00361693557352,-9.08089637756,-0.744373559952,-2.28275299072,-0.0242777876556,4.54309082031,0.0953117385507,-0.289752960205,-0.00804300140589,12.19938087464,94.02639770508,47.66559600831,36.025478362995,748
1.64951436079408E+018,2,1.64951436079408E+018,r1000913c5/base_footprint,0,1.64951436079408E+018,v/m1vw10zy74w/map,-5.51223097398,-0.732673680549,0,0,0,0.999999974088,0.000227649143242,0,63.4348526001,22.7136116028,49.4776115417,96.2978820801,42.9993057251,42.9993057251,63.4348526001,63.4348526001,29.2375602722,0.136570706964,0,0.00013697182294,0.015700109303,0.0049664969556,0.00482952501625,-10.4638881683,-0.854214251041,-2.29950714111,-0.0244632642716,4.52961349487,0.0953022614121,6.73001480103,0.187113389373,12.2497234345,93.99837493899,47.52891921997,35.96757507323,766
1.64951436089614E+018,3,1.64951436089614E+018,r1000913c5/base_footprint,0,1.64951436089614E+018,v/m1vw10zy74w/map,-5.51223097398,-0.732673680549,0,0,0,0.999999974088,0.000227649143242,0,63.1024475098,19.8635978699,51.4503593445,96.2978820801,42.860244751,42.860244751,63.1024475098,63.1024475098,33.7189407349,0.0928809791803,0,3.90771310776E-05,0.0104328431189,0.00651019671932,0.00647111982107,-7.61387443542,-0.621554791927,-2.29950714111,-0.0244632642716,4.66867446899,0.0982280820608,2.24863433838,0.0625183731318,12.24972343448,93.99837493899,47.52891921999,35.96757507328,766
1.64951436099502E+018,4,1.64951436099502E+018,r1000913c5/base_footprint,0,1.64951436099502E+018,v/m1vw10zy74w/map,-5.62052092786,-0.729275696214,0,0,0,-0.999999837756,0.000569638112361,0,62.7938117981,20.6971683502,54.8204269409,96.10912323,42.7823677063,42.7823677063,62.7938117981,62.7938117981,37.7538375854,0.0103775523603,0,0.000151187283336,0.0312750637531,0.00045309230336,0.000301905034576,-8.06012248993,-0.63781696558,-2.05894470215,-0.0218919813633,4.79513168335,0.100785702467,-2.02411651611,-0.0566507801414,12.63704586027,94.05017852785,47.57749938965,35.72972106929,755
1.64951436109511E+018,5,1.64951436109511E+018,r1000913c5/base_footprint,0,1.64951436109511E+018,v/m1vw10zy74w/map,-5.62052092786,-0.729275696214,0,0,0,-0.999999837756,0.000569638112361,0,62.4444313049,17.0545921326,54.361125946,96.10912323,42.6530532837,42.6530532837,62.4444313049,62.4444313049,42.6460990906,-0.243370682001,0,0.000371258734958,0.0376568622887,0.00471122469753,0.00508248340338,-4.41754627228,-0.349571108818,-2.05894470215,-0.0218919813633,4.92444610596,0.103503674269,-6.91637802124,-0.193574920297,12.63704586032,94.05017852785,47.57749938966,35.72972106936,755
1.64951436119424E+018,6,1.64951436119424E+018,r1000913c5/base_footprint,0,1.64951436119424E+018,v/m1vw10zy74w/map,-5.73999383554,-0.733863006661,0,0,0,-0.999999971987,0.000236698657918,0,62.3808670044,20.4152240753,54.361125946,96.218536377,42.6487770081,42.6487770081,62.3808670044,62.3808670044,44.1378860474,-0.221693411469,0,0.000175982742803,0.0380090326071,0.00446836510673,0.00464434782043,-7.73794841766,-0.610379457474,-2.18840789795,-0.0232734754682,4.90637969971,0.103172399104,-8.00190734863,-0.221438795328,12.67727565764,94.03012847905,47.55515670781,36.13597869877,754
1.64951436129398E+018,7,1.64951436129398E+018,r1000913c5/base_footprint,0,1.64951436129398E+018,v/m1vw10zy74w/map,-5.85786730793,-0.734445955779,0,0,0,-0.999998305278,0.00184104325739,0,62.8055877686,16.4535369873,50.2163047791,95.9835891724,42.5925941467,42.5925941467,62.8055877686,62.8055877686,35.0403594971,0.14449416101,0,0.000285324495053,0.0340718328953,0.00427536014467,0.00456068478525,-3.41780567169,-0.262187480927,-1.93828582764,-0.0206101294607,4.93527603149,0.103839620948,1.42733764648,0.0391397811472,13.03573131561,94.04530334476,47.52787017819,36.46769714358,763
1.64951436139383E+018,8,1.64951436139383E+018,r1000913c5/base_footprint,0,1.64951436139383E+018,v/m1vw10zy74w/map,-5.85786730793,-0.734445955779,0,0,0,-0.999998305278,0.00184104325739,0,62.4391670227,17.2113285065,49.4961013794,95.9835891724,42.8074111938,42.8074111938,62.4391670227,62.4391670227,43.9559364319,-0.180545240641,0,0.000290146330371,0.0308106057346,0.00340399844572,0.00369414477609,-4.17559719086,-0.320319354534,-1.93828582764,-0.0206101294607,4.72045898438,0.0993198081851,-7.48823928833,-0.205338969827,13.03573131564,94.04530334476,47.52787017818,36.46769714357,763
1.64951436149431E+018,9,1.64951436149431E+018,r1000913c5/base_footprint,0,1.64951436149431E+018,v/m1vw10zy74w/map,-5.97762087601,-0.732165380495,0,0,0,-0.999997099019,0.00240872455781,0,62.6737442017,18.3494300842,49.5143585205,96.0536270142,43.1736831665,43.1736831665,62.6737442017,62.6737442017,43.9414176941,-0.033036544919,0,0.000291307340376,0.0291231628507,0.00294138654135,0.00323269376531,-5.0258731842,-0.377217084169,-2.00057983398,-0.0212707612664,4.44763183594,0.0933958217502,-6.9747505188,-0.188676744699,13.3235569,94.05304718022,47.62131500244,36.9666671753,769
