%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.main_output,field.scan_score,field.pose_score,field.cov_score,field.lhood_map_score,field.lhood_robot_score,field.lhood_map_score_all,field.lhood_robot_score_all,field.point_angle_diff,field.average_orientation,field.map_average_orientation,field.sensor_div,field.odom_div_x,field.odom_div_w,field.imu_div_w,field.kdtree_div,field.kdtree_div_p,field.cov_div,field.cov_div_p,field.likelihood_div,field.likelihood_div_p,field.normal_diff_div,field.normal_diff_div_p,field.kdtree_average,field.cov_average,field.likelihood_average,field.normal_diff_average,field.map_update_count
1.64951548052748E+018,0,1.64951548052748E+018,r1000913c5/base_footprint,0,1.64951548052748E+018,v/m1vw10zy74w/map,-8.67163693797,-1.30197061249,0,0,0,-0.715649846641,0.698459230738,0,63.4653053284,23.9819011688,100,95.6017608643,43.6846160889,43.6846160889,63.4653053284,63.4653053284,33.5846786499,0.0504624024034,0,0.0149209164083,0.0725703909993,0.131701111794,0.11678019166,-7.74440574646,-0.476945817471,-0.448425292969,-0.00471265986562,-2.2419090271,-0.0540965870023,2.49457168579,0.0691414475441,16.23749542234,95.153335571331,41.4427070618,36.07925033569,321
1.64951548062802E+018,1,1.64951548062802E+018,r1000913c5/base_footprint,0,1.64951548062802E+018,v/m1vw10zy74w/map,-8.67163693797,-1.30197061249,0,0,0,-0.715649846641,0.698459230738,0,64.0628662109,20.4401187897,45.0633468628,95.6017608643,43.6873779297,43.6873779297,64.0628662109,64.0628662109,22.8583927155,0.256230264902,0,0.0148857943714,0.0680241659284,0.124887354672,0.110001564026,-4.20262336731,-0.258822143078,-0.448425292969,-0.00471265986562,-2.24467086792,-0.0541632287204,13.2208576202,0.366439372301,16.23749542239,95.153335571331,41.44270706178,36.0792503357,321
1.64951548412701E+018,2,1.64951548412701E+018,r1000913c5/base_footprint,0,1.64951548412701E+018,v/m1vw10zy74w/map,-8.66515024177,-2.17880891232,0,0,0,-0.707678883269,0.706534215856,0,64.1873397827,18.7473545074,45.6118659973,96.8174972534,43.5805091858,43.5805091858,64.1873397827,64.1873397827,23.8403167725,0.339204996824,0,1.85164535651E-05,0.014617651701,0.0137067157775,0.0137252323329,-6.42662811279,-0.521611154079,-1.41338348389,-0.0148147018626,-3.08853149414,-0.0762751474977,5.33416175842,0.182836577296,12.32072639461,95.40411376951,40.49197769166,29.17447853092,219
1.64951548682686E+018,3,1.64951548682686E+018,r1000913c5/base_footprint,0,1.64951548682686E+018,v/m1vw10zy74w/map,-8.65987248054,-2.41611579503,0,0,0,-0.709895180984,0.704307342015,0,64.0412139893,19.7012138367,45.181640625,96.9136886597,43.4280128479,43.4280128479,64.0412139893,64.0412139893,25.1700134277,1.56767070293,0,0.00147796608508,0.089372895658,0.0157277174294,0.0172056835145,-8.62944126129,-0.779409170151,-1.5625,-0.0163867902011,-3.16911697388,-0.0787184238434,1.4571685791,0.0547248497605,11.07177257541,95.3511886597,40.25889587402,26.6271820068,155
1.64951548692729E+018,4,1.64951548692729E+018,r1000913c5/base_footprint,0,1.64951548692729E+018,v/m1vw10zy74w/map,-8.65987248054,-2.41611579503,0,0,0,-0.709895180984,0.704307342015,0,63.901096344,10.4477615356,44.0690460205,96.9136886597,42.9665565491,42.9665565491,63.901096344,63.901096344,22.7083835602,1.42601013184,0,0.00147253775503,0.100374870002,0.0157674327493,0.0172399692237,0.624011039734,0.0563605353236,-1.5625,-0.0163867902011,-2.70766067505,-0.0672562047839,3.91879844666,0.147172853351,11.071772575334,95.3511886597,40.25889587405,26.62718200686,155
1.64951548702709E+018,5,1.64951548702709E+018,r1000913c5/base_footprint,0,1.64951548702709E+018,v/m1vw10zy74w/map,-8.65987248054,-2.41611579503,0,0,0,-0.709895180984,0.704307342015,0,63.4084091187,11.3257246017,43.7989044189,96.9136886597,42.588558197,42.588558197,63.4084091187,63.4084091187,27.4943141937,1.42897343636,0,0.00146797369234,0.111765012145,0.0158075578511,0.0172755327076,-0.253952026367,-0.0229368899018,-1.5625,-0.0163867902011,-2.329662323,-0.0578670203686,-0.86713218689,-0.0325656756759,11.071772575333,95.3511886597,40.258895874,26.62718200681,155
1.64951548712741E+018,6,1.64951548712741E+018,r1000913c5/base_footprint,0,1.64951548712741E+018,v/m1vw10zy74w/map,-8.65987248054,-2.41611579503,0,0,0,-0.709895180984,0.704307342015,0,63.1221618652,15.3297681808,43.9141845703,96.9136886597,42.2827301025,42.2827301025,63.1221618652,63.1221618652,29.343832016,1.46873557568,0,0.00144184799865,0.133100941777,0.0159030780196,0.0173449255526,-4.25799560547,-0.384581208229,-1.5625,-0.0163867902011,-2.02383422852,-0.050270486623,-2.71665000916,-0.102025441825,11.07177257533,95.3511886597,40.25889587398,26.62718200684,155
1.64951548722704E+018,7,1.64951548722704E+018,r1000913c5/base_footprint,0,1.64951548722704E+018,v/m1vw10zy74w/map,-8.65987248054,-2.41611579503,0,0,0,-0.709895180984,0.704307342015,0,63.0215950012,10.6590003967,44.1692123413,96.9136886597,41.9409255981,41.9409255981,63.0215950012,63.0215950012,27.4625854492,1.43348836899,0,0.00140122731682,0.14306101203,0.0159776955843,0.0173789225519,0.41277217865,0.0372814908624,-1.5625,-0.0163867902011,-1.68202972412,-0.0417803227901,-0.835403442383,-0.0313740856946,11.07177257535,95.3511886597,40.25889587398,26.627182006817,155
1.6495154873271E+018,8,1.6495154873271E+018,r1000913c5/base_footprint,0,1.6495154873271E+018,v/m1vw10zy74w/map,-8.65987248054,-2.41611579503,0,0,0,-0.709895180984,0.704307342015,0,63.0368385315,10.4477615356,44.4674568176,96.9136886597,41.6610107422,41.6610107422,63.0368385315,63.0368385315,24.1651325226,1.41506111622,0,0.00147634907626,0.159990891814,0.0162207819521,0.0176971312612,0.624011039734,0.0563605353236,-1.5625,-0.0163867902011,-1.40211486816,-0.0348274558783,2.46204948425,0.0924637615681,11.071772575334,95.3511886597,40.25889587404,26.62718200685,155
1.64951548742712E+018,9,1.64951548742712E+018,r1000913c5/base_footprint,0,1.64951548742712E+018,v/m1vw10zy74w/map,-8.65987248054,-2.41611579503,0,0,0,-0.709895180984,0.704307342015,0,62.4634170532,15.7155399323,44.7689857483,96.9136886597,41.4792404175,41.4792404175,62.4634170532,62.4634170532,32.5235710144,1.44607627392,0,0.00155868532602,0.172911226749,0.0177491139621,0.0193077996373,-4.64376735687,-0.419424027205,-1.5625,-0.0163867902011,-1.22034454346,-0.0303124189377,-5.89638900757,-0.221442475915,11.07177257543,95.3511886597,40.25889587404,26.62718200683,155
1.64951548752728E+018,10,1.64951548752728E+018,r1000913c5/base_footprint,0,1.64951548752728E+018,v/m1vw10zy74w/map,-8.65987248054,-2.41611579503,0,0,0,-0.709895180984,0.704307342015,0,62.5365867615,13.3126935959,45.0572967529,96.9136886597,41.2252998352,41.2252998352,62.5365867615,62.5365867615,28.463973999,1.42667198181,0,0.00214772322215,0.178593859076,0.0194877777249,0.0216355025768,-2.24092102051,-0.202399477363,-1.5625,-0.0163867902011,-0.966403961182,-0.0240047313273,-1.83679199219,-0.0689818412066,11.07177257539,95.3511886597,40.258895874018,26.62718200681,155
1.6495154877272E+018,11,1.6495154877272E+018,r1000913c5/base_footprint,0,1.6495154877272E+018,v/m1vw10zy74w/map,-8.65987248054,-2.41611579503,0,0,0,-0.709895180984,0.704307342015,0,62.229675293,13.9596138,45.3261604309,96.9136886597,41.0311279297,41.0311279297,62.229675293,62.229675293,31.8913269043,1.67637634277,0,0.00273159728386,0.186082392931,0.0274863988161,0.0302179958671,-2.88784122467,-0.260829180479,-1.5625,-0.0163867902011,-0.772232055664,-0.0191816501319,-5.26414489746,-0.197698161006,11.07177257533,95.3511886597,40.258895874036,26.62718200684,155
1.64951548782741E+018,12,1.64951548782741E+018,r1000913c5/base_footprint,0,1.64951548782741E+018,v/m1vw10zy74w/map,-8.65987248054,-2.41611579503,0,0,0,-0.709895180984,0.704307342015,0,62.2196159363,12.6297578812,45.5739746094,96.9136886597,40.9787521362,40.9787521362,62.2196159363,62.2196159363,31.506696701,1.50169539452,0,0.00327505497262,0.187959954143,0.0423627011478,0.0456377565861,-1.55798530579,-0.14071688056,-1.5625,-0.0163867902011,-0.719856262207,-0.0178806763142,-4.87951469421,-0.183253139257,11.07177257541,95.3511886597,40.258895873993,26.62718200679,155
1.64951548792732E+018,13,1.64951548792732E+018,r1000913c5/base_footprint,0,1.64951548792732E+018,v/m1vw10zy74w/map,-8.65987248054,-2.41611579503,0,0,0,-0.709895180984,0.704307342015,0,62.1845016479,12.6050424576,45.8012046814,96.9136886597,41.0751609802,41.0751609802,62.1845016479,62.1845016479,33.1799850464,1.57393920422,0,0.00313332024962,0.187027558684,0.0462179854512,0.0493513047695,-1.5332698822,-0.138484582305,-1.5625,-0.0163867902011,-0.816265106201,-0.0202753972262,-6.55280303955,-0.246094495058,11.0717725754,95.3511886597,40.258895873999,26.62718200685,155
