%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.main_output,field.scan_score,field.pose_score,field.cov_score,field.lhood_map_score,field.lhood_robot_score,field.lhood_map_score_all,field.lhood_robot_score_all,field.point_angle_diff,field.average_orientation,field.map_average_orientation,field.sensor_div,field.odom_div_x,field.odom_div_w,field.imu_div_w,field.kdtree_div,field.kdtree_div_p,field.cov_div,field.cov_div_p,field.likelihood_div,field.likelihood_div_p,field.normal_diff_div,field.normal_diff_div_p,field.kdtree_average,field.cov_average,field.likelihood_average,field.normal_diff_average,field.map_update_count
1.64952185739796E+018,0,1.64952185739796E+018,r1000913c5/base_footprint,0,1.64952185739796E+018,v/m1vw10zy74w/map,-8.67648602867,-2.26333323442,0,0,0,-0.702303714051,0.711877442563,0,59.4237632751,8.66873073578,100,96.5030059814,37.3223686218,37.3223686218,59.4237632751,59.4237632751,40.8646469116,0.011895775795,0,0.00540064275265,0.0122054526582,0.0143288867548,0.0197295304388,3.15860748291,0.267059862614,-1.1019744873,-0.0115509703755,3.10744857788,0.0768603160977,-12.7377815247,-0.452868849039,11.82733821869,95.4010314941,40.42981719968,28.1268653869,194
1.64952185749784E+018,1,1.64952185749784E+018,r1000913c5/base_footprint,0,1.64952185749784E+018,v/m1vw10zy74w/map,-8.67478056063,-2.3747738123,0,0,0,-0.703866964939,0.710331820819,0,59.1960983276,0.579950273037,34.788444519,96.6173934937,37.4422454834,37.4422454834,59.1960983276,59.1960983276,46.6690711975,1.59668195248,0,0.00334461708553,0.0103871757165,0.00752298813313,0.00417837081477,10.7537336349,0.948829472065,-1.22692108154,-0.0128620928153,2.90139389038,0.0719170123339,-19.9067440033,-0.743834555149,11.333683907937,95.39047241216,40.34363937378,26.7623271942,163
1.64952185899753E+018,2,1.64952185899753E+018,r1000913c5/base_footprint,0,1.64952185899754E+018,v/m1vw10zy74w/map,-8.67670123139,-2.4828889385,0,0,0,-0.704339196516,0.709863575803,0,59.342414856,2.23695111275,36.4786186218,96.6615371704,37.4508361816,37.4508361816,59.342414856,59.342414856,44.2870864868,1.44411230087,0,0.000890590716153,0.100365944207,0.00351140322164,0.00262081250548,8.68776798248,0.795239508152,-1.27388763428,-0.0133548490703,2.86522674561,0.0710691139102,-17.9936084747,-0.684337317944,10.92471909523,95.38764953612,40.31606292721,26.2934780121,146
1.64952185909815E+018,3,1.64952185909815E+018,r1000913c5/base_footprint,0,1.64952185909815E+018,v/m1vw10zy74w/map,-8.67670123139,-2.4828889385,0,0,0,-0.704339196516,0.709863575803,0,59.1404953003,0,38.9644927979,96.6615371704,37.2643737793,37.2643737793,59.1404953003,59.1404953003,45.9078559875,1.83967804909,0,0.000522312417161,0.144485428929,0.00618059048429,0.00565827777609,10.9247188568,1,-1.27388763428,-0.0133548490703,3.05168914795,0.075694128871,-19.6143779755,-0.745978832245,10.9247188568,95.38764953612,40.31606292725,26.293478012,146
1.64952185919891E+018,4,1.64952185919891E+018,r1000913c5/base_footprint,0,1.64952185919891E+018,v/m1vw10zy74w/map,-8.67670123139,-2.4828889385,0,0,0,-0.704339196516,0.709863575803,0,59.5950660706,0,40.7422523499,96.6615371704,37.111038208,37.111038208,59.5950660706,59.5950660706,36.0695724487,1.38315975666,0,0.000234601131524,0.170222938061,0.00938344188035,0.00914884079248,10.9247188568,1,-1.27388763428,-0.0133548490703,3.20502471924,0.0794974640012,-9.77609443665,-0.371806830168,10.9247188568,95.38764953612,40.31606292724,26.29347801205,146
1.64952185929769E+018,5,1.64952185929769E+018,r1000913c5/base_footprint,0,1.6495218592977E+018,v/m1vw10zy74w/map,-8.67670123139,-2.4828889385,0,0,0,-0.704339196516,0.709863575803,0,59.2075614929,0,42.0466842651,96.6615371704,37.033039093,37.033039093,59.2075614929,59.2075614929,42.2022171021,1.16625416279,0,0.000516603933647,0.181523010135,0.0105624413118,0.0110790450126,10.9247188568,1,-1.27388763428,-0.0133548490703,3.28302383423,0.0814321562648,-15.90873909,-0.605045080185,10.9247188568,95.38764953612,40.31606292723,26.2934780121,146
1.64952185939768E+018,6,1.64952185939768E+018,r1000913c5/base_footprint,0,1.64952185939768E+018,v/m1vw10zy74w/map,-8.67670123139,-2.4828889385,0,0,0,-0.704339196516,0.709863575803,0,59.112487793,0,43.0368347168,96.6615371704,36.881816864,36.881816864,59.112487793,59.112487793,42.2803382874,1.40565860271,0,0.00360860186629,0.192527711391,0.0156836025417,0.0192922037095,10.9247188568,1,-1.27388763428,-0.0133548490703,3.43424606323,0.0851830691099,-15.9868602753,-0.608016192913,10.9247188568,95.38764953612,40.31606292723,26.2934780121,146
1.64952185949787E+018,7,1.64952185949787E+018,r1000913c5/base_footprint,0,1.64952185949787E+018,v/m1vw10zy74w/map,-8.67670123139,-2.4828889385,0,0,0,-0.704339196516,0.709863575803,0,59.0125312805,0,43.8113975525,96.6615371704,36.8605270386,36.8605270386,59.0125312805,59.0125312805,43.8496818542,1.3299189806,0,0.00762798311189,0.191739097238,0.0264791436493,0.0341071262956,10.9247188568,1,-1.27388763428,-0.0133548490703,3.45553588867,0.0857111439109,-17.5562038422,-0.667701840401,10.9247188568,95.38764953612,40.31606292727,26.293478012,146
1.6495218595976E+018,8,1.6495218595976E+018,r1000913c5/base_footprint,0,1.6495218595976E+018,v/m1vw10zy74w/map,-8.67852223605,-2.35508936396,0,0,0,-0.713666609143,0.700485525185,0,59.1010513306,0,44.432762146,96.2389907837,36.9180145264,36.9180145264,59.1010513306,59.1010513306,41.3559837341,1.27064669132,0,0.00738459685817,0.17614030838,0.0314896553755,0.0388742499053,11.5926733017,1,-0.827362060547,-0.00867150165141,3.46284866333,0.0857547000051,-13.8210830688,-0.501947820187,11.5926733017,95.411628723153,40.38086318973,27.5349006653,181
1.64952185969853E+018,9,1.64952185969853E+018,r1000913c5/base_footprint,0,1.64952185969853E+018,v/m1vw10zy74w/map,-8.67852223605,-2.35508936396,0,0,0,-0.713666609143,0.700485525185,0,58.8956680298,0.392156869173,44.9417800903,96.2389907837,36.9075469971,36.9075469971,58.8956680298,58.8956680298,44.93983078,1.56669342518,0,0.0043269447051,0.166518628597,0.0259092766792,0.0302362218499,11.2005167007,0.966172039509,-0.827362060547,-0.00867150165141,3.47331619263,0.0860139131546,-17.4049301147,-0.632104337215,11.592673569873,95.411628723153,40.38086318973,27.5349006653,181
