%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.main_output,field.scan_score,field.pose_score,field.cov_score,field.lhood_map_score,field.lhood_robot_score,field.lhood_map_score_all,field.lhood_robot_score_all,field.point_angle_diff,field.average_orientation,field.map_average_orientation,field.sensor_div,field.odom_div_x,field.odom_div_w,field.imu_div_w,field.kdtree_div,field.kdtree_div_p,field.cov_div,field.cov_div_p,field.likelihood_div,field.likelihood_div_p,field.normal_diff_div,field.normal_diff_div_p,field.kdtree_average,field.cov_average,field.likelihood_average,field.normal_diff_average,field.map_update_count
1.64953360258817E+018,0,1.64953360258817E+018,r200121355/base_footprint,0,1.64953360258817E+018,v/m1vw10zy74w/map,-1.17633220954,5.1351921027,0,0,0,0.00648949459151,0.999978943008,0,60.8517875671,27.4326553345,100,78.0418777466,46.5887832642,46.5887832642,60.8517875671,60.8517875671,48.7774391174,-1.57233679295,0,0.0025668204762,4.45928859711,0.00436682533473,0.00693364581093,-7.11552429199,-0.350222885609,5.32359313965,0.0638584941626,-2.25397109985,-0.0508397556841,-3.41289138794,-0.075232565403,20.31713104251,83.36547088625,44.33481216435,45.36454772946,1461
1.64953360268818E+018,1,1.64953360268818E+018,r200121355/base_footprint,0,1.64953360268818E+018,v/m1vw10zy74w/map,-0.890336956453,5.13933207653,0,0,0,0.00867217476574,0.999962395985,0,60.9993972778,24.4468421936,58.0871238708,79.1836471558,46.4721069336,46.4721069336,60.9993972778,60.9993972778,48.9706916809,-1.60087764263,0,0.00275674182922,4.45738983154,0.00487499218434,0.00763173401356,-1.72117042542,-0.0757368355989,7.09873199463,0.0822732523084,-1.82487106323,-0.0408731028438,-4.095287323,-0.0912590622902,22.72567176818,86.28237915043,44.64723587037,44.8754043579,2230
1.64953360278822E+018,2,1.64953360278822E+018,r200121355/base_footprint,0,1.64953360278822E+018,v/m1vw10zy74w/map,-0.890336956453,5.13933207653,0,0,0,0.00867217476574,0.999962395985,0,61.4156188965,20.5087432861,51.6598587036,79.1836471558,46.1834564209,46.1834564209,61.4156188965,61.4156188965,38.3612976074,-1.66400682926,0,0.00282662687823,4.45894241333,0.00480526965111,0.00763189699501,2.21692848206,0.0975517258048,7.09873199463,0.0822732523084,-1.53622055054,-0.0344079658389,6.51410675049,0.145159840584,22.72567176816,86.28237915043,44.64723587036,44.87540435789,2230
1.64953360298857E+018,3,1.64953360298857E+018,r200121355/base_footprint,0,1.64953360298857E+018,v/m1vw10zy74w/map,-0.599900652216,5.13859672075,0,0,0,0.00796750077659,0.999968258962,0,61.262878418,26.6055049896,51.6598587036,80.2996292114,46.0577697754,46.0577697754,61.262878418,61.262878418,43.7707557678,-1.07640659809,0,0.00302740558982,4.37124586105,0.0101638156921,0.0131912212819,-2.96334266663,-0.125341445208,7.19944000244,0.0822801887989,-1.17758560181,-0.0262384302914,0.493053436279,0.0111389746889,23.64216232297,87.49906921384,44.88018417359,44.263809204079,2834
1.64953360308832E+018,4,1.64953360308832E+018,r200121355/base_footprint,0,1.64953360308832E+018,v/m1vw10zy74w/map,-0.599900652216,5.13859672075,0,0,0,0.00796750077659,0.999968258962,0,61.1321678162,27.9279270172,47.5639038086,80.2996292114,46.0682106018,46.0682106018,61.1321678162,61.1321678162,46.2363624573,-1.3193526268,0,0.00319061381742,4.19040966034,0.018077980727,0.02126859501,-4.28576469421,-0.181276336312,7.19944000244,0.0822801887989,-1.18802642822,-0.0264710690826,-1.97255325317,-0.0445635691285,23.64216232299,87.49906921384,44.88018417358,44.26380920413,2834
1.64953360318805E+018,5,1.64953360318805E+018,r200121355/base_footprint,0,1.64953360318805E+018,v/m1vw10zy74w/map,-0.315787753331,5.14437606707,0,0,0,0.0097957700187,0.999952020294,0,61.1584968567,22.9567928314,47.5639038086,80.8530197144,45.7153701782,45.7153701782,61.1584968567,61.1584968567,43.9439048767,-1.0869833231,0,0.00319301965646,3.97537398338,0.0231274198741,0.026320438832,0.46475982666,0.0198432542384,6.91496276855,0.0787868499756,-0.946159362793,-0.0211341530085,0.273124694824,0.00617691176012,23.42155265806,87.76798248295,44.769210815407,44.217029571524,2885
1.64953360328798E+018,6,1.64953360328798E+018,r200121355/base_footprint,0,1.64953360328798E+018,v/m1vw10zy74w/map,-0.315787753331,5.14437606707,0,0,0,0.0097957700187,0.999952020294,0,60.6808547974,21.5686283112,47.6333732605,80.8530197144,45.4613800049,45.4613800049,60.6808547974,60.6808547974,49.7984046936,-1.42040598392,0,0.00314730778337,3.82666110992,0.0249682236463,0.0281155314296,1.85292434692,0.0791119337082,6.91496276855,0.0787868499756,-0.692169189453,-0.0154608311132,-5.58137512207,-0.126226827502,23.42155265812,87.76798248295,44.769210815447,44.21702957153,2885
1.6495336033896E+018,7,1.6495336033896E+018,r200121355/base_footprint,0,1.64953360338961E+018,v/m1vw10zy74w/map,-0.0433634112924,5.15152459121,0,0,0,0.0115140253107,0.999933711413,0,60.0681495667,24.6646022797,47.6333732605,77.8981552124,45.2591018677,45.2591018677,60.0681495667,60.0681495667,48.0049858093,-1.51543402672,0,0.00292357755825,3.56775999069,0.028046540916,0.0309701189399,-3.17311286926,-0.14764508605,8.79285430908,0.101427525282,-0.837036132812,-0.0188428014517,-3.85667037964,-0.0873571336269,21.49148941044,86.69100952148,44.422065734888,44.14831542966,2335
1.64953360348851E+018,8,1.64953360348851E+018,r200121355/base_footprint,0,1.64953360348851E+018,v/m1vw10zy74w/map,-0.00634771934731,5.15000619311,0,0,0,0.0125038217791,0.999921824165,0,60.7452545166,29.8245620728,47.5759735107,80.5689926147,45.1445922852,45.1445922852,60.7452545166,60.7452545166,44.1954116821,-1.4550549984,0,0.0029685178306,3.36112999916,0.0297913122922,0.0327598303556,-8.7384929657,-0.414420187473,5.7248840332,0.0663417205215,-0.824913024902,-0.0186127927154,-0.1125831604,-0.00255390047096,21.0860691071,86.2938766479,44.319679260298,44.0828285217,2201
1.64953360358808E+018,9,1.64953360358808E+018,r200121355/base_footprint,0,1.64953360358808E+018,v/m1vw10zy74w/map,-0.00634771934731,5.15000619311,0,0,0,0.0125038217791,0.999921824165,0,60.8348464966,28.9878120422,47.5759735107,80.5689926147,45.1922950745,45.1922950745,60.8348464966,60.8348464966,43.0978889465,-1.86113834381,0,0.00301893660799,3.16344261169,0.0287095215172,0.0317284576595,-7.90174293518,-0.374737590551,5.7248840332,0.0663417205215,-0.872615814209,-0.0196891278028,0.984939575195,0.0223429296166,21.08606910702,86.2938766479,44.319679260291,44.082828521695,2201
