%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.main_output,field.scan_score,field.pose_score,field.cov_score,field.lhood_map_score,field.lhood_robot_score,field.lhood_map_score_all,field.lhood_robot_score_all,field.point_angle_diff,field.average_orientation,field.map_average_orientation,field.sensor_div,field.odom_div_x,field.odom_div_w,field.imu_div_w,field.kdtree_div,field.kdtree_div_p,field.cov_div,field.cov_div_p,field.likelihood_div,field.likelihood_div_p,field.normal_diff_div,field.normal_diff_div_p,field.kdtree_average,field.cov_average,field.likelihood_average,field.normal_diff_average,field.map_update_count
1630861368155336206,0,1630861368155336206,r200131356/base_footprint,0,1630861368155336543,alta/m1vW10zy74W/map,-1.22193250103,5.1599838259,0.0,0.0,0.0,0.000472053298085,0.999999888583,0,60.1537895203,11.0911540985,100.0,94.1812438965,39.3664131165,39.3664131165,60.1537895203,60.1537895203,41.4415283203,-1.70266258717,0.0,0.00187565770466,4.10853099823,0.00534499948844,0.00722065754235,12.7423229218,0.534639716148,1.62763214111,0.0169883240014,7.96657562256,0.168309167027,4.89545440674,0.105648964643,23.8334770203,95.8088760376,47.332988739,46.3369827271,229
1630861368255421798,1,1630861368255421798,r200131356/base_footprint,0,1630861368255422192,alta/m1vW10zy74W/map,-1.13118690168,5.1601786977,0.0,0.0,0.0,-0.001417566494,0.999998995252,0,59.6487426758,13.165266037,87.1798629761,94.6837615967,39.6027870178,39.6027870178,59.6487426758,59.6487426758,54.8942718506,-0.442858487368,0.0,0.000873401178978,4.10807085037,0.00864136312157,0.00951476488262,10.9888248444,0.454946726561,1.24561309814,0.0129846893251,7.62423324585,0.161437943578,-8.79391860962,-0.190755993128,24.1540908813,95.9293746948,47.2270202637,46.100353241,263
1630861368355275546,2,1630861368355275546,r200131356/base_footprint,0,1630861368355275750,alta/m1vW10zy74W/map,-1.04346703374,5.16110605665,0.0,0.0,0.0,-0.000229224411925,0.999999973728,0,60.4860267639,14.5220584869,81.8866958618,96.2990493774,40.0675086975,40.0675086975,60.4860267639,60.4860267639,50.6571960449,-1.71243143082,0.0,0.000167213060195,4.12086486816,0.0093669174239,0.00953413080424,9.88357925415,0.404971152544,-0.355255126953,-0.00370274204761,7.17334747314,0.151846259832,-4.53279495239,-0.098273254931,24.4056377411,95.9437942505,47.2408561707,46.1244010925,265
1630861368455645297,3,1630861368455645297,r200131356/base_footprint,0,1630861368455645546,alta/m1vW10zy74W/map,-0.865172204498,5.15745180601,0.0,0.0,0.0,0.000263077086202,0.999999965395,0,60.7235374451,18.7675075531,84.1573257446,95.5127334595,40.3742485046,40.3742485046,60.7235374451,60.7235374451,46.8640556335,-0.780033886433,0.0,0.00156006624456,4.12314033508,0.00773871084675,0.00929877720773,5.62049293518,0.230461403728,0.412399291992,0.00429917871952,6.81226730347,0.144368946552,-1.15543365479,-0.0252782423049,24.3880004883,95.9251327515,47.1865158081,45.7086219788,323
1630861368555792490,4,1630861368555792490,r200131356/base_footprint,0,1630861368555793485,alta/m1vW10zy74W/map,-0.764492438927,5.16056616082,0.0,0.0,0.0,0.00044073727979,0.999999902875,0,60.7845954895,17.2794113159,78.9619903564,96.0629043579,40.4883880615,40.4883880615,60.7845954895,60.7845954895,48.9782867432,-1.11152696609,0.0,0.00249031977728,4.1052365303,0.00766298081726,0.0101533001289,7.13074684143,0.292122095823,-0.178909301758,-0.00186589325313,6.71500396729,0.142256811261,-3.79309463501,-0.0839455276728,24.4101581573,95.8839950562,47.2033920288,45.1851921082,366
1630861368655461854,5,1630861368655461854,r200131356/base_footprint,0,1630861368655462050,alta/m1vW10zy74W/map,-0.659715542724,5.16051614433,0.0,0.0,0.0,-0.000404561603025,0.999999918165,0,61.1571655273,17.4573059082,81.3623046875,96.5713653564,40.6766433716,40.6766433716,61.1571655273,61.1571655273,46.1356811523,-1.00339400768,0.0,0.00244598835707,4.06966400146,0.0077742729336,0.0102202612907,7.46945762634,0.299656122923,-0.691352844238,-0.00721060438082,6.2364692688,0.13293659687,-1.11306762695,-0.0247224122286,24.9267635345,95.8800125122,46.9131126404,45.0226135254,453
1630861368755873292,6,1630861368755873292,r200131356/base_footprint,0,1630861368755873924,alta/m1vW10zy74W/map,-0.518204369904,5.16046551772,0.0,0.0,0.0,0.000890022616937,0.99999960393,0,61.5348434448,20.3036060333,79.6800231934,96.9281921387,40.8904304504,40.8904304504,61.5348434448,61.5348434448,42.9309539795,-0.386856526136,0.0,0.00533390138298,3.98277115822,0.00394664797932,0.0092805493623,4.56421089172,0.183538869023,-1.05298614502,-0.0109828831628,6.07069778442,0.1292707026,2.05987548828,0.045784343034,24.867816925,95.8752059937,46.9611282349,44.9908294678,474
1630861368855368825,7,1630861368855368825,r200131356/base_footprint,0,1630861368855369159,alta/m1vW10zy74W/map,-0.421182934698,5.15949191856,0.0,0.0,0.0,0.00097427416056,0.999999525395,0,61.4069099426,17.0684661865,81.5138092041,96.4917907715,41.0235214233,41.0235214233,61.4069099426,61.4069099426,45.1000938416,-0.635252594948,0.0,0.00465816026554,3.87577486038,0.00388215738349,0.00854031741619,7.30078887939,0.299590140581,-0.627082824707,-0.00654133129865,5.96054840088,0.126863181591,0.13117980957,0.00290020159446,24.3692550659,95.8647079468,46.9840698242,45.2312736511,415
1630861368955281280,8,1630861368955281280,r200131356/base_footprint,0,1630861368955281458,alta/m1vW10zy74W/map,-0.287862896088,5.16120504075,0.0,0.0,0.0,0.00148812502335,0.999998892741,0,60.6268615723,17.4573059082,82.1585845947,96.1048049927,41.1348762512,41.1348762512,60.6268615723,60.6268615723,58.950466156,-1.40710198879,0.0,0.00323690916412,3.72984075546,0.00498328078538,0.00822019018233,6.05004310608,0.257368147373,-0.169868469238,-0.00177066330798,6.05872344971,0.128380194306,-13.4401817322,-0.295321851969,23.5073490143,95.9349365234,47.1935997009,45.5102844238,405
1630861369055496686,9,1630861369055496686,r200131356/base_footprint,0,1630861369055496901,alta/m1vW10zy74W/map,-0.19259782363,5.15920440355,0.0,0.0,0.0,0.00161245156255,0.999998699999,0,60.7486076355,15.966386795,83.6706924438,96.4027404785,41.1817092896,41.1817092896,60.7486076355,60.7486076355,58.3373718262,-1.32624769211,0.0,0.00407124077901,3.54800581932,0.00391538441181,0.00798662472516,7.44472122192,0.317999511957,-0.461578369141,-0.00481105688959,5.92373657227,0.12575481832,-12.6075363159,-0.275696069002,23.411108017,95.9411621094,47.1054458618,45.7298355103,390
